symbol,price,price_change,price_percent_change
CNXC,65.04,19.36,42.38
SLNO,67.39,18.42,37.61
MLGO,15.94,4.08,34.40
CAR,74.16,12.61,20.49
DLTR,76.95,7.74,11.18
RIVN,13.02,0.92,7.60
HCM,15.26,1.04,7.31
AAP,40.37,2.55,6.74
ZLAB,36.18,2.27,6.69
FINV,10.46,0.65,6.63
FUL,57.61,3.29,6.06
JBSAY,14.55,0.83,6.05
ALC,96.8,5.48,6.00
EWTX,23.44,1.18,5.30
IAG,6.43,0.32,5.24
LBRT,16.22,0.8,5.19
IMVT,18.79,0.9,5.03
MAKSY,9.3,0.43,4.85
AUR,7.46,0.34,4.78
DAR,31.91,1.43,4.69
OLLI,113.07,4.9,4.53
FJTSY,20.66,0.89,4.50
BURBY,10.65,0.46,4.47
BYDDF,53.24,2.24,4.39
UNF,178.01,7.14,4.18
SAND,7.65,0.3,4.08
WING,229.29,8.92,4.05
MNSO,19.52,0.75,4.00
AZO,3828.11,146.43,3.98
EQX,7.1,0.27,3.95
BYDDY,106.1,4.0,3.92
PARAA,23.58,0.86,3.79
MLTX,39.84,1.45,3.78
QFIN,48.12,1.75,3.77
ANGI,17.05,0.62,3.77
ABT,131.35,4.74,3.74
SRRK,33.36,1.2,3.73
BILI,20.16,0.72,3.70
MPNGY,42.44,1.5,3.66
LKNCY,34.4,1.2,3.61
SMMT,20.6,0.71,3.57
CMPGY,33.17,1.14,3.56
BVN,15.79,0.53,3.47
AGI,26.71,0.88,3.41
DG,87.54,2.84,3.35
SE,133.57,4.3,3.33
CC,14.29,0.46,3.33
QXO,14.01,0.45,3.32
JHX,24.64,0.79,3.31
TCOM,65.18,2.07,3.28
CORZ,7.88,0.25,3.28
CDE,6.34,0.2,3.26
PCVX,70.77,2.21,3.22
RACE,426.82,13.09,3.16
BWIN,46.05,1.41,3.16
BG,76.5,2.31,3.11
WIX,173.88,5.25,3.11
ORLY,1423.62,42.64,3.09
WDFC,242.49,7.19,3.06
BFAM,128.98,3.8,3.04
SSRM,11.21,0.33,3.03
ALHC,18.13,0.53,3.01
WMK,77.81,2.27,3.01
