symbol,price,price_change,price_percent_change
NMAX,62.14,52.14,521.42
CORT,103.24,48.6,88.97
MLGO,24.83,7.48,43.11
RGC,34.5,8.83,34.4
BLUE,5.2,1.12,27.33
BKTI,42.93,6.93,19.25
HCAI,7.63,1.23,19.22
HMST,11.08,1.78,19.14
FTCI,2.95,0.45,18.0
QSG,4.0,0.58,16.96
LXEH,20.3,2.65,15.01
LGPS,3.04,0.39,14.53
COOP,119.46,14.97,14.32
SSBK,36.01,3.52,10.83
UMC,7.26,0.7,10.76
WGRX,4.23,0.41,10.73
WOLF,2.86,0.27,10.42
CYRX,6.72,0.63,10.33
GRRR,27.55,2.51,10.02
BYON,5.83,0.52,9.79
NEXN,8.34,0.72,9.45
STHO,8.7,0.68,8.48
NCTY,15.14,1.18,8.45
CELH,36.2,2.55,7.58
BGS,6.93,0.49,7.55
BMGL,4.87,0.31,6.9
RMBL,2.99,0.18,6.41
VVPR,4.17,0.25,6.38
ZYBT,5.42,0.32,6.27
IDN,3.06,0.18,6.25
DFS,168.49,9.76,6.15
EPSM,5.57,0.32,6.07
CMCL,12.3,0.69,5.99
NAMI,3.08,0.16,5.6
OCG,2.74,0.14,5.54
DATS,3.64,0.19,5.51
FFWM,5.22,0.27,5.44
APLM,8.01,0.4,5.3
MWYN,4.3,0.21,5.13
GT,9.24,0.45,5.06
XPEV,20.69,0.99,5.03
BBNX,12.27,0.56,4.78
TIPT,24.37,1.1,4.73
NCMI,5.88,0.27,4.72
HFFG,4.58,0.2,4.69
ECOR,6.75,0.3,4.65
VG,10.41,0.46,4.62
ZIP,6.04,0.26,4.5
SBSW,4.57,0.19,4.31
GO,13.82,0.57,4.3
TALO,9.9,0.39,4.09
RYAM,5.78,0.22,4.03
KNOP,6.92,0.27,3.98
EBS,4.84,0.18,3.97
WFF,3.94,0.15,3.96
XBIT,3.22,0.12,3.94
IDR,13.96,0.53,3.91
SERA,3.67,0.13,3.67
JILL,19.37,0.68,3.64
AUUD,3.83,0.13,3.63
DBVT,6.42,0.23,3.63
DUOT,5.5,0.19,3.58
PRCH,7.65,0.26,3.52
CRK,20.52,0.69,3.45
EHLD,4.5,0.15,3.45
AIG,86.46,2.84,3.4
ATEX,36.96,1.2,3.36
EVC,2.16,0.07,3.35
UNIT,5.1,0.17,3.35
SJW,55.39,1.79,3.34
LOAR,68.17,2.2,3.33
KMTS,24.2,0.78,3.31
DRD,15.32,0.48,3.27
PRTH,6.97,0.22,3.26
NGVC,39.36,1.24,3.25
ALMU,7.25,0.23,3.2
RC,5.0,0.15,3.2
QSR,66.58,2.06,3.19
LYV,129.02,3.99,3.19
PHH,13.19,0.4,3.13
UEIC,6.35,0.19,3.08
MLYS,15.11,0.45,3.07
HMY,14.47,0.41,2.88
CVNA,210.21,5.8,2.84
DBI,3.67,0.1,2.8
SSL,4.24,0.12,2.78
ZUMZ,14.77,0.4,2.78
INR,18.48,0.5,2.78
JVA,3.33,0.09,2.78
KOS,2.28,0.06,2.75
SAFE,18.41,0.49,2.74
EE,28.75,0.76,2.72
VNOM,45.38,1.2,2.7
WOOF,3.04,0.08,2.7
PDS,46.58,1.23,2.7
XPOF,7.92,0.21,2.7
NGD,3.7,0.1,2.64
MKFG,4.69,0.12,2.63
JYD,7.46,0.19,2.61
MASS,4.14,0.1,2.59
