symbol,price,price_change,price_percent_change
AREB,19.5,15.54,392.42
AEHL,4.25,2.15,102.38
LOCL,4.75,1.93,68.44
SOBR,4.93,1.46,42.03
FORD,6.8,1.88,38.21
ICCT,5.71,1.48,34.99
NTCL,9.31,2.31,33.0
RGC,32.21,7.91,32.55
NTHI,12.56,2.98,31.11
PAMT,13.58,2.47,22.23
AUUD,4.9,0.89,22.19
INV,4.82,0.85,21.41
UPC,3.45,0.57,19.79
ALMS,10.05,1.51,17.68
USAR,7.55,1.05,16.15
LGHL,3.62,0.47,14.92
VSCO,16.95,2.08,13.99
NTRP,5.99,0.67,12.59
BCTX,3.94,0.44,12.57
EPSM,5.92,0.65,12.33
RIME,2.51,0.27,12.05
NVAX,6.24,0.64,11.43
GME,23.49,2.39,11.33
RKT,15.4,1.55,11.19
CISS,3.97,0.4,11.05
CSAI,4.93,0.48,10.79
HOV,104.37,10.0,10.6
WTF,6.46,0.6,10.24
ARHS,7.75,0.69,9.77
GES,11.02,0.98,9.76
ZSPC,8.79,0.75,9.33
BZAI,2.23,0.19,9.31
ELTX,6.01,0.51,9.27
LGPS,3.9,0.33,9.24
FHTX,3.44,0.29,9.21
DERM,7.19,0.6,9.1
BJDX,3.42,0.28,8.92
LSEA,6.25,0.48,8.32
SVV,7.68,0.57,8.02
KSS,7.17,0.53,7.98
SLP,25.68,1.86,7.83
GAUZ,8.3,0.59,7.65
AUID,5.09,0.36,7.61
FLX,2.69,0.19,7.6
CSTE,2.56,0.18,7.56
SKBL,12.89,0.89,7.42
LXEH,24.05,1.65,7.34
GAP,19.13,1.29,7.23
BZH,20.37,1.35,7.1
MKTW,9.88,0.65,7.04
MTEN,4.02,0.26,6.91
BLD,303.09,18.87,6.64
MAMA,6.81,0.42,6.57
PHH,13.59,0.81,6.34
FLWS,5.6,0.33,6.26
HPAI,6.73,0.39,6.15
RUN,6.99,0.4,6.07
AEHR,7.26,0.41,6.06
WWW,11.78,0.66,5.94
NX,17.6,0.98,5.9
LCUT,4.68,0.26,5.88
IBP,173.25,9.46,5.78
LGIH,64.61,3.43,5.61
RAPP,8.99,0.47,5.52
MNRO,15.27,0.79,5.46
TISI,19.12,0.97,5.34
ONON,39.61,1.96,5.21
ODP,13.87,0.68,5.16
DFH,22.4,1.09,5.11
DECK,106.02,5.14,5.1
CLIK,2.77,0.13,4.92
CROX,100.65,4.68,4.88
HVT,18.74,0.86,4.81
AEO,10.94,0.5,4.79
TFII,79.46,3.61,4.76
MHO,114.29,5.19,4.76
JBI,6.9,0.31,4.7
EXOD,44.63,2.0,4.69
SDHC,19.54,0.87,4.66
DHI,127.87,5.56,4.55
CRI,37.18,1.61,4.53
CCS,65.7,2.77,4.4
EVEX,3.33,0.14,4.39
ANF,73.33,3.07,4.37
TDUP,2.63,0.11,4.37
OXM,57.17,2.34,4.27
INHD,5.39,0.22,4.26
MODG,6.27,0.25,4.15
VRA,2.13,0.09,4.15
ISPR,2.8,0.11,4.09
NRC,12.4,0.48,4.03
MSTR,293.61,11.33,4.01
W,26.05,0.96,3.83
MTH,69.14,2.53,3.8
PLSE,15.08,0.55,3.79
TPH,31.82,1.16,3.78
AGL,4.15,0.15,3.75
CAL,16.09,0.57,3.67
EXPI,9.48,0.33,3.61
PHM,101.24,3.49,3.57
