symbol,price,price_change,price_percent_change
CMA,68.57 +2.62 (+3.97%),2.62,+3.97%
VKTX,32.81 +1.29 (+4.09%),1.29,+4.09%
ARCB,95.18 +3.78 (+4.14%),3.78,+4.14%
BABA,102.59 +3.98 (+4.04%),3.98,+4.04%
STNG,49.85 +1.90 (+3.96%),1.9,+3.96%
OVV,43.63 +1.68 (+4.00%),1.68,+4.00%
CRNX,40.41 +1.62 (+4.18%),1.62,+4.18%
SOBO,24.64 +0.94 (+3.97%),0.94,+3.97%
STLA,13.13 +0.51 (+4.04%),0.51,+4.04%
NTR,52.96 +2.00 (+3.92%),2.0,+3.92%
FMCC,5.05 +0.19 (+3.91%),0.19,+3.91%
CE,71.50 +2.73 (+3.97%),2.73,+3.97%
BYDDY,73.55 +2.75 (+3.88%),2.75,+3.88%
SNAP,11.61 +0.44 (+3.98%),0.44,+3.98%
IAC,43.17 +1.65 (+3.97%),1.65,+3.97%
CVLT,165.39 +6.08 (+3.82%),6.08,+3.82%
MNSO,23.90 +0.92 (+3.98%),0.92,+3.98%
DOW,38.84 +1.46 (+3.91%),1.46,+3.91%
SAN,5.14 +0.19 (+3.74%),0.19,+3.74%
OS,29.68 +1.10 (+3.83%),1.1,+3.83%
PROSY,7.81 +0.28 (+3.72%),0.28,+3.72%
ADYEY,16.48 +0.59 (+3.71%),0.59,+3.71%
BTU,18.17 +0.67 (+3.80%),0.67,+3.80%
ORLA,6.45 +0.24 (+3.94%),0.24,+3.94%
RSI,15.03 +0.59 (+4.09%),0.59,+4.09%
UI,415.37 +12.93 (+3.21%),12.93,+3.21%
UBER,69.86 +2.57 (+3.82%),2.57,+3.82%
TCEHY,54.36 +1.93 (+3.68%),1.93,+3.68%
MPWR,651.99 +23.21 (+3.69%),23.21,+3.69%
JD,41.54 +1.51 (+3.77%),1.51,+3.77%
AMD,118.55 +4.28 (+3.75%),4.28,+3.75%
CMBT,11.19 +0.39 (+3.61%),0.39,+3.61%
UFPT,280.53 +9.70 (+3.58%),9.7,+3.58%
SITM,212.13 +7.47 (+3.65%),7.47,+3.65%
APP,379.08 +13.64 (+3.73%),13.64,+3.73%
HP,32.31 +1.11 (+3.56%),1.11,+3.56%
NICE,168.54 +5.73 (+3.52%),5.73,+3.52%
PBA,36.38 +1.24 (+3.54%),1.24,+3.54%
UAL,108.52 +3.69 (+3.52%),3.69,+3.52%
CNQ,31.08 +1.06 (+3.55%),1.06,+3.55%
HAFN,5.53 +0.18 (+3.46%),0.18,+3.46%
ZGN,9.15 +0.31 (+3.45%),0.31,+3.45%
WAL,87.38 +2.99 (+3.54%),2.99,+3.54%
CNI,102.17 +3.45 (+3.49%),3.45,+3.49%
DAL,68.80 +2.32 (+3.49%),2.32,+3.49%
MIRM,50.26 +1.67 (+3.44%),1.67,+3.44%
XIACY,25.63 +0.84 (+3.39%),0.84,+3.39%
SHAK,119.02 +3.85 (+3.34%),3.85,+3.34%
AUB,38.28 +1.29 (+3.49%),1.29,+3.49%
RBRK,73.42 +2.54 (+3.59%),2.54,+3.59%
SMTC,65.57 +2.11 (+3.33%),2.11,+3.33%
PI,126.28 +3.87 (+3.16%),3.87,+3.16%
RBLX,73.09 +2.41 (+3.41%),2.41,+3.41%
WK,100.42 +3.13 (+3.22%),3.13,+3.22%
RIVN,12.84 +0.45 (+3.59%),0.45,+3.59%
SFTBY,31.56 +0.99 (+3.24%),0.99,+3.24%
VAL,47.74 +1.49 (+3.22%),1.49,+3.22%
ABCB,66.38 +2.14 (+3.34%),2.14,+3.34%
ENPH,66.10 +2.19 (+3.43%),2.19,+3.43%
HAE,68.39 +2.24 (+3.39%),2.24,+3.39%
CLBT,25.51 +0.84 (+3.40%),0.84,+3.40%
PUBGY,27.11 +0.84 (+3.20%),0.84,+3.20%
SOUHY,10.68 +0.33 (+3.19%),0.33,+3.19%
CP,77.23 +2.48 (+3.32%),2.48,+3.32%
HSAI,15.89 +0.49 (+3.18%),0.49,+3.18%
SLM,28.90 +0.89 (+3.18%),0.89,+3.18%
ICL,6.03 +0.18 (+3.17%),0.18,+3.17%
UNF,222.13 +6.82 (+3.17%),6.82,+3.17%
ACI,20.19 +0.61 (+3.14%),0.61,+3.14%
BEPC,26.77 +0.88 (+3.38%),0.88,+3.38%
TRP,46.72 +1.44 (+3.18%),1.44,+3.18%
DLTR,73.86 +2.24 (+3.12%),2.24,+3.12%
HRI,203.43 +6.19 (+3.14%),6.19,+3.14%
ALB,83.39 +2.94 (+3.65%),2.94,+3.65%
SFM,165.11 +5.36 (+3.36%),5.36,+3.36%
YY,45.12 +1.37 (+3.13%),1.37,+3.13%
FULT,20.41 +0.66 (+3.34%),0.66,+3.34%
BHVN,38.87 +1.16 (+3.08%),1.16,+3.08%
EWTX,29.17 +0.97 (+3.44%),0.97,+3.44%
ALK,75.83 +2.34 (+3.18%),2.34,+3.18%
KTOS,34.25 +1.05 (+3.16%),1.05,+3.16%
FND,99.54 +2.97 (+3.08%),2.97,+3.08%
BJ,102.71 +3.08 (+3.10%),3.08,+3.10%
SUN,59.42 +1.74 (+3.01%),1.74,+3.01%
PPBI,26.04 +0.81 (+3.21%),0.81,+3.21%
HWKN,115.92 +3.41 (+3.03%),3.41,+3.03%
MUR,26.35 +0.80 (+3.15%),0.8,+3.15%
CBU,66.19 +1.79 (+2.78%),1.79,+2.78%
XIACF,5.15 +0.15 (+3.00%),0.15,+3.00%
