,Unnamed: 0,Volume,Last,Chg,% Chg
86,Motorcar Parts of America Inc. (MPAA),219.4K,9.3,0.73,8.52
87,Senti Biosciences Inc. (SNTI),51.3K,4.36,0.34,8.46
88,NGL Energy Partners LP (NGL),1.6M,4.89,0.38,8.43
89,American Axle & Manufacturing Holdings Inc. (AXL),6.3M,5.15,0.4,8.42
90,Bright Horizons Family Solutions Inc. (BFAM),1.1M,128.93,9.94,8.35
91,36Kr Holdings Inc. ADR (KRKR),109.5K,5.33,0.41,8.33
92,Aurora Innovation Inc. (AUR),38.2M,10.19,0.77,8.17
93,AppLovin Corp. (APP),11.3M,510.13,38.46,8.15
94,Jinxin Technology Holding Co. ADR (NAMI),59.9K,4.05,0.3,8.0
95,KALA BIO Inc. (KALA),73.7K,8.38,0.62,7.99
96,West Pharmaceutical Services Inc. (WST),5.0M,214.73,15.62,7.84
97,OneConnect Financial Technology Co. Ltd. ADR (OCFT),108.4K,4.0,0.29,7.82
98,Wing Yip Food Holdings Group Ltd. ADR (WYHG),222.3K,8.6,0.62,7.77
99,Tyra Biosciences Inc. (TYRA),249.2K,13.19,0.94,7.67
