symbol,price,price_change,price_percent_change
GT,10.19,1.07,11.73
GBOOY,38.88,3.6,10.20
LW,59.57,5.42,10.01
VTMX,24.89,2.09,9.17
MOH,353.24,24.75,7.53
SAABY,20.8,1.27,6.53
PAGS,8.5,0.51,6.38
TSCDY,13.68,0.82,6.38
STNE,11.39,0.66,6.15
AUOTY,5.36,0.3,5.93
CNC,64.29,3.56,5.86
DANOY,16.09,0.86,5.65
NGG,69.39,3.61,5.49
ELV,452.69,23.36,5.44
WMMVY,29.76,1.52,5.38
SBAC,230.87,11.53,5.26
KR,70.74,3.47,5.16
XIACF,5.95,0.28,4.94
FSLR,136.23,6.41,4.94
RNMBY,295.4,13.44,4.77
DG,94.41,4.21,4.67
AMT,228.19,10.29,4.72
SSEZY,21.8,0.98,4.71
ORANY,13.6,0.59,4.53
UL,62.55,2.69,4.49
SBS,18.69,0.77,4.30
FCFS,127.31,5.23,4.28
PPC,51.06,2.06,4.20
BTI,41.92,1.67,4.15
CSAN,5.54,0.22,4.14
ELP,7.71,0.3,4.05
IMBBY,38.1,1.47,4.01
AWK,151.96,5.77,3.95
TU,14.54,0.55,3.93
BCE,22.66,0.84,3.85
AMX,15.01,0.55,3.80
PM,162.07,5.9,3.78
XIACY,29.42,1.07,3.77
FMS,25.66,0.93,3.76
ALHC,18.51,0.66,3.70
GSK,39.01,1.37,3.64
COR,289.36,9.85,3.52
VIV,9.3,0.31,3.45
TIMB,16.51,0.55,3.45
NSRGY,105.2,3.44,3.38
MCK,716.93,23.4,3.37
UNH,540.44,17.24,3.30
TIGO,30.5,0.97,3.28
KT,17.87,0.56,3.24
WTRG,40.64,1.25,3.17
CCI,107.06,3.25,3.13
BAESY,85.35,2.58,3.12
RCI,26.07,0.78,3.08
BJ,118.49,3.52,3.06
TGOPY,24.62,0.73,3.06
TBBB,28.08,0.83,3.05
DUK,124.05,3.66,3.04
GIS,60.97,1.78,3.01
