symbol,price,price_change,price_percent_change
GT,9.71,-0.48,-4.71
LW,59.57,5.42,10.01
VTMX,24.89,2.09,9.17
MOH,351.52,-1.71,-0.49
PAGS,8.09,-0.41,-4.60
STNE,10.85,-0.54,-4.70
CNC,64.23,-0.06,-0.09
DANOY,16.09,0.86,5.65
NGG,69.49,0.1,0.14
ELV,451.0,-1.69,-0.37
SBAC,230.87,11.53,5.26
KR,70.67,-0.07,-0.10
XIACF,5.95,0.28,4.94
FSLR,134.27,-1.96,-1.44
AMT,232.32,4.13,1.81
SSEZY,21.8,0.98,4.71
DG,92.52,-1.89,-2.00
ORANY,13.6,0.59,4.53
UL,62.55,2.69,4.49
SBS,17.86,-0.83,-4.44
FCFS,127.31,5.23,4.28
PPC,51.06,2.06,4.20
BTI,41.34,-0.58,-1.38
CSAN,5.54,0.22,4.14
ELP,7.71,0.3,4.05
AWK,155.29,3.33,2.19
TU,14.33,-0.21,-1.42
BCE,22.56,-0.1,-0.46
AMX,15.01,0.55,3.80
PM,161.57,-0.51,-0.31
XIACY,29.42,1.07,3.77
FMS,24.65,-1.01,-3.94
ALHC,18.51,0.66,3.70
GSK,37.74,-1.27,-3.26
COR,289.36,9.85,3.52
VIV,9.3,0.31,3.45
TIMB,16.51,0.55,3.45
MCK,716.93,23.4,3.37
UNH,540.97,0.53,0.10
TIGO,30.5,0.97,3.28
KT,17.87,0.56,3.24
WTRG,40.69,0.05,0.12
CCI,108.7,1.64,1.53
RCI,26.15,0.08,0.31
BJ,117.07,-1.42,-1.20
TBBB,27.15,-0.93,-3.21
DUK,124.8,0.75,0.60
GIS,61.11,0.14,0.23
