Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
WOR,"Worthington Enterprises, Inc.",,51.52 +9.89 (+23.76%),9.89,+23.76%,1.921M,333215,2.578B,49.07,-32.81%,
GME,GameStop Corp.,,28.36 +2.96 (+11.65%),2.96,+11.65%,50.446M,5.859M,12.671B,141.80,92.86%,
XNGSY,ENN Energy Holdings Limited,,36.10 +3.55 (+10.91%),3.55,+10.91%,69153,102028,10.114B,12.15,10.74%,
DOOO,BRP Inc.,,38.23 +2.69 (+7.57%),2.69,+7.57%,594941,181298,2.589B,17.14,-44.16%,
CTAS,Cintas Corporation,,204.71 +11.25 (+5.82%),11.25,+5.82%,3.61M,1.754M,82.609B,46.74,12.86%,
BKRKY,PT Bank Rakyat Indonesia (Persero) Tbk,,12.04 +0.64 (+5.61%),0.64,+5.61%,49988,186133,36.276B,9.41,-42.05%,
VNET,"VNET Group, Inc.",,8.90 +0.42 (+4.95%),0.42,+4.95%,7.49M,9.887M,2.377B,445.00,398.82%,
ASH,Ashland Inc.,,59.72 +2.79 (+4.90%),2.79,+4.90%,967410,725677,2.818B,-,-41.68%,
QFIN,"Qifu Technology, Inc.",,46.37 +2.14 (+4.84%),2.14,+4.84%,8.204M,1.356M,6.653B,8.15,143.02%,
PAYX,"Paychex, Inc.",,150.19 +6.06 (+4.20%),6.06,+4.20%,4.32M,1.961M,54.078B,31.55,18.60%,
MOH,"Molina Healthcare, Inc.",,323.44 +12.91 (+4.16%),12.91,+4.16%,449887,724686,17.692B,15.20,-25.82%,
TLK,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,,14.66 +0.58 (+4.12%),0.58,+4.12%,601139,783249,14.523B,10.62,-36.78%,
SOMMY,"Sumitomo Chemical Company, Limited",,12.35 +0.42 (+3.52%),0.42,+3.52%,25147,9323,4.043B,-,12.99%,
CAR,"Avis Budget Group, Inc.",,61.55 +2.07 (+3.48%),2.07,+3.48%,1.351M,875474,2.161B,-,-51.73%,
TAL,TAL Education Group,,13.48 +0.45 (+3.45%),0.45,+3.45%,6.091M,7.356M,8.146B,70.95,15.72%,
SYY,Sysco Corporation,,72.75 +2.36 (+3.35%),2.36,+3.35%,3.191M,3.613M,35.591B,18.65,-14.10%,
STZ,"Constellation Brands, Inc.",,184.11 +5.75 (+3.22%),5.75,+3.22%,1.186M,2.833M,33.279B,49.10,-34.44%,
PII,Polaris Inc.,,42.96 +1.34 (+3.22%),1.34,+3.22%,1.2M,1.695M,2.401B,22.03,-57.99%,
IMPUY,Impala Platinum Holdings Limited,,6.75 +0.21 (+3.21%),0.21,+3.21%,31413,213776,6.106B,-,61.52%,
ANGPY,Anglo American Platinum Limited,,6.76 +0.21 (+3.21%),0.21,+3.21%,22291,131879,10.724B,27.04,-4.09%,
DLTR,"Dollar Tree, Inc.",,69.21 +2.07 (+3.08%),2.07,+3.08%,17.726M,3.121M,14.883B,-,-49.33%,
TAP,Molson Coors Beverage Company,,60.56 +1.80 (+3.06%),1.8,+3.06%,1.97M,2.203M,11.918B,11.32,-12.74%,
