Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
LB,LandBridge Company LLC,,81.58 +4.53 (+5.88%),4.53,+5.88%,599727,641989,6.237B,-,252.40%,
LTH,"Life Time Group Holdings, Inc.",,32.47 +1.80 (+5.87%),1.8,+5.87%,2.128M,2.29M,7.069B,43.88,120.58%,
DECK,Deckers Outdoor Corporation,,124.68 +6.82 (+5.79%),6.82,+5.79%,3.439M,3.056M,18.923B,20.24,-20.20%,
STRL,"Sterling Infrastructure, Inc.",,133.95 +7.32 (+5.78%),7.32,+5.78%,400642,599837,4.099B,16.22,18.74%,
VRT,Vertiv Holdings Co,,93.69 +5.06 (+5.71%),5.06,+5.71%,6.206M,9.915M,35.675B,73.20,13.33%,
SKWD,"Skyward Specialty Insurance Group, Inc.",,52.58 +2.83 (+5.69%),2.83,+5.69%,415311,395267,2.11B,18.32,46.58%,
CENT,Central Garden & Pet Company,,35.58 +1.91 (+5.67%),1.91,+5.67%,612601,197893,2.119B,19.55,-14.47%,
AUR,"Aurora Innovation, Inc.",,7.64 +0.41 (+5.67%),0.41,+5.67%,9.032M,14.812M,13.297B,-,204.38%,
TPL,Texas Pacific Land Corporation,,"1,344.98 +71.83 (+5.64%)",71.83,+5.64%,147595,133194,30.914B,68.03,140.29%,
SITM,SiTime Corporation,,188.29 +10.03 (+5.63%),10.03,+5.63%,201349,304672,4.443B,-,109.65%,
LIF,"Life360, Inc.",,40.25 +2.13 (+5.59%),2.13,+5.59%,1.995M,426398,3.04B,-,49.07%,
CNTA,Centessa Pharmaceuticals plc,,16.63 +0.88 (+5.59%),0.88,+5.59%,965101,844652,2.215B,-,54.55%,
KTOS,"Kratos Defense & Security Solutions, Inc.",,32.53 +1.72 (+5.58%),1.72,+5.58%,2.989M,3.008M,4.972B,295.73,82.86%,
MTSI,"MACOM Technology Solutions Holdings, Inc.",,112.84 +5.95 (+5.57%),5.95,+5.57%,702830,742235,8.389B,-,18.85%,
IPGP,IPG Photonics Corporation,,67.62 +3.56 (+5.56%),3.56,+5.56%,373399,327459,2.877B,-,-24.23%,
BLD,TopBuild Corp.,,315.10 +16.58 (+5.55%),16.58,+5.55%,331206,323961,9.215B,15.53,-27.16%,
SIG,Signet Jewelers Limited,,61.27 +3.21 (+5.53%),3.21,+5.53%,1.749M,1.733M,2.628B,-,-37.55%,
BNTX,BioNTech SE,,100.64 +5.26 (+5.51%),5.26,+5.51%,962002,768922,24.151B,-,9.75%,
U,Unity Software Inc.,,22.73 +1.18 (+5.48%),1.18,+5.48%,6.869M,11.657M,9.312B,-,-14.87%,
ECG,"Everus Construction Group, Inc.",,41.35 +2.14 (+5.46%),2.14,+5.46%,491535,731605,2.109B,14.72,-15.61%,
EE,"Excelerate Energy, Inc.",,30.75 +1.58 (+5.42%),1.58,+5.42%,243204,222901,3.256B,24.21,97.50%,
TTD,"The Trade Desk, Inc.",,59.34 +3.03 (+5.38%),3.03,+5.38%,9.805M,8.732M,29.438B,76.08,-31.83%,
ASO,"Academy Sports and Outdoors, Inc.",,49.77 +2.54 (+5.38%),2.54,+5.38%,1.728M,1.667M,3.335B,8.69,-23.99%,
RL,Ralph Lauren Corporation,,236.04 +12.01 (+5.36%),12.01,+5.36%,1.358M,872398,14.579B,21.50,29.06%,
DOCS,"Doximity, Inc.",,66.34 +3.35 (+5.32%),3.35,+5.32%,3.877M,2.41M,12.448B,66.34,145.79%,
AFRM,"Affirm Holdings, Inc.",,52.54 +2.64 (+5.29%),2.64,+5.29%,6.132M,7.284M,16.818B,-,40.74%,
M,"Macy's, Inc.",,13.94 +0.70 (+5.29%),0.7,+5.29%,6.392M,7.096M,3.871B,6.73,-26.94%,
SHAK,Shake Shack Inc.,,95.48 +4.78 (+5.27%),4.78,+5.27%,1.13M,1.414M,4.061B,397.83,-6.74%,
ANET,Arista Networks Inc,,87.51 +4.38 (+5.27%),4.38,+5.27%,6.841M,10.271M,110.361B,39.24,17.53%,
HRI,Herc Holdings Inc.,,142.75 +7.14 (+5.27%),7.14,+5.27%,464331,475091,4.126B,19.32,-14.88%,
CPRI,Capri Holdings Limited,,21.27 +1.06 (+5.24%),1.06,+5.24%,3.002M,3.467M,2.508B,-,-52.48%,
RDNT,"RadNet, Inc.",,51.83 +2.58 (+5.24%),2.58,+5.24%,560760,889644,3.838B,1295.75,7.29%,
GKOS,Glaukos Corporation,,107.61 +5.35 (+5.23%),5.35,+5.23%,753869,837310,6.087B,-,19.97%,
NXPI,NXP Semiconductors N.V.,,211.12 +10.48 (+5.22%),10.48,+5.22%,2.743M,2.818M,53.544B,21.70,-11.69%,
GFF,Griffon Corporation,,74.49 +3.69 (+5.21%),3.69,+5.21%,379640,371918,3.541B,15.20,2.04%,
FDX,FedEx Corporation,,242.32 +11.99 (+5.21%),11.99,+5.21%,3.98M,1.841M,58.06B,15.24,-16.15%,
RUSHB,"Rush Enterprises, Inc.",,58.59 +2.89 (+5.19%),2.89,+5.19%,49708,24644,4.466B,15.75,13.59%,
DKS,"DICK'S Sporting Goods, Inc.",,205.56 +10.11 (+5.17%),10.11,+5.17%,1.443M,1.272M,16.748B,14.64,-5.94%,
PTON,"Peloton Interactive, Inc.",,7.32 +0.36 (+5.17%),0.36,+5.17%,13.271M,15.05M,2.855B,-,75.96%,
UI,Ubiquiti Inc.,,332.96 +16.36 (+5.17%),16.36,+5.17%,87312,100677,20.141B,45.24,199.51%,
CART,Maplebear Inc.,,40.91 +2.01 (+5.17%),2.01,+5.17%,4.489M,4.474M,10.827B,25.89,11.96%,
SITE,"SiteOne Landscape Supply, Inc.",,128.30 +6.30 (+5.16%),6.3,+5.16%,457410,413781,5.769B,47.34,-28.94%,
AL,Air Lease Corporation,,49.50 +2.43 (+5.16%),2.43,+5.16%,730527,681633,5.532B,14.86,-1.61%,
CAKE,The Cheesecake Factory Incorporated,,51.20 +2.50 (+5.13%),2.5,+5.13%,1.386M,1.541M,2.644B,16.00,48.06%,
FNMAS,Federal National Mortgage Association,,12.30 +0.60 (+5.13%),0.6,+5.13%,326198,1.459M,15.568B,1757.14,188.06%,
SAIA,"Saia, Inc.",,381.49 +18.59 (+5.12%),18.59,+5.12%,372478,446540,10.16B,28.26,-35.06%,
THC,Tenet Healthcare Corporation,,129.49 +6.29 (+5.11%),6.29,+5.11%,1.544M,1.458M,12.317B,3.96,26.55%,
RIVN,"Rivian Automotive, Inc.",,12.19 +0.59 (+5.09%),0.59,+5.09%,28.208M,32.041M,13.783B,-,15.87%,
NXE,NexGen Energy Ltd.,,5.17 +0.25 (+5.08%),0.25,+5.08%,15.675M,9.575M,2.942B,-,-31.88%,
AGYS,"Agilysys, Inc.",,77.46 +3.73 (+5.06%),3.73,+5.06%,276954,370694,2.166B,103.28,-2.54%,
AN,"AutoNation, Inc.",,175.21 +8.40 (+5.04%),8.4,+5.04%,530455,473771,6.876B,10.35,8.19%,
PINS,"Pinterest, Inc.",,34.04 +1.62 (+5.00%),1.62,+5.00%,11.456M,11.948M,23.087B,12.75,-4.14%,
GTLS,"Chart Industries, Inc.",,162.92 +7.74 (+4.99%),7.74,+4.99%,451986,706672,7.444B,39.07,-0.08%,
PAYO,Payoneer Global Inc.,,7.83 +0.37 (+4.96%),0.37,+4.96%,3.795M,3.253M,2.818B,25.26,65.89%,
SYM,Symbotic Inc.,,23.50 +1.11 (+4.96%),1.11,+4.96%,1.072M,1.975M,13.827B,-,-50.93%,
STEP,StepStone Group Inc.,,56.54 +2.67 (+4.96%),2.67,+4.96%,507607,553184,6.743B,-,66.00%,
AEO,"American Eagle Outfitters, Inc.",,12.72 +0.60 (+4.95%),0.6,+4.95%,7.153M,5.238M,2.194B,7.57,-48.61%,
AAON,"AAON, Inc.",,83.58 +3.93 (+4.93%),3.93,+4.93%,594791,905205,6.82B,41.38,-3.45%,
OSIS,"OSI Systems, Inc.",,203.32 +9.54 (+4.92%),9.54,+4.92%,195455,256533,3.416B,26.10,45.39%,
NVST,Envista Holdings Corporation,,17.48 +0.82 (+4.92%),0.82,+4.92%,2.621M,2.472M,3.01B,-,-15.80%,
SKYW,"SkyWest, Inc.",,95.59 +4.47 (+4.91%),4.47,+4.91%,596948,467906,3.855B,12.30,40.00%,
DDOG,"Datadog, Inc.",,110.17 +5.14 (+4.89%),5.14,+4.89%,4.359M,5.031M,37.762B,211.87,-10.76%,
SHOP,Shopify Inc.,,109.28 +5.07 (+4.87%),5.07,+4.87%,9.494M,8.341M,141.415B,70.50,39.16%,
OMF,"OneMain Holdings, Inc.",,52.87 +2.45 (+4.86%),2.45,+4.86%,2.129M,1.043M,6.311B,12.47,7.13%,
ARM,Arm Holdings plc,,124.85 +5.78 (+4.85%),5.78,+4.85%,4.256M,5.762M,131.592B,164.28,-2.43%,
BFH,"Bread Financial Holdings, Inc.",,52.42 +2.42 (+4.84%),2.42,+4.84%,984122,784955,2.573B,9.46,41.79%,
EVR,Evercore Inc.,,216.84 +10.00 (+4.83%),10.0,+4.83%,560179,553649,8.483B,23.85,13.98%,
PRCT,PROCEPT BioRobotics Corporation,,60.90 +2.80 (+4.82%),2.8,+4.82%,750160,891042,3.338B,-,31.17%,
FN,Fabrinet,,231.33 +10.63 (+4.82%),10.63,+4.82%,1.157M,749193,8.325B,25.90,24.14%,
MBLY,Mobileye Global Inc.,,15.26 +0.70 (+4.81%),0.7,+4.81%,3.119M,5.57M,12.387B,-,-51.32%,
SKT,Tanger Inc.,,33.41 +1.53 (+4.80%),1.53,+4.80%,732667,769288,3.765B,37.97,16.13%,
MOD,Modine Manufacturing Company,,92.82 +4.25 (+4.80%),4.25,+4.80%,751413,1.338M,4.88B,31.25,-3.15%,
TARS,"Tarsus Pharmaceuticals, Inc.",,52.36 +2.39 (+4.78%),2.39,+4.78%,770948,651572,2.157B,-,54.73%,
CG,The Carlyle Group Inc.,,46.24 +2.11 (+4.78%),2.11,+4.78%,2.717M,2.521M,16.702B,16.69,-0.43%,
IOT,Samsara Inc.,,42.08 +1.92 (+4.78%),1.92,+4.78%,3.132M,3.841M,23.615B,-,6.80%,
TWST,Twist Bioscience Corporation,,44.94 +2.05 (+4.78%),2.05,+4.78%,725329,959542,2.681B,-,33.16%,
SG,"Sweetgreen, Inc.",,26.13 +1.19 (+4.77%),1.19,+4.77%,3.341M,3.56M,3.065B,-,6.96%,
BIRK,Birkenstock Holding plc,,47.43 +2.16 (+4.77%),2.16,+4.77%,1.358M,1.597M,8.909B,37.35,2.53%,
SMMT,Summit Therapeutics Inc.,,20.69 +0.94 (+4.76%),0.94,+4.76%,1.542M,2.427M,15.263B,-,453.21%,
CIVI,"Civitas Resources, Inc.",,36.44 +1.65 (+4.74%),1.65,+4.74%,2.086M,1.825M,3.39B,4.31,-50.60%,
CVLT,"Commvault Systems, Inc.",,169.17 +7.65 (+4.74%),7.65,+4.74%,322481,476172,7.443B,44.40,70.24%,
BWXT,"BWX Technologies, Inc.",,104.08 +4.70 (+4.73%),4.7,+4.73%,918519,1.004M,9.512B,33.90,3.81%,
SN,"SharkNinja, Inc.",,92.10 +4.15 (+4.72%),4.15,+4.72%,1.938M,1.241M,12.926B,29.61,51.26%,
VMI,"Valmont Industries, Inc.",,298.97 +13.47 (+4.72%),13.47,+4.72%,328703,139615,6.001B,17.39,35.82%,
JEF,Jefferies Financial Group Inc.,,62.17 +2.80 (+4.72%),2.8,+4.72%,1.324M,1.797M,12.816B,21.00,37.48%,
KKR,KKR & Co. Inc.,,121.97 +5.47 (+4.70%),5.47,+4.70%,5.275M,5.205M,112.556B,37.19,20.70%,
AZZ,AZZ Inc.,,86.31 +3.87 (+4.69%),3.87,+4.69%,317457,251201,2.579B,51.07,12.74%,
TDW,Tidewater Inc.,,44.04 +1.97 (+4.68%),1.97,+4.68%,1.098M,1.214M,2.267B,12.95,-51.63%,
GNRC,Generac Holdings Inc.,,137.67 +6.15 (+4.68%),6.15,+4.68%,819743,837959,8.207B,25.49,15.84%,
OC,Owens Corning,,151.18 +6.74 (+4.67%),6.74,+4.67%,814399,936113,12.932B,20.54,-7.90%,
ODD,Oddity Tech Ltd.,,45.34 +2.02 (+4.66%),2.02,+4.66%,206022,425632,2.531B,27.65,8.52%,
CMC,Commercial Metals Company,,48.75 +2.16 (+4.64%),2.16,+4.64%,1.568M,1.212M,5.521B,81.25,-14.92%,
ENVA,"Enova International, Inc.",,101.94 +4.51 (+4.63%),4.51,+4.63%,251572,239327,2.629B,13.72,66.62%,
MRNA,"Moderna, Inc.",,34.17 +1.51 (+4.62%),1.51,+4.62%,10.482M,11.419M,13.211B,-,-68.19%,
RCL,Royal Caribbean Cruises Ltd.,,225.40 +9.91 (+4.60%),9.91,+4.60%,2.178M,2.693M,60.662B,20.62,64.68%,
TEX,Terex Corporation,,40.88 +1.79 (+4.58%),1.79,+4.58%,1.002M,941442,2.714B,8.24,-34.75%,
ROST,"Ross Stores, Inc.",,129.18 +5.64 (+4.57%),5.64,+4.57%,4.208M,2.846M,42.62B,20.44,-10.65%,
SOUN,"SoundHound AI, Inc.",,10.31 +0.45 (+4.56%),0.45,+4.56%,26.107M,51.762M,4.113B,-,77.45%,
QTWO,"Q2 Holdings, Inc.",,82.82 +3.61 (+4.56%),3.61,+4.56%,742842,767449,5.029B,-,62.11%,
ACLX,"Arcellx, Inc.",,72.48 +3.15 (+4.54%),3.15,+4.54%,567410,640908,3.982B,-,3.35%,
BANC,"Banc of California, Inc.",,14.73 +0.64 (+4.54%),0.64,+4.54%,3.415M,2.11M,2.484B,28.33,1.80%,
ATGE,Adtalem Global Education Inc.,,103.29 +4.48 (+4.53%),4.48,+4.53%,325902,427037,3.849B,19.67,101.62%,
ESTC,Elastic N.V.,,101.61 +4.40 (+4.53%),4.4,+4.53%,1.178M,1.406M,10.609B,-,1.15%,
DAL,"Delta Air Lines, Inc.",,48.88 +2.11 (+4.51%),2.11,+4.51%,8.428M,9.83M,31.575B,9.17,6.42%,
LSCC,Lattice Semiconductor Corporation,,63.40 +2.73 (+4.50%),2.73,+4.50%,1.824M,2.281M,8.725B,144.09,-18.37%,
GRND,Grindr Inc.,,18.12 +0.78 (+4.50%),0.78,+4.50%,1.68M,1.581M,3.773B,-,83.03%,
LAD,"Lithia Motors, Inc.",,319.96 +13.75 (+4.49%),13.75,+4.49%,319083,362413,8.406B,10.79,7.05%,
CALM,"Cal-Maine Foods, Inc.",,93.20 +4.00 (+4.48%),4.0,+4.48%,766515,963279,4.571B,7.25,56.74%,
EME,"EMCOR Group, Inc.",,412.85 +17.71 (+4.48%),17.71,+4.48%,560881,510462,18.773B,19.19,17.56%,
TPG,TPG Inc.,,52.24 +2.24 (+4.48%),2.24,+4.48%,1.473M,1.267M,19.301B,-,16.71%,
DLTR,"Dollar Tree, Inc.",,69.74 +2.99 (+4.48%),2.99,+4.48%,6.177M,3.077M,14.997B,-,-45.31%,
ONON,On Holding AG,,48.32 +2.07 (+4.48%),2.07,+4.48%,4.37M,4.217M,15.648B,58.22,41.91%,
AIT,"Applied Industrial Technologies, Inc.",,234.58 +10.04 (+4.47%),10.04,+4.47%,277916,323666,9.003B,23.74,19.98%,
GPI,"Group 1 Automotive, Inc.",,418.18 +17.84 (+4.46%),17.84,+4.46%,121941,151823,5.539B,11.39,47.04%,
EXP,Eagle Materials Inc.,,227.88 +9.72 (+4.46%),9.72,+4.46%,398733,352991,7.586B,16.31,-15.62%,
ULTA,"Ulta Beauty, Inc.",,366.16 +15.59 (+4.45%),15.59,+4.45%,1.082M,1.011M,16.98B,14.45,-28.81%,
BCO,The Brink's Company,,87.55 +3.72 (+4.44%),3.72,+4.44%,426922,262110,3.782B,24.25,-3.05%,
NEXT,NextDecade Corporation,,9.43 +0.40 (+4.43%),0.4,+4.43%,2.654M,1.873M,2.456B,-,71.45%,
AVT,"Avnet, Inc.",,49.07 +2.08 (+4.43%),2.08,+4.43%,1.282M,844030,4.245B,13.86,1.38%,
NPO,Enpro Inc.,,179.88 +7.62 (+4.42%),7.62,+4.42%,76311,113950,3.785B,52.14,12.10%,
BIP,Brookfield Infrastructure Partners L.P.,,29.99 +1.27 (+4.42%),1.27,+4.42%,498724,479683,13.851B,749.75,1.21%,
BBUC,Brookfield Business Corporation,,27.65 +1.17 (+4.42%),1.17,+4.42%,64856,64777,2.017B,-,17.96%,
NUE,Nucor Corporation,,127.40 +5.39 (+4.42%),5.39,+4.42%,4.232M,2.851M,29.371B,15.06,-34.35%,
