Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
MLGO,MicroAlgo Inc.,,13.99 +11.47 (+455.16%),11.47,+455.16%,301.246M,21.088M,139.52M,-,-84.56%,
TNXP,Tonix Pharmaceuticals Holding Corp.,,30.51 +7.48 (+32.48%),7.48,+32.48%,7.366M,1.641M,196.328M,-,-97.20%,
CLSK,"CleanSpark, Inc.",,8.79 +1.35 (+18.15%),1.35,+18.15%,37.257M,24.755M,2.468B,-,-62.10%,
MARA,"MARA Holdings, Inc.",,14.61 +2.23 (+18.01%),2.23,+18.01%,51.781M,38.572M,5.052B,8.49,-28.31%,
IONQ,"IonQ, Inc.",,26.12 +3.86 (+17.34%),3.86,+17.34%,34.546M,25.17M,6.24B,-,186.72%,
AZEK,The AZEK Company Inc.,,48.56 +7.17 (+17.32%),7.17,+17.32%,26.823M,2.07M,6.985B,49.05,-2.02%,
TEM,"Tempus AI, Inc.",,59.00 +7.65 (+14.90%),7.65,+14.90%,14.228M,13.074M,10.161B,-,46.58%,
ASTS,"AST SpaceMobile, Inc.",,29.30 +3.59 (+13.96%),3.59,+13.96%,10.744M,11.854M,9.273B,-,942.70%,
OKLO,Oklo Inc.,,30.91 +3.75 (+13.81%),3.75,+13.81%,18.636M,17.612M,4.228B,-,179.73%,
W,Wayfair Inc.,,37.86 +4.20 (+12.48%),4.2,+12.48%,7.637M,3.906M,4.805B,-,-41.54%,
COHR,Coherent Corp.,,76.71 +8.47 (+12.41%),8.47,+12.41%,4.842M,3.9M,11.888B,-,28.54%,
TSLA,"Tesla, Inc.",,278.39 +29.68 (+11.93%),29.68,+11.93%,160.913M,91.299M,895.447B,137.14,56.69%,
CVNA,Carvana Co.,,213.63 +22.68 (+11.88%),22.68,+11.88%,5.082M,4.405M,24.983B,135.21,135.25%,
FNMA,Federal National Mortgage Association,,7.10 +0.71 (+11.11%),0.71,+11.11%,5.826M,17.049M,8.222B,-,264.10%,
ROOT,"Root, Inc.",,177.69 +17.43 (+10.88%),17.43,+10.88%,799754,567933,2.701B,97.10,204.39%,
LITE,Lumentum Holdings Inc.,,73.63 +7.02 (+10.54%),7.02,+10.54%,2.576M,2.478M,5.095B,-,52.10%,
MSTR,MicroStrategy Incorporated,,335.72 +31.72 (+10.43%),31.72,+10.43%,22.948M,18.633M,87.441B,-,78.86%,
RIOT,"Riot Platforms, Inc.",,8.72 +0.77 (+9.69%),0.77,+9.69%,29.23M,28.957M,3.054B,25.65,-27.63%,
CORZ,"Core Scientific, Inc.",,9.31 +0.80 (+9.40%),0.8,+9.40%,16.462M,13.862M,2.738B,-,187.35%,
NFE,New Fortress Energy Inc.,,12.22 +1.05 (+9.40%),1.05,+9.40%,5.415M,5.035M,3.345B,-,-58.72%,
URBN,"Urban Outfitters, Inc.",,53.58 +4.45 (+9.06%),4.45,+9.06%,2.264M,2.003M,4.944B,12.58,26.01%,
CRDO,Credo Technology Group Holding Ltd,,50.53 +4.19 (+9.04%),4.19,+9.04%,5.265M,5.734M,8.58B,1684.33,133.29%,
HOOD,"Robinhood Markets, Inc.",,48.36 +4.00 (+9.02%),4.0,+9.02%,50.518M,33.703M,42.821B,31.00,150.83%,
QXO,"QXO, Inc.",,13.80 +1.13 (+8.92%),1.13,+8.92%,6.863M,2.359M,5.65B,-,-86.82%,
BHVN,Biohaven Ltd.,,31.04 +2.50 (+8.76%),2.5,+8.76%,1.071M,979013,3.168B,-,-44.86%,
ZETA,Zeta Global Holdings Corp.,,15.66 +1.23 (+8.52%),1.23,+8.52%,4.956M,6.203M,3.723B,-,44.87%,
GAP,"The Gap, Inc.",,21.67 +1.65 (+8.24%),1.65,+8.24%,12.225M,6.945M,8.124B,9.85,-21.83%,
NBIS,Nebius Group N.V.,,29.19 +2.21 (+8.19%),2.21,+8.19%,9.969M,12.631M,6.882B,-,45.95%,
APP,AppLovin Corporation,,339.72 +25.69 (+8.18%),25.69,+8.18%,8.992M,7.343M,115.491B,75.16,377.87%,
RDDT,"Reddit, Inc.",,124.94 +9.24 (+7.99%),9.24,+7.99%,8.919M,7.161M,22.602B,-,91.89%,
RNA,"Avidity Biosciences, Inc.",,33.30 +2.46 (+7.98%),2.46,+7.98%,1.122M,1.339M,4.003B,-,38.46%,
RGTI,"Rigetti Computing, Inc.",,9.78 +0.71 (+7.83%),0.71,+7.83%,46.543M,121.917M,2.795B,-,547.68%,
RBRK,"Rubrik, Inc.",,73.46 +5.27 (+7.73%),5.27,+7.73%,2.698M,2.241M,13.941B,-,98.54%,
CAVA,"CAVA Group, Inc.",,90.33 +6.48 (+7.73%),6.48,+7.73%,3.694M,2.994M,10.442B,82.12,32.41%,
GLNG,Golar LNG Limited,,40.67 +2.91 (+7.71%),2.91,+7.71%,4.47M,1.487M,4.25B,290.50,72.92%,
FIX,"Comfort Systems USA, Inc.",,379.24 +27.09 (+7.69%),27.09,+7.69%,459010,538516,13.483B,25.98,19.16%,
BROS,Dutch Bros Inc.,,70.45 +5.02 (+7.67%),5.02,+7.67%,4.17M,3.124M,10.864B,207.21,112.97%,
HIMS,"Hims & Hers Health, Inc.",,37.41 +2.66 (+7.65%),2.66,+7.65%,26.275M,21.876M,8.311B,70.58,136.47%,
ROAD,"Construction Partners, Inc.",,79.31 +5.48 (+7.42%),5.48,+7.42%,408089,588979,4.437B,74.82,41.93%,
BPMC,Blueprint Medicines Corporation,,95.27 +6.55 (+7.38%),6.55,+7.38%,1.32M,997227,6.088B,-,6.25%,
BOOT,"Boot Barn Holdings, Inc.",,112.36 +7.63 (+7.29%),7.63,+7.29%,709212,921727,3.437B,20.06,28.46%,
FTAI,FTAI Aviation Ltd.,,114.91 +7.68 (+7.16%),7.68,+7.16%,1.27M,3.17M,11.784B,-,72.28%,
UAL,"United Airlines Holdings, Inc.",,80.22 +5.35 (+7.15%),5.35,+7.15%,8.686M,7.489M,26.259B,8.49,76.62%,
BBWI,"Bath & Body Works, Inc.",,32.42 +2.14 (+7.07%),2.14,+7.07%,6.724M,4.755M,6.945B,8.98,-32.43%,
OSCR,"Oscar Health, Inc.",,13.96 +0.92 (+7.06%),0.92,+7.06%,3.581M,4.611M,3.498B,139.60,0.00%,
BBIO,"BridgeBio Pharma, Inc.",,37.22 +2.45 (+7.05%),2.45,+7.05%,4.289M,2.996M,7.079B,-,25.07%,
WRBY,Warby Parker Inc.,,20.23 +1.33 (+7.04%),1.33,+7.04%,2.612M,1.994M,2.445B,-,58.67%,
AMD,"Advanced Micro Devices, Inc.",,113.85 +7.41 (+6.96%),7.41,+6.96%,53.128M,38.201M,184.492B,113.85,-35.99%,
COIN,"Coinbase Global, Inc.",,203.04 +13.18 (+6.94%),13.18,+6.94%,8.984M,9.08M,51.548B,21.42,-23.90%,
LMND,"Lemonade, Inc.",,36.91 +2.33 (+6.74%),2.33,+6.74%,2.494M,2.266M,2.688B,-,127.28%,
ANGI,Angi Inc.,,16.65 +1.05 (+6.73%),1.05,+6.73%,345535,1.307M,831.924M,23.79,521.27%,
RKLB,"Rocket Lab USA, Inc.",,20.21 +1.27 (+6.71%),1.27,+6.71%,13.421M,18.958M,9.166B,-,397.78%,
DUOL,"Duolingo, Inc.",,330.00 +20.70 (+6.69%),20.7,+6.69%,1.032M,816372,14.93B,175.53,47.69%,
SOFI,"SoFi Technologies, Inc.",,13.72 +0.85 (+6.60%),0.85,+6.60%,58.626M,45.617M,15.045B,35.18,90.56%,
GSAT,"Globalstar, Inc. Common Stock",,23.42 +1.45 (+6.60%),1.45,+6.60%,731954,958810,2.961B,-,15.65%,
MTNOY,MTN Group Limited,,6.80 +0.42 (+6.58%),0.42,+6.58%,46751,35205,12.512B,-,37.65%,
POWL,"Powell Industries, Inc.",,196.27 +12.05 (+6.54%),12.05,+6.54%,339749,506345,2.368B,14.90,39.86%,
RH,RH,,257.84 +15.66 (+6.47%),15.66,+6.47%,1.199M,713864,4.797B,71.42,-9.93%,
EAT,"Brinker International, Inc.",,154.15 +9.34 (+6.45%),9.34,+6.45%,1.026M,1.396M,6.845B,26.81,224.80%,
HQY,"HealthEquity, Inc.",,90.32 +5.44 (+6.41%),5.44,+6.41%,1.51M,912884,7.812B,82.86,13.64%,
PVH,PVH Corp.,,69.30 +4.15 (+6.37%),4.15,+6.37%,1.306M,1.065M,3.855B,5.68,-49.41%,
PLTR,Palantir Technologies Inc.,,96.75 +5.79 (+6.37%),5.79,+6.37%,111.166M,97.275M,226.914B,509.21,288.71%,
MPWR,"Monolithic Power Systems, Inc.",,627.93 +36.95 (+6.25%),36.95,+6.25%,879890,879701,30.056B,17.15,-5.79%,
BURL,"Burlington Stores, Inc.",,248.55 +14.59 (+6.24%),14.59,+6.24%,1.01M,1.093M,15.71B,31.87,10.56%,
CPRX,"Catalyst Pharmaceuticals, Inc.",,25.74 +1.51 (+6.23%),1.51,+6.23%,3.024M,1.309M,3.126B,19.65,63.43%,
CRS,Carpenter Technology Corporation,,195.23 +11.42 (+6.21%),11.42,+6.21%,645002,825684,9.751B,36.91,185.09%,
MTZ,"MasTec, Inc.",,131.68 +7.65 (+6.17%),7.65,+6.17%,1.314M,1.16M,10.441B,64.23,43.80%,
UPST,"Upstart Holdings, Inc.",,55.14 +3.18 (+6.12%),3.18,+6.12%,5.404M,5.775M,5.167B,-,107.45%,
BILL,"BILL Holdings, Inc.",,50.85 +2.93 (+6.11%),2.93,+6.11%,1.92M,3.246M,5.184B,130.38,-23.45%,
KNF,Knife River Corporation,,96.65 +5.54 (+6.08%),5.54,+6.08%,460364,448998,5.472B,27.23,21.33%,
CIEN,Ciena Corporation,,69.53 +3.97 (+6.06%),3.97,+6.06%,1.342M,2.511M,9.883B,126.42,40.41%,
CROX,"Crocs, Inc.",,110.92 +6.33 (+6.05%),6.33,+6.05%,1.867M,1.654M,6.218B,6.98,-20.80%,
GENI,Genius Sports Limited,,11.04 +0.63 (+6.05%),0.63,+6.05%,6.192M,3.055M,2.57B,-,92.67%,
TDC,Teradata Corporation,,24.26 +1.36 (+5.94%),1.36,+5.94%,1.536M,1.519M,2.295B,20.91,-37.33%,
DDS,"Dillard's, Inc.",,374.18 +20.93 (+5.92%),20.93,+5.92%,170468,148955,5.938B,10.16,-15.33%,
CELH,"Celsius Holdings, Inc.",,34.88 +1.95 (+5.92%),1.95,+5.92%,14.525M,10.12M,8.201B,77.51,-61.76%,
MMYT,MakeMyTrip Limited,,107.02 +5.96 (+5.90%),5.96,+5.90%,663767,812584,11.749B,56.33,53.50%,
