Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
NFE,New Fortress Energy Inc.,,8.57 +0.99 (+13.06%),0.99,+13.06%,60056,5.518M,2.346B,-,-71.17%,
RNA,"Avidity Biosciences, Inc.",,29.77 +3.03 (+11.33%),3.03,+11.33%,455,1.439M,3.579B,-,25.66%,
SWTX,"SpringWorks Therapeutics, Inc.",,45.06 -1.46 (-3.12%),-1.46,-3.12%,17241,2.566M,3.377B,-,4.49%,
ACLX,"Arcellx, Inc.",,67.23 +6.53 (+10.76%),6.53,+10.76%,758,667980,3.694B,-,8.42%,
AMTM,"Amentum Holdings, Inc.",,19.71 +1.84 (+10.30%),1.84,+10.30%,5.827M,2.554M,4.796B,-,-33.21%,
RKT,"Rocket Companies, Inc.",,,,,,,,,,
