Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
GT,The Goodyear Tire & Rubber Company,,9.71 -0.48 (-4.71%),-0.48,-4.71%,118859,5.85M,2.768B,40.46,-21.31%,
LW,"Lamb Weston Holdings, Inc.",,59.57 +5.42 (+10.01%),5.42,+10.01%,48257,2.838M,8.406B,23.36,-25.33%,
VTMX,"Corporación Inmobiliaria Vesta, S.A.B. de C.V.",,24.89 +2.09 (+9.17%),2.09,+9.17%,1951,214573,2.133B,9.84,-37.99%,
MOH,"Molina Healthcare, Inc.",,351.52 -1.71 (-0.49%),-1.71,-0.49%,18473,744893,19.228B,17.21,-6.25%,
PAGS,PagSeguro Digital Ltd.,,8.09 -0.41 (-4.60%),-0.41,-4.60%,104863,4.376M,2.458B,6.91,-36.90%,
STNE,StoneCo Ltd.,,10.85 -0.54 (-4.70%),-0.54,-4.70%,97851,6.565M,2.978B,-,-32.32%,
CNC,Centene Corporation,,64.23 -0.06 (-0.09%),-0.06,-0.09%,17034,4.538M,31.862B,10.18,-11.67%,
DANOY,Danone S.A.,,16.09 +0.86 (+5.65%),0.86,+5.65%,156348,767550,51.823B,23.66,27.90%,
NGG,National Grid plc,,69.49 +0.10 (+0.14%),0.1,+0.14%,476737,694314,68.06B,26.32,4.61%,
ELV,"Elevance Health, Inc.",,451.00 -1.69 (-0.37%),-1.69,-0.37%,35794,1.659M,102.101B,17.57,-10.77%,
SBAC,SBA Communications Corporation,,230.87 +11.53 (+5.26%),11.53,+5.26%,2753,856983,24.845B,33.22,8.19%,
KR,The Kroger Co.,,70.67 -0.07 (-0.10%),-0.07,-0.10%,184453,6.095M,46.705B,19.26,23.43%,
XIACF,Xiaomi Corporation,,5.95 +0.28 (+4.94%),0.28,+4.94%,25905,186503,152.827B,45.77,194.55%,
FSLR,"First Solar, Inc.",,134.27 -1.96 (-1.44%),-1.96,-1.44%,116714,2.924M,14.375B,11.18,-21.98%,
AMT,American Tower Corporation,,232.32 +4.13 (+1.81%),4.13,+1.81%,691807,2.597M,108.756B,33.62,19.99%,
SSEZY,SSE plc,,21.80 +0.98 (+4.71%),0.98,+4.71%,28225,199129,23.965B,9.73,6.29%,
DG,Dollar General Corporation,,92.52 -1.89 (-2.00%),-1.89,-2.00%,62717,4.056M,20.349B,18.11,-40.83%,
ORANY,Orange S.A.,,13.60 +0.59 (+4.53%),0.59,+4.53%,11000,204160,36.135B,17.00,18.06%,
UL,Unilever PLC,,62.55 +2.69 (+4.49%),2.69,+4.49%,72640,2.686M,156.633B,25.32,29.13%,
SBS,Companhia de Saneamento Básico do Estado de São Paulo - SABESP,,17.86 -0.83 (-4.44%),-0.83,-4.44%,32714,889485,12.207B,15.95,12.73%,
FCFS,"FirstCash Holdings, Inc.",,127.31 +5.23 (+4.28%),5.23,+4.28%,1066,258193,5.698B,22.22,2.04%,
PPC,Pilgrim's Pride Corporation,,51.06 +2.06 (+4.20%),2.06,+4.20%,7189,1.376M,12.107B,11.17,45.55%,
BTI,British American Tobacco p.l.c.,,41.34 -0.58 (-1.38%),-0.58,-1.38%,421444,4.755M,90.752B,23.49,41.62%,
CSAN,Cosan S.A.,,5.54 +0.22 (+4.14%),0.22,+4.14%,1.493M,1.071M,2.574B,-,-54.02%,
ELP,Companhia Paranaense de Energia - COPEL,,7.71 +0.30 (+4.05%),0.3,+4.05%,145577,247932,5.283B,14.02,0.13%,
AWK,"American Water Works Company, Inc.",,155.29 +3.33 (+2.19%),3.33,+2.19%,46495,1.505M,30.284B,28.81,28.21%,
TU,TELUS Corporation,,14.33 -0.21 (-1.42%),-0.21,-1.42%,5028,3.738M,21.696B,30.49,-9.24%,
BCE,BCE Inc.,,22.56 -0.10 (-0.46%),-0.1,-0.46%,52871,3.113M,20.792B,173.50,-31.19%,
AMX,"América Móvil, S.A.B. de C.V.",,15.01 +0.55 (+3.80%),0.55,+3.80%,3.229M,1.714M,45.586B,32.63,-19.47%,
PM,Philip Morris International Inc.,,161.57 -0.51 (-0.31%),-0.51,-0.31%,194413,6.194M,251.474B,26.88,81.12%,
XIACY,Xiaomi Corporation,,29.42 +1.07 (+3.77%),1.07,+3.77%,16450,873524,152.827B,45.97,164.33%,
FMS,Fresenius Medical Care AG,,24.65 -1.01 (-3.94%),-1.01,-3.94%,29058,293436,14.465B,24.90,36.85%,
ALHC,"Alignment Healthcare, Inc.",,18.51 +0.66 (+3.70%),0.66,+3.70%,2.632M,2.296M,3.551B,-,294.67%,
GSK,GSK plc,,37.74 -1.27 (-3.26%),-1.27,-3.26%,161244,5.061M,76.653B,23.44,-5.29%,
COR,"Cencora, Inc.",,289.36 +9.85 (+3.52%),9.85,+3.52%,26727,1.628M,56.053B,40.99,18.97%,
VIV,Telefônica Brasil S.A.,,9.30 +0.31 (+3.45%),0.31,+3.45%,1.025M,886693,15.076B,15.76,-8.73%,
TIMB,TIM S.A.,,16.51 +0.55 (+3.45%),0.55,+3.45%,640674,600268,7.992B,14.48,-9.98%,
MCK,McKesson Corporation,,716.93 +23.40 (+3.37%),23.4,+3.37%,21330,862845,89.85B,32.90,33.07%,
UNH,UnitedHealth Group Incorporated,,540.97 +0.53 (+0.10%),0.53,+0.10%,306733,4.796M,494.832B,34.88,18.59%,
TIGO,Millicom International Cellular S.A.,,30.50 +0.97 (+3.28%),0.97,+3.28%,1.29M,742122,5.132B,20.61,51.52%,
KT,KT Corporation,,17.87 +0.56 (+3.24%),0.56,+3.24%,1.474M,1.424M,8.786B,27.49,33.16%,
WTRG,"Essential Utilities, Inc.",,40.69 +0.05 (+0.12%),0.05,+0.12%,680834,1.638M,11.211B,18.75,13.42%,
CCI,Crown Castle Inc.,,108.70 +1.64 (+1.53%),1.64,+1.53%,57053,3.4M,47.331B,-,6.23%,
RCI,Rogers Communications Inc.,,26.15 +0.08 (+0.31%),0.08,+0.31%,17644,1.147M,14.255B,11.67,-34.20%,
BJ,"BJ's Wholesale Club Holdings, Inc.",,117.07 -1.42 (-1.20%),-1.42,-1.20%,29372,1.812M,15.415B,29.27,56.09%,
