Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
AMTM,"Amentum Holdings, Inc.",,19.81 +1.93 (+10.83%),1.93,+10.83%,2.242M,2.486M,4.819B,-,-39.44%,
RGTI,"Rigetti Computing, Inc.",,8.66 +0.86 (+10.95%),0.86,+10.95%,20.074M,106.583M,2.477B,-,457.86%,
CYTK,"Cytokinetics, Incorporated",,41.55 +4.05 (+10.80%),4.05,+10.80%,2.704M,1.654M,4.92B,-,-47.12%,
RNA,"Avidity Biosciences, Inc.",,29.49 +2.75 (+10.26%),2.75,+10.26%,1.815M,1.399M,3.544B,-,0.38%,
NFE,New Fortress Energy Inc.,,8.35 +0.77 (+10.22%),0.77,+10.22%,3.399M,5.422M,2.287B,-,-74.93%,
IONQ,"IonQ, Inc.",,25.53 +2.34 (+10.09%),2.34,+10.09%,16.707M,24.943M,6.099B,-,148.82%,
RKT,"Rocket Companies, Inc.",,13.80 +1.19 (+9.48%),1.19,+9.48%,22.674M,6.097M,27.415B,65.69,-4.83%,
TGTX,"TG Therapeutics, Inc.",,41.25 +3.50 (+9.28%),3.5,+9.28%,2.209M,2.659M,6.479B,274.99,160.88%,
CACI,CACI International Inc,,401.17 +31.27 (+8.45%),31.27,+8.45%,681859,526625,8.994B,18.83,0.03%,
SOUN,"SoundHound AI, Inc.",,8.91 +0.71 (+8.64%),0.71,+8.64%,11.406M,46.161M,3.554B,-,62.38%,
SWTX,"SpringWorks Therapeutics, Inc.",,45.40 +3.52 (+8.40%),3.52,+8.40%,1.181M,2.507M,3.402B,-,-9.39%,
ACLX,"Arcellx, Inc.",,65.56 +4.86 (+8.01%),4.86,+8.01%,433869,659763,3.602B,-,-3.96%,
SLNO,"Soleno Therapeutics, Inc.",,73.33 +5.07 (+7.43%),5.07,+7.43%,758011,942858,3.363B,-,63.46%,
COHR,Coherent Corp.,,68.71 +5.01 (+7.86%),5.01,+7.86%,1.654M,4.015M,10.648B,-,7.17%,
COOP,Mr. Cooper Group Inc.,,134.27 +9.19 (+7.34%),9.19,+7.34%,1.582M,746373,8.539B,12.92,65.14%,
LITE,Lumentum Holdings Inc.,,68.44 +4.85 (+7.63%),4.85,+7.63%,1.503M,2.576M,4.736B,-,32.89%,
PSN,Parsons Corporation,,63.92 +4.36 (+7.32%),4.36,+7.32%,954990,1.502M,6.825B,30.15,-27.74%,
LOAR,Loar Holdings Inc.,,76.44 +5.11 (+7.16%),5.11,+7.16%,86828,426658,7.151B,318.49,46.17%,
CIEN,Ciena Corporation,,65.94 +4.40 (+7.15%),4.4,+7.15%,1.387M,2.611M,9.373B,119.89,26.57%,
CVNA,Carvana Co.,,226.82 +14.23 (+6.69%),14.23,+6.69%,1.699M,4.451M,26.526B,142.65,158.00%,
BAH,Booz Allen Hamilton Holding Corporation,,,,,,,,,,
