Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
AKO-B,Embotelladora Andina S.A.,,22.98 +0.83 (+3.75%),0.83,+3.75%,21529,9355,3.249B,15.53,45.34%,
VFC,V.F. Corporation,,16.10 +0.58 (+3.74%),0.58,+3.74%,4.535M,7.452M,6.272B,-,8.68%,
FNMAS,Federal National Mortgage Association,,12.24 +0.44 (+3.73%),0.44,+3.73%,79602,1.464M,15.492B,1748.57,196.02%,
RL,Ralph Lauren Corporation,,228.92 +8.18 (+3.71%),8.18,+3.71%,1.297M,900840,14.139B,20.87,25.29%,
APLS,"Apellis Pharmaceuticals, Inc.",,22.68 +0.81 (+3.70%),0.81,+3.70%,4.525M,1.813M,2.847B,-,-60.74%,
DJT,Trump Media & Technology Group Corp.,,20.26 +0.72 (+3.68%),0.72,+3.68%,4.021M,7.367M,4.466B,-,-62.13%,
ACIW,"ACI Worldwide, Inc.",,56.70 +1.99 (+3.64%),1.99,+3.64%,1.1M,659336,5.973B,29.69,69.17%,
TSLA,"Tesla, Inc.",,268.46 +9.30 (+3.59%),9.3,+3.59%,142.012M,96.851M,863.507B,130.96,55.53%,
MNSO,MINISO Group Holding Limited,,19.15 +0.66 (+3.57%),0.66,+3.57%,760356,1.222M,5.909B,16.51,-13.96%,
TPR,"Tapestry, Inc.",,72.89 +2.48 (+3.52%),2.48,+3.52%,4.368M,5.545M,15.089B,21.19,52.73%,
VAL,Valaris Limited,,40.64 +1.38 (+3.52%),1.38,+3.52%,1.015M,1.852M,2.887B,7.94,-47.37%,
ENVA,"Enova International, Inc.",,99.92 +3.36 (+3.48%),3.36,+3.48%,188430,234978,2.577B,13.45,56.55%,
RBC,RBC Bearings Incorporated,,332.93 +11.16 (+3.47%),11.16,+3.47%,261183,149843,10.469B,45.61,22.13%,
RUSHB,"Rush Enterprises, Inc.",,58.48 +1.96 (+3.47%),1.96,+3.47%,38263,26690,4.419B,15.72,10.13%,
ZETA,Zeta Global Holdings Corp.,,14.03 +0.47 (+3.47%),0.47,+3.47%,2.611M,5.97M,3.335B,-,29.76%,
BAP,Credicorp Ltd.,,192.54 +6.38 (+3.43%),6.38,+3.43%,202322,288413,15.295B,10.24,9.51%,
SYM,Symbotic Inc.,,20.90 +0.69 (+3.41%),0.69,+3.41%,1.048M,1.969M,12.297B,-,-54.47%,
GEV,GE Vernova Inc.,,315.64 +10.36 (+3.39%),10.36,+3.39%,3.124M,4.11M,86.279B,56.47,118.06%,
RYCEY,Rolls-Royce Holdings plc,,10.14 +0.33 (+3.36%),0.33,+3.36%,561959,4.007M,86.554B,26.00,85.44%,
GRND,Grindr Inc.,,18.50 +0.60 (+3.35%),0.6,+3.35%,996507,1.641M,3.853B,-,70.96%,
AIBGY,AIB Group plc,,13.27 +0.43 (+3.35%),0.43,+3.35%,314522,149208,15.449B,6.60,33.23%,
NTES,"NetEase, Inc.",,106.35 +3.43 (+3.33%),3.43,+3.33%,1.198M,1.372M,68.542B,16.83,6.27%,
BOOT,"Boot Barn Holdings, Inc.",,111.00 +3.57 (+3.32%),3.57,+3.32%,662283,930140,3.396B,19.82,10.54%,
TOST,"Toast, Inc.",,34.26 +1.09 (+3.29%),1.09,+3.29%,5.205M,6.598M,19.699B,1142.00,41.75%,
CVLT,"Commvault Systems, Inc.",,162.94 +5.18 (+3.28%),5.18,+3.28%,495765,488660,7.169B,42.77,59.24%,
POWL,"Powell Industries, Inc.",,175.89 +5.56 (+3.26%),5.56,+3.26%,197660,499636,2.122B,13.36,26.15%,
USLM,"United States Lime & Minerals, Inc.",,91.25 +2.87 (+3.25%),2.87,+3.25%,85639,121175,2.612B,24.08,49.91%,
PDD,PDD Holdings Inc.,,122.19 +3.84 (+3.24%),3.84,+3.24%,6.934M,9.001M,169.694B,11.68,0.09%,
SPNT,SiriusPoint Ltd.,,17.85 +0.56 (+3.24%),0.56,+3.24%,821207,653138,2.071B,17.16,37.00%,
DLO,DLocal Limited,,8.61 +0.27 (+3.24%),0.27,+3.24%,386347,1.236M,2.458B,22.08,-45.24%,
DAR,Darling Ingredients Inc.,,32.25 +1.01 (+3.23%),1.01,+3.23%,2.909M,2.189M,5.1B,18.64,-29.37%,
NRG,"NRG Energy, Inc.",,98.53 +3.07 (+3.22%),3.07,+3.22%,2.127M,3.234M,20.067B,19.75,39.15%,
PPC,Pilgrim's Pride Corporation,,56.26 +1.75 (+3.21%),1.75,+3.21%,1.64M,1.348M,13.34B,12.31,55.30%,
SHAK,Shake Shack Inc.,,91.00 +2.83 (+3.21%),2.83,+3.21%,1.311M,1.425M,3.87B,379.17,-14.73%,
NE,Noble Corporation plc,,24.46 +0.76 (+3.21%),0.76,+3.21%,2.126M,2.134M,3.884B,8.26,-51.71%,
ZLAB,Zai Lab Limited,,37.29 +1.15 (+3.18%),1.15,+3.18%,2.006M,900136,4.093B,-,125.31%,
HNHPF,"Hon Hai Precision Industry Co., Ltd.",,9.08 +0.28 (+3.18%),0.28,+3.18%,25254,50440,63.055B,13.97,-9.73%,
STEP,StepStone Group Inc.,,53.89 +1.66 (+3.18%),1.66,+3.18%,401715,562586,6.427B,-,51.17%,
ANF,Abercrombie & Fitch Co.,,78.77 +2.40 (+3.14%),2.4,+3.14%,2.025M,2.432M,3.968B,7.37,-41.88%,
MP,MP Materials Corp.,,25.17 +0.76 (+3.11%),0.76,+3.11%,2.063M,3.303M,4.114B,-,66.39%,
BCO,The Brink's Company,,88.83 +2.67 (+3.10%),2.67,+3.10%,309003,266521,3.838B,24.61,-4.82%,
U,Unity Software Inc.,,20.19 +0.60 (+3.06%),0.6,+3.06%,6.593M,11.612M,8.271B,-,-25.37%,
VERX,"Vertex, Inc.",,36.08 +1.07 (+3.06%),1.07,+3.06%,1.173M,1.366M,5.707B,-,9.10%,
YELP,Yelp Inc.,,38.16 +1.13 (+3.05%),1.13,+3.05%,564069,778550,2.482B,20.30,-7.26%,
CRC,California Resources Corporation,,45.31 +1.34 (+3.05%),1.34,+3.05%,876512,1.019M,4.107B,9.81,-17.47%,
CYBR,CyberArk Software Ltd.,,348.26 +10.26 (+3.04%),10.26,+3.04%,623724,602915,17.224B,-,28.46%,
GFI,Gold Fields Limited,,22.76 +0.67 (+3.03%),0.67,+3.03%,4.679M,3.254M,20.701B,16.49,36.70%,
LYFT,"Lyft, Inc.",,12.23 +0.36 (+3.03%),0.36,+3.03%,15.762M,19.481M,5.112B,203.83,-36.11%,
CQP,"Cheniere Energy Partners, L.P.",,68.04 +2.00 (+3.03%),2.0,+3.03%,203627,229416,32.935B,16.01,33.15%,
