Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
PVH,PVH Corp.,,76.43 +11.79 (+18.24%),11.79,+18.24%,4.71M,1.132M,4.252B,6.26,-40.52%,
HSAI,Hesai Group,,17.43 +2.63 (+17.77%),2.63,+17.77%,12.827M,4.258M,2.222B,-,194.23%,
CLSK,"CleanSpark, Inc.",,7.56 +0.84 (+12.50%),0.84,+12.50%,31.788M,24.634M,2.123B,-,-60.07%,
PRGS,Progress Software Corporation,,57.76 +6.25 (+12.13%),6.25,+12.13%,2.564M,742066,2.485B,37.51,-1.30%,
CORZ,"Core Scientific, Inc.",,8.00 +0.76 (+10.50%),0.76,+10.50%,27.318M,15.482M,2.359B,-,114.84%,
AUOTY,AUO Corporation,,5.05 +0.44 (+9.54%),0.44,+9.54%,84221,53251,3.811B,-,-16.55%,
RUM,Rumble Inc.,,7.70 +0.63 (+8.91%),0.63,+8.91%,3.51M,3.489M,2.607B,-,-3.42%,
WNS,WNS (Holdings) Limited,,66.59 +5.10 (+8.29%),5.1,+8.29%,2.565M,521618,2.892B,24.30,23.05%,
BRPHF,Galaxy Digital Holdings Ltd.,,11.39 +0.85 (+8.06%),0.85,+8.06%,33542,188485,3.94B,20.71,5.38%,
BE,Bloom Energy Corporation,,21.24 +1.58 (+8.04%),1.58,+8.04%,6.183M,6.601M,4.894B,-,67.32%,
MNDY,monday.com Ltd.,,262.18 +19.02 (+7.82%),19.02,+7.82%,1.324M,1.012M,13.312B,429.80,13.15%,
NBIS,Nebius Group N.V.,,22.69 +1.58 (+7.48%),1.58,+7.48%,15.156M,13.582M,5.349B,-,5.55%,
HCM,HUTCHMED (China) Limited,,16.06 +1.02 (+6.78%),1.02,+6.78%,366950,87028,2.802B,80.30,-10.05%,
FMCC,Federal Home Loan Mortgage Corporation,,5.71 +0.36 (+6.73%),0.36,+6.73%,691505,6.3M,3.712B,-,256.67%,
APP,AppLovin Corporation,,282.70 +17.73 (+6.69%),17.73,+6.69%,7.304M,8.098M,96.106B,62.41,280.05%,
RIVN,"Rivian Automotive, Inc.",,13.28 +0.83 (+6.67%),0.83,+6.67%,44.505M,32.807M,15.016B,-,18.46%,
OS,"OneStream, Inc.",,22.68 +1.34 (+6.28%),1.34,+6.28%,1.46M,1.579M,5.414B,-,-20.52%,
MSTR,Strategy Incorporated,,306.02 +17.75 (+6.16%),17.75,+6.16%,16.599M,18.429M,79.705B,-,82.58%,
RIOT,"Riot Platforms, Inc.",,7.54 +0.42 (+5.90%),0.42,+5.90%,20.3M,29.082M,2.641B,22.18,-32.89%,
DOOO,BRP Inc.,,35.75 +1.94 (+5.74%),1.94,+5.74%,277398,198183,2.622B,61.64,-54.73%,
CRZBY,Commerzbank AG,,24.09 +1.29 (+5.66%),1.29,+5.66%,16969,25060,28.593B,10.66,66.30%,
DSNKY,"Daiichi Sankyo Company, Limited",,25.08 +1.30 (+5.47%),1.3,+5.47%,51948,248831,47.126B,29.16,-21.68%,
DUOL,"Duolingo, Inc.",,327.38 +16.84 (+5.42%),16.84,+5.42%,659776,846941,14.812B,173.22,46.14%,
ASAN,"Asana, Inc.",,15.31 +0.74 (+5.08%),0.74,+5.08%,1.901M,3.445M,3.568B,-,-2.93%,
AEO,"American Eagle Outfitters, Inc.",,12.21 +0.59 (+5.08%),0.59,+5.08%,6.971M,5.419M,2.106B,7.27,-54.72%,
IONQ,"IonQ, Inc.",,23.19 +1.12 (+5.07%),1.12,+5.07%,21.961M,24.945M,5.54B,-,135.79%,
LEVI,Levi Strauss & Co.,,16.38 +0.79 (+5.07%),0.79,+5.07%,2.597M,2.013M,6.475B,31.50,-16.81%,
HIMS,"Hims & Hers Health, Inc.",,31.05 +1.50 (+5.08%),1.5,+5.08%,45.795M,22.41M,6.898B,58.58,97.13%,
FINV,FinVolution Group,,10.11 +0.48 (+4.98%),0.48,+4.98%,721176,991058,2.627B,8.09,89.57%,
RDDT,"Reddit, Inc.",,110.05 +5.15 (+4.91%),5.15,+4.91%,6.171M,7.358M,19.908B,-,107.93%,
WING,Wingstop Inc.,,236.40 +10.82 (+4.80%),10.82,+4.80%,1.037M,827901,6.776B,63.89,-37.32%,
QXO,"QXO, Inc.",,14.18 +0.64 (+4.73%),0.64,+4.73%,3.125M,2.455M,5.806B,-,-86.90%,
RBLX,Roblox Corporation,,60.99 +2.70 (+4.63%),2.7,+4.63%,13.041M,8.991M,40.699B,-,58.57%,
VIV,Telefônica Brasil S.A.,,9.13 +0.41 (+4.70%),0.41,+4.70%,1.136M,872858,14.823B,15.47,-12.54%,
EGO,Eldorado Gold Corporation,,17.60 +0.78 (+4.64%),0.78,+4.64%,2.79M,1.797M,3.634B,12.05,13.88%,
COOP,Mr. Cooper Group Inc.,,125.08 +5.48 (+4.58%),5.48,+4.58%,3.049M,686853,7.954B,12.02,57.70%,
MOD,Modine Manufacturing Company,,80.26 +3.51 (+4.57%),3.51,+4.57%,1.002M,1.389M,4.22B,27.02,-17.69%,
IBKR,"Interactive Brokers Group, Inc.",,173.08 +7.49 (+4.52%),7.49,+4.52%,2.193M,2.149M,73.148B,24.94,44.66%,
CAKE,The Cheesecake Factory Incorporated,,50.86 +2.20 (+4.52%),2.2,+4.52%,1.179M,1.549M,2.627B,15.89,31.76%,
FNMA,Federal National Mortgage Association,,6.61 +0.28 (+4.42%),0.28,+4.42%,1.811M,16.337M,7.655B,-,290.12%,
TEO,Telecom Argentina S.A.,,10.64 +0.45 (+4.42%),0.45,+4.42%,101187,210946,3.902B,4.79,31.99%,
KAR,"OPENLANE, Inc.",,20.13 +0.85 (+4.41%),0.85,+4.41%,1.168M,753846,2.152B,44.73,12.95%,
RKT,"Rocket Companies, Inc.",,12.60 +0.53 (+4.39%),0.53,+4.39%,24.095M,5.734M,25.04B,60.00,-8.35%,
TTD,"The Trade Desk, Inc.",,57.10 +2.38 (+4.35%),2.38,+4.35%,8.406M,9.195M,28.327B,73.21,-37.17%,
VRT,Vertiv Holdings Co,,75.27 +3.07 (+4.25%),3.07,+4.25%,9.232M,10.697M,28.661B,58.80,-10.61%,
IAC,IAC Inc.,,39.26 +1.60 (+4.24%),1.6,+4.24%,1.888M,1.004M,3.146B,-,-12.74%,
PAY,"Paymentus Holdings, Inc.",,27.20 +1.10 (+4.21%),1.1,+4.21%,349683,472956,3.399B,77.71,19.34%,
ALGM,"Allegro MicroSystems, Inc.",,26.18 +1.05 (+4.18%),1.05,+4.18%,3.522M,3.16M,4.82B,-,-2.14%,
OKLO,Oklo Inc.,,22.53 +0.90 (+4.16%),0.9,+4.16%,12.645M,17.668M,3.132B,-,71.67%,
VST,Vistra Corp.,,122.24 +4.80 (+4.09%),4.8,+4.09%,7.922M,9.194M,41.581B,17.46,65.06%,
ODD,Oddity Tech Ltd.,,45.02 +1.76 (+4.07%),1.76,+4.07%,294286,428903,2.513B,27.45,7.80%,
BPYPP,Brookfield Property Partners L.P.,,14.16 +0.55 (+4.04%),0.55,+4.04%,32067,19180,9.357B,6.45,-14.24%,
VCTR,"Victory Capital Holdings, Inc.",,60.17 +2.30 (+3.97%),2.3,+3.97%,296787,304406,3.831B,13.74,38.02%,
ALAB,"Astera Labs, Inc.",,62.01 +2.34 (+3.92%),2.34,+3.92%,3.433M,5.07M,10.055B,-,-17.37%,
TLN,Talen Energy Corporation,,207.44 +7.77 (+3.89%),7.77,+3.89%,950554,1.322M,9.441B,11.75,112.14%,
CRDO,Credo Technology Group Holding Ltd,,41.72 +1.56 (+3.88%),1.56,+3.88%,3.632M,5.833M,7.084B,1390.67,82.13%,
TKAMY,thyssenkrupp AG,,10.74 +0.40 (+3.87%),0.4,+3.87%,34039,147363,6.686B,-,91.11%,
RUSHA,"Rush Enterprises, Inc.",,55.44 +2.03 (+3.80%),2.03,+3.80%,675201,337360,4.451B,14.90,2.99%,
ESAB,ESAB Corporation,,120.90 +4.40 (+3.78%),4.4,+3.78%,277543,291603,7.329B,25.83,5.58%,
