symbol,price,price_change,price_percent_change
PVH,76.42,11.78,18.22
HSAI,17.42,2.62,17.71
PRGS,56.96,5.45,10.58
CLSK,7.33,0.61,9.06
BRPHF,11.31,0.77,7.31
CORZ,7.76,0.52,7.11
FMCC,5.71,0.36,6.73
BE,20.96,1.3,6.61
WNS,65.28,3.79,6.16
RIVN,13.26,0.81,6.51
MNDY,257.67,14.51,5.97
CRZBY,24.09,1.29,5.66
RUM,7.45,0.38,5.45
HIMS,31.08,1.53,5.19
DSNKY,25.01,1.23,5.17
HCM,15.81,0.77,5.09
FNMA,6.64,0.31,4.89
QXO,14.18,0.64,4.73
VIV,9.11,0.39,4.47
APP,277.1,12.12,4.58
LEVI,16.27,0.68,4.39
DOOO,35.37,1.56,4.61
IONQ,23.03,0.96,4.35
VERX,36.49,1.48,4.23
AEO,12.1,0.48,4.09
RDDT,109.1,4.2,4.00
BPYPP,14.16,0.55,4.04
PAY,27.17,1.07,4.10
WING,234.61,9.03,4.00
TSLA,269.23,10.07,3.89
DUOL,322.57,12.03,3.87
OS,22.17,0.83,3.89
IBKR,172.05,6.46,3.90
IAC,39.14,1.48,3.92
COOP,124.3,4.7,3.93
PHI,22.7,0.83,3.80
RIOT,7.39,0.27,3.72
RBLX,60.49,2.19,3.77
MSTR,298.6,10.33,3.58
DJTWW,12.84,0.46,3.68
TKAMY,10.72,0.38,3.68
CAKE,50.47,1.81,3.72
VCTR,59.93,2.06,3.56
NBIS,21.88,0.77,3.65
TTD,56.65,1.93,3.53
EGO,17.41,0.59,3.51
FINV,9.96,0.33,3.43
KAR,19.93,0.65,3.37
ASAN,15.07,0.5,3.43
RKT,12.49,0.42,3.48
VFC,16.06,0.53,3.45
ESAB,120.4,3.9,3.35
ACIW,56.46,1.75,3.20
PDD,122.11,3.76,3.18
TOST,34.22,1.05,3.17
RBC,331.82,10.05,3.12
VRT,74.43,2.23,3.08
RL,227.76,7.01,3.18
BAP,192.27,6.11,3.28
TEO,10.49,0.3,2.94
OKLO,22.34,0.71,3.28
