symbol,price,price_change,price_percent_change
MLGO,13.99,11.47,455.16
TNXP,30.51,7.48,32.48
CLSK,8.79,1.35,18.15
MARA,14.61,2.23,18.01
IONQ,26.12,3.86,17.34
AZEK,48.56,7.17,17.32
TEM,59.0,7.65,14.90
ASTS,29.3,3.59,13.96
OKLO,30.91,3.75,13.81
W,37.86,4.2,12.48
COHR,76.71,8.47,12.41
TSLA,278.39,29.68,11.93
CVNA,213.63,22.68,11.88
FNMA,7.1,0.71,11.11
ROOT,177.69,17.43,10.88
LITE,73.63,7.02,10.54
MSTR,335.72,31.72,10.43
RIOT,8.72,0.77,9.69
CORZ,9.31,0.8,9.40
NFE,12.22,1.05,9.40
URBN,53.58,4.45,9.06
CRDO,50.53,4.19,9.04
HOOD,48.36,4.0,9.02
QXO,13.8,1.13,8.92
BHVN,31.04,2.5,8.76
ZETA,15.66,1.23,8.52
GAP,21.67,1.65,8.24
NBIS,29.19,2.21,8.19
APP,339.72,25.69,8.18
RDDT,124.94,9.24,7.99
RNA,33.3,2.46,7.98
RGTI,9.78,0.71,7.83
RBRK,73.46,5.27,7.73
CAVA,90.33,6.48,7.73
GLNG,40.67,2.91,7.71
FIX,379.24,27.09,7.69
BROS,70.45,5.02,7.67
HIMS,37.41,2.66,7.65
ROAD,79.31,5.48,7.42
BPMC,95.27,6.55,7.38
BOOT,112.36,7.63,7.29
FTAI,114.91,7.68,7.16
UAL,80.22,5.35,7.15
BBWI,32.42,2.14,7.07
OSCR,13.96,0.92,7.06
BBIO,37.22,2.45,7.05
WRBY,20.23,1.33,7.04
AMD,113.85,7.41,6.96
COIN,203.04,13.18,6.94
LMND,36.91,2.33,6.74
ANGI,16.65,1.05,6.73
RKLB,20.21,1.27,6.71
DUOL,330.0,20.7,6.69
SOFI,13.72,0.85,6.60
GSAT,23.42,1.45,6.60
MTNOY,6.8,0.42,6.58
POWL,196.27,12.05,6.54
RH,257.84,15.66,6.47
EAT,154.15,9.34,6.45
HQY,90.32,5.44,6.41
PVH,69.3,4.15,6.37
PLTR,96.75,5.79,6.37
MPWR,627.93,36.95,6.25
BURL,248.55,14.59,6.24
CPRX,25.74,1.51,6.23
CRS,195.23,11.42,6.21
MTZ,131.68,7.65,6.17
UPST,55.14,3.18,6.12
BILL,50.85,2.93,6.11
KNF,96.65,5.54,6.08
CIEN,69.53,3.97,6.06
CROX,110.92,6.33,6.05
GENI,11.04,0.63,6.05
TDC,24.26,1.36,5.94
DDS,374.18,20.93,5.92
CELH,34.88,1.95,5.92
MMYT,107.02,5.96,5.90
LB,81.58,4.53,5.88
LTH,32.47,1.8,5.87
DECK,124.68,6.82,5.79
STRL,133.95,7.32,5.78
VRT,93.69,5.06,5.71
SKWD,52.58,2.83,5.69
CENT,35.58,1.91,5.67
AUR,7.64,0.41,5.67
TPL,1344.98,71.83,5.64
SITM,188.29,10.03,5.63
LIF,40.25,2.13,5.59
CNTA,16.63,0.88,5.59
KTOS,32.53,1.72,5.58
MTSI,112.84,5.95,5.57
IPGP,67.62,3.56,5.56
BLD,315.1,16.58,5.55
SIG,61.27,3.21,5.53
BNTX,100.64,5.26,5.51
U,22.73,1.18,5.48
ECG,41.35,2.14,5.46
EE,30.75,1.58,5.42
TTD,59.34,3.03,5.38
ASO,49.77,2.54,5.38
RL,236.04,12.01,5.36
DOCS,66.34,3.35,5.32
AFRM,52.54,2.64,5.29
M,13.94,0.7,5.29
SHAK,95.48,4.78,5.27
ANET,87.51,4.38,5.27
HRI,142.75,7.14,5.27
CPRI,21.27,1.06,5.24
RDNT,51.83,2.58,5.24
GKOS,107.61,5.35,5.23
NXPI,211.12,10.48,5.22
GFF,74.49,3.69,5.21
FDX,242.32,11.99,5.21
RUSHB,58.59,2.89,5.19
DKS,205.56,10.11,5.17
PTON,7.32,0.36,5.17
UI,332.96,16.36,5.17
CART,40.91,2.01,5.17
SITE,128.3,6.3,5.16
AL,49.5,2.43,5.16
CAKE,51.2,2.5,5.13
FNMAS,12.3,0.6,5.13
SAIA,381.49,18.59,5.12
THC,129.49,6.29,5.11
RIVN,12.19,0.59,5.09
NXE,5.17,0.25,5.08
AGYS,77.46,3.73,5.06
AN,175.21,8.4,5.04
PINS,34.04,1.62,5.00
GTLS,162.92,7.74,4.99
PAYO,7.83,0.37,4.96
SYM,23.5,1.11,4.96
STEP,56.54,2.67,4.96
AEO,12.72,0.6,4.95
AAON,83.58,3.93,4.93
OSIS,203.32,9.54,4.92
NVST,17.48,0.82,4.92
SKYW,95.59,4.47,4.91
DDOG,110.17,5.14,4.89
SHOP,109.28,5.07,4.87
OMF,52.87,2.45,4.86
ARM,124.85,5.78,4.85
BFH,52.42,2.42,4.84
