Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
PVH,PVH Corp.,,76.22 +11.58 (+17.91%),11.58,+17.91%,4.326M,1.132M,4.24B,6.24,-40.52%,
HSAI,Hesai Group,,17.42 +2.62 (+17.71%),2.62,+17.71%,12.229M,4.258M,2.221B,-,194.23%,
CLSK,"CleanSpark, Inc.",,7.55 +0.84 (+12.43%),0.84,+12.43%,28.902M,24.634M,2.122B,-,-60.07%,
PRGS,Progress Software Corporation,,57.49 +5.98 (+11.60%),5.98,+11.60%,2.05M,742066,2.473B,37.33,-1.30%,
CORZ,"Core Scientific, Inc.",,8.00 +0.76 (+10.50%),0.76,+10.50%,23.706M,15.482M,2.359B,-,114.84%,
BE,Bloom Energy Corporation,,21.22 +1.56 (+7.91%),1.56,+7.91%,4.608M,6.601M,4.888B,-,67.32%,
MNDY,monday.com Ltd.,,261.38 +18.21 (+7.49%),18.21,+7.49%,1.077M,1.012M,13.271B,428.48,13.15%,
RUM,Rumble Inc.,,7.57 +0.49 (+7.00%),0.49,+7.00%,2.328M,3.489M,2.561B,-,-3.42%,
BRPHF,Galaxy Digital Holdings Ltd.,,11.33 +0.79 (+7.50%),0.79,+7.50%,33242,188485,3.919B,20.60,5.38%,
WNS,WNS (Holdings) Limited,,65.93 +4.44 (+7.22%),4.44,+7.22%,2.17M,521618,2.864B,24.06,23.05%,
RIVN,"Rivian Automotive, Inc.",,13.27 +0.82 (+6.60%),0.82,+6.60%,39.333M,32.807M,15.007B,-,18.46%,
APP,AppLovin Corporation,,282.72 +17.75 (+6.70%),17.75,+6.70%,6.524M,8.098M,96.113B,62.41,280.05%,
NBIS,Nebius Group N.V.,,22.51 +1.40 (+6.65%),1.4,+6.65%,13.806M,13.582M,5.308B,-,5.55%,
RIOT,"Riot Platforms, Inc.",,7.59 +0.47 (+6.53%),0.47,+6.53%,18.34M,29.082M,2.656B,22.31,-32.89%,
HCM,HUTCHMED (China) Limited,,16.00 +0.96 (+6.38%),0.96,+6.38%,342535,87028,2.791B,80.00,-10.05%,
OS,"OneStream, Inc.",,22.58 +1.24 (+5.79%),1.24,+5.79%,1.138M,1.579M,5.389B,-,-20.52%,
FMCC,Federal Home Loan Mortgage Corporation,,5.66 +0.31 (+5.79%),0.31,+5.79%,611030,6.3M,3.679B,-,256.67%,
CRZBY,Commerzbank AG,,24.09 +1.29 (+5.66%),1.29,+5.66%,16969,25060,28.593B,10.66,66.30%,
HIMS,"Hims & Hers Health, Inc.",,31.18 +1.63 (+5.52%),1.63,+5.52%,42.76M,22.41M,6.927B,58.83,97.13%,
DUOL,"Duolingo, Inc.",,327.15 +16.61 (+5.35%),16.61,+5.35%,523046,846941,14.801B,173.10,46.14%,
DOOO,BRP Inc.,,35.58 +1.77 (+5.24%),1.77,+5.24%,228144,198183,2.609B,61.34,-54.73%,
MSTR,Strategy Incorporated,,303.96 +15.69 (+5.44%),15.69,+5.44%,13.747M,18.429M,79.169B,-,82.58%,
DSNKY,"Daiichi Sankyo Company, Limited",,25.01 +1.23 (+5.17%),1.23,+5.17%,51400,248831,46.994B,29.08,-21.68%,
QXO,"QXO, Inc.",,14.21 +0.67 (+4.93%),0.67,+4.93%,2.55M,2.455M,5.817B,-,-86.90%,
IONQ,"IonQ, Inc.",,23.23 +1.16 (+5.26%),1.16,+5.26%,21.25M,24.945M,5.549B,-,135.79%,
VIV,Telefônica Brasil S.A.,,9.15 +0.43 (+4.93%),0.43,+4.93%,899315,872858,14.855B,15.51,-12.54%,
LEVI,Levi Strauss & Co.,,16.31 +0.72 (+4.58%),0.72,+4.58%,1.895M,2.013M,6.446B,31.36,-16.81%,
AEO,"American Eagle Outfitters, Inc.",,12.16 +0.55 (+4.69%),0.55,+4.69%,5.903M,5.419M,2.099B,7.24,-54.72%,
IBKR,"Interactive Brokers Group, Inc.",,172.99 +7.40 (+4.47%),7.4,+4.47%,1.802M,2.149M,73.112B,24.93,44.66%,
IAC,IAC Inc.,,39.19 +1.53 (+4.05%),1.53,+4.05%,1.27M,1.004M,3.141B,-,-12.74%,
CAKE,The Cheesecake Factory Incorporated,,50.82 +2.16 (+4.44%),2.16,+4.44%,844932,1.549M,2.624B,15.88,31.76%,
OKLO,Oklo Inc.,,22.54 +0.91 (+4.20%),0.91,+4.20%,11.826M,17.668M,3.133B,-,71.67%,
EGO,Eldorado Gold Corporation,,17.55 +0.73 (+4.34%),0.73,+4.34%,2.324M,1.797M,3.624B,12.02,13.88%,
TKAMY,thyssenkrupp AG,,10.79 +0.45 (+4.35%),0.45,+4.35%,33846,147363,6.717B,-,91.11%,
RBLX,Roblox Corporation,,60.81 +2.52 (+4.32%),2.52,+4.32%,12.065M,8.991M,40.579B,-,58.57%,
WING,Wingstop Inc.,,235.32 +9.74 (+4.32%),9.74,+4.32%,815094,827901,6.745B,63.60,-37.32%,
FNMA,Federal National Mortgage Association,,6.60 +0.27 (+4.27%),0.27,+4.27%,1.504M,16.337M,7.643B,-,290.12%,
FINV,FinVolution Group,,10.05 +0.41 (+4.31%),0.41,+4.31%,575760,991058,2.61B,8.04,89.57%,
RBC,RBC Bearings Incorporated,,333.38 +11.61 (+3.61%),11.61,+3.61%,192075,149843,10.483B,45.67,22.13%,
TSLA,"Tesla, Inc.",,269.58 +10.42 (+4.02%),10.42,+4.02%,133.583M,96.851M,867.117B,131.50,55.53%,
ASAN,"Asana, Inc.",,15.20 +0.64 (+4.36%),0.64,+4.36%,1.484M,3.445M,3.544B,-,-2.93%,
RDDT,"Reddit, Inc.",,109.60 +4.70 (+4.48%),4.7,+4.48%,5.595M,7.358M,19.827B,-,107.93%,
ALGM,"Allegro MicroSystems, Inc.",,26.20 +1.07 (+4.26%),1.07,+4.26%,2.764M,3.16M,4.824B,-,-2.14%,
COOP,Mr. Cooper Group Inc.,,124.51 +4.91 (+4.11%),4.91,+4.11%,2.463M,686853,7.918B,11.96,57.70%,
VRT,Vertiv Holdings Co,,75.09 +2.89 (+4.00%),2.89,+4.00%,8.484M,10.697M,28.592B,58.66,-10.61%,
TTD,"The Trade Desk, Inc.",,56.93 +2.21 (+4.03%),2.21,+4.03%,6.99M,9.195M,28.241B,72.98,-37.17%,
MOD,Modine Manufacturing Company,,79.67 +2.92 (+3.80%),2.92,+3.80%,642354,1.389M,4.188B,26.82,-17.69%,
VFC,V.F. Corporation,,16.16 +0.64 (+4.12%),0.64,+4.12%,4.038M,7.452M,6.295B,-,8.68%,
DJT,Trump Media & Technology Group Corp.,,20.25 +0.71 (+3.63%),0.71,+3.63%,3.64M,7.367M,4.463B,-,-62.13%,
APLS,"Apellis Pharmaceuticals, Inc.",,22.66 +0.79 (+3.61%),0.79,+3.61%,2.913M,1.813M,2.844B,-,-60.74%,
RUSHA,"Rush Enterprises, Inc.",,55.37 +1.96 (+3.67%),1.96,+3.67%,513362,337360,4.445B,14.89,2.99%,
VCTR,"Victory Capital Holdings, Inc.",,59.96 +2.09 (+3.60%),2.09,+3.60%,206726,304406,3.817B,13.69,38.02%,
PAY,"Paymentus Holdings, Inc.",,27.03 +0.93 (+3.58%),0.93,+3.58%,292221,472956,3.379B,77.24,19.34%,
RKT,"Rocket Companies, Inc.",,12.51 +0.44 (+3.65%),0.44,+3.65%,22.678M,5.734M,24.861B,59.57,-8.35%,
RL,Ralph Lauren Corporation,,228.25 +7.51 (+3.40%),7.51,+3.40%,1.172M,900840,14.098B,20.81,25.29%,
TPR,"Tapestry, Inc.",,72.89 +2.47 (+3.52%),2.47,+3.52%,3.754M,5.545M,15.088B,21.19,52.73%,
AKO-B,Embotelladora Andina S.A.,,22.94 +0.79 (+3.57%),0.79,+3.57%,20682,9355,3.243B,15.50,45.34%,
KAR,"OPENLANE, Inc.",,19.99 +0.71 (+3.68%),0.71,+3.68%,1.03M,753846,2.137B,44.42,12.95%,
ESAB,ESAB Corporation,,120.58 +4.08 (+3.51%),4.08,+3.51%,224840,291603,7.31B,25.77,5.58%,
