Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
VAL,Valaris Limited,,40.63 +1.37 (+3.49%),1.37,+3.49%,897639,1.852M,2.886B,7.94,-47.37%,
VERX,"Vertex, Inc.",,36.23 +1.22 (+3.48%),1.22,+3.48%,760322,1.366M,5.731B,-,9.10%,
USLM,"United States Lime & Minerals, Inc.",,91.27 +2.89 (+3.27%),2.89,+3.27%,56830,121175,2.612B,24.08,49.91%,
ENVA,"Enova International, Inc.",,99.93 +3.37 (+3.49%),3.37,+3.49%,169655,234978,2.578B,13.45,56.55%,
BPYPP,Brookfield Property Partners L.P.,,14.17 +0.56 (+4.11%),0.56,+4.11%,30380,19180,9.364B,6.45,-14.24%,
ALAB,"Astera Labs, Inc.",,61.74 +2.07 (+3.48%),2.07,+3.48%,3.059M,5.07M,10.012B,-,-17.37%,
TEO,Telecom Argentina S.A.,,10.54 +0.35 (+3.43%),0.35,+3.43%,95520,210946,3.866B,4.75,31.99%,
GRND,Grindr Inc.,,18.51 +0.61 (+3.44%),0.61,+3.44%,886460,1.641M,3.856B,-,70.96%,
STEP,StepStone Group Inc.,,53.92 +1.69 (+3.23%),1.69,+3.23%,260660,562586,6.43B,-,51.17%,
ACIW,"ACI Worldwide, Inc.",,56.49 +1.78 (+3.25%),1.78,+3.25%,806212,659336,5.95B,29.58,69.17%,
VST,Vistra Corp.,,121.47 +4.03 (+3.43%),4.03,+3.43%,5.776M,9.194M,41.319B,17.35,65.06%,
GEV,GE Vernova Inc.,,315.18 +9.90 (+3.24%),9.9,+3.24%,2.871M,4.11M,86.155B,56.38,118.06%,
MNSO,MINISO Group Holding Limited,,19.10 +0.61 (+3.30%),0.61,+3.30%,636008,1.222M,5.894B,16.47,-13.96%,
ZLAB,Zai Lab Limited,,37.34 +1.20 (+3.32%),1.2,+3.32%,1.772M,900136,4.099B,-,125.31%,
TLN,Talen Energy Corporation,,205.90 +6.23 (+3.12%),6.23,+3.12%,799211,1.322M,9.371B,11.66,112.14%,
BAP,Credicorp Ltd.,,192.15 +5.99 (+3.22%),5.99,+3.22%,168392,288413,15.264B,10.22,9.51%,
PDD,PDD Holdings Inc.,,122.23 +3.88 (+3.28%),3.88,+3.28%,5.888M,9.001M,169.749B,11.69,0.09%,
NTES,"NetEase, Inc.",,106.13 +3.21 (+3.12%),3.21,+3.12%,1.017M,1.372M,68.403B,16.79,6.27%,
TOST,"Toast, Inc.",,34.20 +1.03 (+3.10%),1.03,+3.10%,4.026M,6.598M,19.665B,1140.00,41.75%,
SHAK,Shake Shack Inc.,,90.83 +2.67 (+3.02%),2.67,+3.02%,1.183M,1.425M,3.863B,378.48,-14.73%,
PPC,Pilgrim's Pride Corporation,,56.21 +1.70 (+3.12%),1.7,+3.12%,1.296M,1.348M,13.329B,12.30,55.30%,
ODD,Oddity Tech Ltd.,,44.71 +1.45 (+3.35%),1.45,+3.35%,233311,428903,2.496B,27.26,7.80%,
BOOT,"Boot Barn Holdings, Inc.",,110.73 +3.30 (+3.07%),3.3,+3.07%,517001,930140,3.388B,19.77,10.54%,
CQP,"Cheniere Energy Partners, L.P.",,68.04 +2.00 (+3.01%),2.0,+3.01%,184178,229416,32.932B,16.01,33.15%,
ANF,Abercrombie & Fitch Co.,,78.78 +2.41 (+3.16%),2.41,+3.16%,1.535M,2.432M,3.968B,7.37,-41.88%,
