Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
NFE,New Fortress Energy Inc.,,8.57 +0.99 (+13.06%),0.99,+13.06%,8.606M,5.422M,2.346B,-,-74.93%,
RNA,"Avidity Biosciences, Inc.",,29.77 +3.03 (+11.33%),3.03,+11.33%,3.146M,1.399M,3.579B,-,0.38%,
SWTX,"SpringWorks Therapeutics, Inc.",,46.52 +4.64 (+11.08%),4.64,+11.08%,2.502M,2.507M,3.486B,-,-9.39%,
ACLX,"Arcellx, Inc.",,67.23 +6.53 (+10.76%),6.53,+10.76%,897107,659763,3.694B,-,-3.96%,
AMTM,"Amentum Holdings, Inc.",,19.71 +1.84 (+10.30%),1.84,+10.30%,5.827M,2.486M,4.796B,-,-39.44%,
RKT,"Rocket Companies, Inc.",,13.86 +1.26 (+10.00%),1.26,+10.00%,32.995M,6.097M,27.544B,66.00,-4.83%,
,,,,,,,,,,,
