symbol,price,price_change,price_percent_change
WOR,51.52,9.89,23.76
GME,28.36,2.96,11.65
XNGSY,36.1,3.55,10.91
DOOO,38.23,2.69,7.57
CTAS,204.71,11.25,5.82
BKRKY,12.04,0.64,5.61
VNET,8.9,0.42,4.95
ASH,59.72,2.79,4.90
QFIN,46.37,2.14,4.84
PAYX,150.19,6.06,4.20
MOH,323.44,12.91,4.16
TLK,14.66,0.58,4.12
SOMMY,12.35,0.42,3.52
CAR,61.55,2.07,3.48
TAL,13.48,0.45,3.45
SYY,72.75,2.36,3.35
STZ,184.11,5.75,3.22
PII,42.96,1.34,3.22
IMPUY,6.75,0.21,3.21
ANGPY,6.76,0.21,3.21
DLTR,69.21,2.07,3.08
TAP,60.56,1.8,3.06
