Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
AGL,"agilon health, inc.",,5.36 -0.01 (-0.09%),-0.01,-0.09%,112645,5.951M,2.208B,-,-0.74%,
TNXP,Tonix Pharmaceuticals Holding Corp.,,19.82 +2.02 (+11.35%),2.02,+11.35%,1.645M,1.702M,136.318M,-,-96.36%,
HUM,Humana Inc.,,281.01 -0.94 (-0.33%),-0.94,-0.33%,20703,1.67M,33.916B,28.16,-11.66%,
SMTOY,"Sumitomo Electric Industries, Ltd.",,13.16 +0.87 (+7.08%),0.87,+7.08%,32980,16190,10.592B,8.02,-15.59%,
AVAV,"AeroVironment, Inc.",,121.03 +7.65 (+6.75%),7.65,+6.75%,4357,471227,3.415B,104.34,-17.91%,
ALHC,"Alignment Healthcare, Inc.",,18.95 +1.13 (+6.34%),1.13,+6.34%,653474,2.54M,3.635B,-,298.11%,
HCC,"Warrior Met Coal, Inc.",,43.44 +2.57 (+6.29%),2.57,+6.29%,17612,956013,2.283B,9.07,-29.64%,
CVS,CVS Health Corporation,,66.71 -0.92 (-1.36%),-0.92,-1.36%,185265,11.137M,84.213B,18.23,-4.95%,
UNH,UnitedHealth Group Incorporated,,560.13 +7.05 (+1.27%),7.05,+1.27%,172964,5.067M,512.358B,36.16,22.89%,
DLICY,"Dai-ichi Life Holdings, Inc.",,12.50 +0.61 (+5.13%),0.61,+5.13%,24049,47749,23.49B,2.23,3.91%,
RYTM,"Rhythm Pharmaceuticals, Inc.",,57.73 +2.77 (+5.04%),2.77,+5.04%,2.103M,603086,3.65B,-,40.46%,
CVNA,Carvana Co.,,176.32 +8.45 (+5.03%),8.45,+5.03%,123163,4.52M,20.62B,110.89,118.98%,
HTHIY,"Hitachi, Ltd.",,19.88 +0.94 (+4.96%),0.94,+4.96%,125028,259001,95.127B,23.12,-45.79%,
ARLP,"Alliance Resource Partners, L.P.",,25.86 +1.20 (+4.87%),1.2,+4.87%,756531,453326,3.322B,9.34,23.19%,
LOAR,Loar Holdings Inc.,,75.29 +3.44 (+4.79%),3.44,+4.79%,2395,447013,7.044B,313.71,54.28%,
PDI,PIMCO Dynamic Income Fund,,17.77 -0.06 (-0.34%),-0.06,-0.34%,140659,2.666M,6.276B,8.04,-8.38%,
FNMAS,Federal National Mortgage Association,,10.60 +0.45 (+4.43%),0.45,+4.43%,207960,1.409M,13.417B,1514.29,152.38%,
STRL,"Sterling Infrastructure, Inc.",,113.83 +4.73 (+4.34%),4.73,+4.34%,1.663M,698775,3.462B,13.75,9.49%,
LNSTY,London Stock Exchange Group plc,,34.80 +1.35 (+4.04%),1.35,+4.04%,34493,478009,73.593B,84.88,18.19%,
VIK,Viking Holdings Ltd,,35.35 -0.15 (-0.44%),-0.15,-0.44%,54185,3.48M,15.661B,98.21,36.05%,
BGC,"BGC Group, Inc.",,7.80 +0.30 (+4.00%),0.3,+4.00%,2658,2.903M,3.822B,31.20,-1.64%,
XIACY,Xiaomi Corporation,,24.10 +0.85 (+3.66%),0.85,+3.66%,3827,947167,129.767B,37.66,116.53%,
BWXT,"BWX Technologies, Inc.",,93.17 +3.15 (+3.50%),3.15,+3.50%,10749,1.062M,8.515B,30.35,-3.45%,
MRCY,"Mercury Systems, Inc.",,42.96 +1.44 (+3.47%),1.44,+3.47%,207,544786,2.564B,-,50.16%,
ZURVY,Zurich Insurance Group AG,,32.35 +1.03 (+3.29%),1.03,+3.29%,4969,218006,92.136B,16.09,23.88%,
THLLY,Thales S.A.,,51.70 +1.60 (+3.19%),1.6,+3.19%,16227,104839,53.094B,47.87,55.21%,
OTLY,Oatly Group AB,,8.98 +0.27 (+3.10%),0.27,+3.10%,121004,237366,268.753M,-,-57.24%,
CYBR,CyberArk Software Ltd.,,315.29 +9.31 (+3.04%),9.31,+3.04%,67188,647049,15.594B,-,24.48%,
