symbol,price,price_change,price_percent_change
CORT,114.22,59.59,109.08
MLGO,24.25,6.9,39.77
COOP,119.6,15.11,14.46
VRRM,22.51,2.32,11.49
TXHPF,20.03,2.03,11.31
UMC,7.15,0.6,9.16
DFS,170.7,11.97,7.54
LOAR,70.65,4.68,7.09
CELH,35.62,1.97,5.85
XPEV,20.72,1.02,5.18
GT,9.24,0.45,5.12
HMY,14.77,0.71,5.05
LYV,130.58,5.55,4.44
FOX,52.71,2.19,4.33
AIG,86.94,3.32,3.97
WBD,10.73,0.36,3.47
PARA,11.96,0.4,3.46
FOXA,56.6,1.87,3.42
HP,26.12,0.86,3.40
OMC,82.91,2.67,3.33
COF,179.3,5.77,3.33
IPG,27.16,0.87,3.31
SFM,152.64,4.88,3.31
QSR,66.64,2.12,3.29
CQP,66.04,2.1,3.28
LB,71.94,2.25,3.23
MO,60.02,1.87,3.22
F,10.03,0.31,3.19
DLTR,75.07,2.32,3.19
BXMT,20.0,0.61,3.15
BOOT,107.43,3.26,3.13
WMT,87.79,2.64,3.10
EXC,46.08,1.37,3.06
CTVA,62.93,1.87,3.06
TSCO,55.1,1.63,3.05
TJX,121.8,3.59,3.04
