Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
GME,GameStop Corp.,,23.49 +2.39 (+11.33%),2.39,+11.33%,19.722M,9.033M,10.502B,71.18,87.56%,
RKT,"Rocket Companies, Inc.",,15.40 +1.55 (+11.19%),1.55,+11.19%,35.468M,6.809M,30.604B,73.33,6.95%,
GAP,"The Gap, Inc.",,19.13 +1.29 (+7.23%),1.29,+7.23%,20.741M,7.741M,7.172B,8.70,-26.43%,
BLD,TopBuild Corp.,,303.09 +18.87 (+6.64%),18.87,+6.64%,903522,334036,8.864B,14.94,-36.40%,
IBP,"Installed Building Products, Inc.",,173.25 +9.46 (+5.78%),9.46,+5.78%,783755,383813,4.809B,19.02,-36.58%,
ONON,On Holding AG,,39.61 +1.96 (+5.21%),1.96,+5.21%,20.034M,4.712M,12.827B,47.15,17.73%,
DFH,"Dream Finders Homes, Inc.",,22.40 +1.09 (+5.11%),1.09,+5.11%,1M,451221,2.093B,6.71,-50.35%,
DECK,Deckers Outdoor Corporation,,106.02 +5.14 (+5.10%),5.14,+5.10%,8.407M,3.272M,16.091B,17.21,-31.21%,
CROX,"Crocs, Inc.",,100.65 +4.68 (+4.88%),4.68,+4.88%,4.683M,1.763M,5.642B,6.34,-28.43%,
AEO,"American Eagle Outfitters, Inc.",,10.94 +0.50 (+4.79%),0.5,+4.79%,14.846M,5.783M,1.887B,6.51,-57.39%,
TFII,TFI International Inc.,,79.46 +3.61 (+4.76%),3.61,+4.76%,1.082M,464662,6.695B,16.02,-52.27%,
MHO,"M/I Homes, Inc.",,114.29 +5.19 (+4.76%),5.19,+4.76%,452858,306888,3.099B,5.80,-13.26%,
DHI,"D.R. Horton, Inc.",,127.87 +5.56 (+4.55%),5.56,+4.55%,9.115M,3.675M,41.024B,9.05,-22.84%,
CCS,"Century Communities, Inc.",,65.70 +2.77 (+4.40%),2.77,+4.40%,479404,470396,2.014B,6.32,-28.28%,
ANF,Abercrombie & Fitch Co.,,73.33 +3.07 (+4.37%),3.07,+4.37%,4.916M,2.505M,3.584B,6.86,-41.83%,
NVR,"NVR, Inc.",,"7,410.93 +300.94 (+4.23%)",300.94,+4.23%,35654,27652,22.003B,14.62,-10.09%,
W,Wayfair Inc.,,26.05 +0.96 (+3.83%),0.96,+3.83%,18.814M,4.587M,3.306B,-,-60.31%,
MTH,Meritage Homes Corporation,,69.14 +2.53 (+3.80%),2.53,+3.80%,1.674M,941516,4.962B,6.45,-18.56%,
TPH,"Tri Pointe Homes, Inc.",,31.82 +1.16 (+3.78%),1.16,+3.78%,1.276M,961818,2.919B,6.59,-17.71%,
MSTR,Strategy Incorporated,,293.61 +11.33 (+4.01%),11.33,+4.01%,24.651M,18.262M,76.473B,-,96.16%,
PHM,"PulteGroup, Inc.",,101.24 +3.49 (+3.57%),3.49,+3.57%,3.513M,2.296M,20.408B,6.89,-15.99%,
GRBK,"Green Brick Partners, Inc.",,57.83 +1.94 (+3.47%),1.94,+3.47%,553831,314452,2.573B,6.84,-3.99%,
KBH,KB Home,,57.54 +1.93 (+3.47%),1.93,+3.47%,1.537M,1.549M,4.126B,7.03,-17.44%,
BLDR,"Builders FirstSource, Inc.",,123.96 +4.14 (+3.46%),4.14,+3.46%,2.898M,1.705M,14.084B,13.68,-41.30%,
PCVX,"Vaxcyte, Inc.",,31.60 +1.04 (+3.40%),1.04,+3.40%,5.666M,1.607M,4.069B,-,-52.24%,
PVH,PVH Corp.,,67.72 +2.11 (+3.22%),2.11,+3.22%,3.294M,1.293M,3.565B,6.41,-39.62%,
TMHC,Taylor Morrison Home Corporation,,59.42 +1.83 (+3.18%),1.83,+3.18%,1.279M,1.08M,6.045B,7.19,-3.45%,
LULU,lululemon athletica inc.,,263.70 +8.05 (+3.15%),8.05,+3.15%,8.349M,2.058M,31.812B,18.00,-28.36%,
KDDIY,KDDI Corporation,,15.88 +0.48 (+3.12%),0.48,+3.12%,41248,296213,63.216B,15.42,6.00%,
URBN,"Urban Outfitters, Inc.",,46.61 +1.37 (+3.03%),1.37,+3.03%,5.683M,2.092M,4.319B,10.94,13.81%,
NKE,"NIKE, Inc.",,57.25 +1.67 (+3.00%),1.67,+3.00%,64.084M,15.93M,84.68B,19.02,-37.44%,
