symbol,price,price_change,price_percent_change
AGL,5.36,-0.01,-0.09
TNXP,19.82,2.02,11.35
HUM,281.01,-0.94,-0.33
SMTOY,13.16,0.87,7.08
AVAV,121.03,7.65,6.75
ALHC,18.95,1.13,6.34
HCC,43.44,2.57,6.29
CVS,66.71,-0.92,-1.36
UNH,560.13,7.05,1.27
DLICY,12.5,0.61,5.13
RYTM,57.73,2.77,5.04
CVNA,176.32,8.45,5.03
HTHIY,19.88,0.94,4.96
ARLP,25.86,1.2,4.87
LOAR,75.29,3.44,4.79
PDI,17.77,-0.06,-0.34
FNMAS,10.6,0.45,4.43
STRL,113.83,4.73,4.34
LNSTY,34.8,1.35,4.04
VIK,35.35,-0.15,-0.44
BGC,7.8,0.3,4.00
XIACY,24.1,0.85,3.66
BWXT,93.17,3.15,3.50
MRCY,42.96,1.44,3.47
ZURVY,32.35,1.03,3.29
THLLY,51.7,1.6,3.19
OTLY,8.98,0.27,3.10
CYBR,315.29,9.31,3.04
