Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
SAND,Sandstorm Gold Ltd.,,7.65 +0.30 (+4.08%),0.3,+4.08%,4.918M,5.221M,2.266B,153.00,40.00%,
WING,Wingstop Inc.,,229.29 +8.92 (+4.05%),8.92,+4.05%,888637,808855,6.572B,59.56,-39.86%,
MNSO,MINISO Group Holding Limited,,19.52 +0.75 (+4.00%),0.75,+4.00%,1.095M,1.204M,6.022B,16.27,-8.44%,
AZO,"AutoZone, Inc.",,"3,828.11 +146.43 (+3.98%)",146.43,+3.98%,285637,121059,64.039B,24.75,16.82%,
EQX,Equinox Gold Corp.,,7.10 +0.27 (+3.95%),0.27,+3.95%,12.377M,8.315M,3.238B,9.10,13.46%,
BYDDY,BYD Company Limited,,106.10 +4.00 (+3.92%),4.0,+3.92%,287798,610047,156.757B,26.73,101.10%,
PARAA,Paramount Global,,23.58 +0.86 (+3.79%),0.86,+3.79%,74885,24413,8.397B,-,4.08%,
MLTX,MoonLake Immunotherapeutics,,39.84 +1.45 (+3.78%),1.45,+3.78%,795776,422140,2.521B,-,-23.57%,
QFIN,"Qifu Technology, Inc.",,48.12 +1.75 (+3.77%),1.75,+3.77%,3.749M,1.54M,6.752B,8.46,151.60%,
ANGI,Angi Inc.,,17.05 +0.62 (+3.77%),0.62,+3.77%,468988,143390,820.93M,24.36,-37.29%,
ABT,Abbott Laboratories,,131.35 +4.74 (+3.74%),4.74,+3.74%,8.439M,6.74M,227.803B,17.19,11.39%,
SRRK,Scholar Rock Holding Corporation,,33.36 +1.20 (+3.73%),1.2,+3.73%,1.02M,963179,3.158B,-,81.08%,
BILI,Bilibili Inc.,,20.16 +0.72 (+3.70%),0.72,+3.70%,5.331M,6.864M,8.115B,-,73.57%,
MPNGY,Meituan,,42.44 +1.50 (+3.66%),1.5,+3.66%,58453,487857,126.021B,27.21,65.87%,
LKNCY,Luckin Coffee Inc.,,34.40 +1.20 (+3.61%),1.2,+3.61%,743398,2.33M,9.323B,26.26,35.84%,
SMMT,Summit Therapeutics Inc.,,20.60 +0.71 (+3.57%),0.71,+3.57%,1.664M,2.45M,15.196B,-,380.43%,
CMPGY,Compass Group PLC,,33.17 +1.14 (+3.56%),1.14,+3.56%,168658,227567,56.304B,40.45,9.18%,
BVN,Compañía de Minas Buenaventura S.A.A.,,15.79 +0.53 (+3.47%),0.53,+3.47%,1.816M,1.004M,4.006B,10.53,-3.90%,
AGI,Alamos Gold Inc.,,26.71 +0.88 (+3.41%),0.88,+3.41%,2.565M,2.819M,11.229B,38.71,75.12%,
DG,Dollar General Corporation,,87.54 +2.84 (+3.35%),2.84,+3.35%,4.052M,3.833M,19.254B,16.58,-45.73%,
SE,Sea Limited,,133.57 +4.30 (+3.33%),4.3,+3.33%,4.745M,4.317M,74.245B,175.75,140.68%,
CC,The Chemours Company,,14.29 +0.46 (+3.33%),0.46,+3.33%,2.437M,2.583M,2.136B,24.22,-47.33%,
QXO,"QXO, Inc.",,14.01 +0.45 (+3.32%),0.45,+3.32%,1.569M,2.44M,5.736B,-,-87.15%,
JHX,James Hardie Industries plc,,24.64 +0.79 (+3.31%),0.79,+3.31%,9.799M,432481,10.591B,23.69,-41.05%,
TCOM,Trip.com Group Limited,,65.18 +2.07 (+3.28%),2.07,+3.28%,2.21M,3.894M,42.439B,18.46,43.79%,
CORZ,"Core Scientific, Inc.",,7.88 +0.25 (+3.28%),0.25,+3.28%,34.431M,14.305M,2.318B,-,115.54%,
CDE,"Coeur Mining, Inc.",,6.34 +0.20 (+3.26%),0.2,+3.26%,19.278M,18.517M,4.048B,42.27,62.86%,
PCVX,"Vaxcyte, Inc.",,70.77 +2.21 (+3.22%),2.21,+3.22%,867871,1.143M,9.112B,-,0.37%,
RACE,Ferrari N.V.,,426.82 +13.09 (+3.16%),13.09,+3.16%,1.466M,396445,76.869B,46.75,-5.09%,
BWIN,"The Baldwin Insurance Group, Inc.",,46.05 +1.41 (+3.16%),1.41,+3.16%,648109,566915,3.138B,-,54.25%,
BG,Bunge Global SA,,76.50 +2.31 (+3.11%),2.31,+3.11%,1.65M,1.731M,10.249B,9.28,-27.63%,
WIX,Wix.com Ltd.,,173.88 +5.25 (+3.11%),5.25,+3.11%,592396,854598,9.68B,71.56,22.66%,
ORLY,"O'Reilly Automotive, Inc.",,"1,423.62 +42.64 (+3.09%)",42.64,+3.09%,447836,346110,81.534B,34.02,22.33%,
WDFC,WD-40 Company,,242.49 +7.19 (+3.06%),7.19,+3.06%,106008,110238,3.285B,45.07,-7.11%,
BFAM,Bright Horizons Family Solutions Inc.,,128.98 +3.80 (+3.04%),3.8,+3.04%,506495,416111,7.398B,52.01,10.43%,
SSRM,SSR Mining Inc.,,11.21 +0.33 (+3.03%),0.33,+3.03%,2.244M,2.638M,2.269B,-,143.95%,
ALHC,"Alignment Healthcare, Inc.",,18.13 +0.53 (+3.01%),0.53,+3.01%,2.525M,2.169M,3.478B,-,254.84%,
WMK,"Weis Markets, Inc.",,77.81 +2.27 (+3.01%),2.27,+3.01%,68715,105979,2.093B,18.48,17.30%,
