Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
CNXC,Concentrix Corporation,,65.04 +19.36 (+42.38%),19.36,+42.38%,5.672M,768208,4.185B,16.30,-31.02%,
SLNO,"Soleno Therapeutics, Inc.",,67.39 +18.42 (+37.61%),18.42,+37.61%,15.147M,547054,3.09B,-,14.42%,
MLGO,MicroAlgo Inc.,,15.94 +4.08 (+34.40%),4.08,+34.40%,76.289M,22.702M,158.967M,-,-84.52%,
CAR,"Avis Budget Group, Inc.",,74.16 +12.61 (+20.49%),12.61,+20.49%,6.015M,889549,2.604B,-,-49.74%,
DLTR,"Dollar Tree, Inc.",,76.95 +7.74 (+11.18%),7.74,+11.18%,14.189M,3.386M,16.547B,14.33,-48.02%,
RIVN,"Rivian Automotive, Inc.",,13.02 +0.92 (+7.60%),0.92,+7.60%,61.984M,32.2M,14.62B,-,10.50%,
HCM,HUTCHMED (China) Limited,,15.26 +1.04 (+7.31%),1.04,+7.31%,141143,85493,2.609B,76.30,-15.36%,
AAP,"Advance Auto Parts, Inc.",,40.37 +2.55 (+6.74%),2.55,+6.74%,4.481M,2.255M,2.415B,-,-55.55%,
ZLAB,Zai Lab Limited,,36.18 +2.27 (+6.69%),2.27,+6.69%,795345,855074,3.917B,-,111.67%,
FINV,FinVolution Group,,10.46 +0.65 (+6.63%),0.65,+6.63%,1.495M,957303,2.549B,7.86,94.64%,
FUL,H.B. Fuller Company,,57.61 +3.29 (+6.06%),3.29,+6.06%,1.755M,487559,3.122B,23.61,-31.88%,
JBSAY,JBS S.A.,,14.55 +0.83 (+6.05%),0.83,+6.05%,27724,92996,16.137B,8.61,61.41%,
ALC,Alcon Inc.,,96.80 +5.48 (+6.00%),5.48,+6.00%,3.589M,1.365M,47.879B,44.61,9.64%,
EWTX,"Edgewise Therapeutics, Inc.",,23.44 +1.18 (+5.30%),1.18,+5.30%,1.631M,1.153M,2.232B,-,22.04%,
IAG,IAMGOLD Corporation,,6.43 +0.32 (+5.24%),0.32,+5.24%,9.479M,11.826M,3.696B,4.29,83.48%,
LBRT,Liberty Energy Inc.,,16.22 +0.80 (+5.19%),0.8,+5.19%,3.069M,3.437M,2.633B,8.23,-25.58%,
IMVT,"Immunovant, Inc.",,18.79 +0.90 (+5.03%),0.9,+5.03%,1.146M,1.461M,3.192B,-,-44.63%,
MAKSY,Marks and Spencer Group plc,,9.30 +0.43 (+4.85%),0.43,+4.85%,17401,82966,9.405B,14.31,32.94%,
AUR,"Aurora Innovation, Inc.",,7.46 +0.34 (+4.78%),0.34,+4.78%,11.474M,15.003M,12.392B,-,152.48%,
DAR,Darling Ingredients Inc.,,31.91 +1.43 (+4.69%),1.43,+4.69%,3.834M,2.154M,5.046B,18.45,-34.47%,
OLLI,"Ollie's Bargain Outlet Holdings, Inc.",,113.07 +4.90 (+4.53%),4.9,+4.53%,1.279M,1.085M,6.929B,35.01,35.94%,
FJTSY,Fujitsu Limited,,20.66 +0.89 (+4.50%),0.89,+4.50%,51735,157389,36.846B,18.28,19.46%,
BURBY,Burberry Group plc,,10.65 +0.46 (+4.47%),0.46,+4.47%,20088,68747,3.823B,70.97,-34.43%,
BYDDF,BYD Company Limited,,53.24 +2.24 (+4.39%),2.24,+4.39%,68526,147100,157.082B,26.75,101.50%,
UNF,UniFirst Corporation,,178.01 +7.14 (+4.18%),7.14,+4.18%,216588,139127,3.172B,21.84,-1.48%,
