symbol,price,price_change,price_percent_change
PVH,76.22,11.58,17.91
HSAI,17.42,2.62,17.71
CLSK,7.55,0.84,12.43
PRGS,57.49,5.98,11.60
CORZ,8.0,0.76,10.50
BE,21.22,1.56,7.91
MNDY,261.38,18.21,7.49
RUM,7.57,0.49,7.00
BRPHF,11.33,0.79,7.50
WNS,65.93,4.44,7.22
RIVN,13.27,0.82,6.60
APP,282.72,17.75,6.70
NBIS,22.51,1.4,6.65
RIOT,7.59,0.47,6.53
HCM,16.0,0.96,6.38
OS,22.58,1.24,5.79
FMCC,5.66,0.31,5.79
CRZBY,24.09,1.29,5.66
HIMS,31.18,1.63,5.52
DUOL,327.15,16.61,5.35
DOOO,35.58,1.77,5.24
MSTR,303.96,15.69,5.44
DSNKY,25.01,1.23,5.17
QXO,14.21,0.67,4.93
IONQ,23.23,1.16,5.26
VIV,9.15,0.43,4.93
LEVI,16.31,0.72,4.58
AEO,12.16,0.55,4.69
IBKR,172.99,7.4,4.47
IAC,39.19,1.53,4.05
CAKE,50.82,2.16,4.44
OKLO,22.54,0.91,4.20
EGO,17.55,0.73,4.34
TKAMY,10.79,0.45,4.35
RBLX,60.81,2.52,4.32
WING,235.32,9.74,4.32
FNMA,6.6,0.27,4.27
FINV,10.05,0.41,4.31
RBC,333.38,11.61,3.61
TSLA,269.58,10.42,4.02
ASAN,15.2,0.64,4.36
RDDT,109.6,4.7,4.48
ALGM,26.2,1.07,4.26
COOP,124.51,4.91,4.11
VRT,75.09,2.89,4.00
TTD,56.93,2.21,4.03
MOD,79.67,2.92,3.80
VFC,16.16,0.64,4.12
DJT,20.25,0.71,3.63
APLS,22.66,0.79,3.61
RUSHA,55.37,1.96,3.67
VCTR,59.96,2.09,3.60
PAY,27.03,0.93,3.58
RKT,12.51,0.44,3.65
RL,228.25,7.51,3.40
TPR,72.89,2.47,3.52
AKO-B,22.94,0.79,3.57
KAR,19.99,0.71,3.68
ESAB,120.58,4.08,3.51
VAL,40.63,1.37,3.49
VERX,36.23,1.22,3.48
USLM,91.27,2.89,3.27
ENVA,99.93,3.37,3.49
BPYPP,14.17,0.56,4.11
ALAB,61.74,2.07,3.48
TEO,10.54,0.35,3.43
GRND,18.51,0.61,3.44
STEP,53.92,1.69,3.23
ACIW,56.49,1.78,3.25
VST,121.47,4.03,3.43
GEV,315.18,9.9,3.24
MNSO,19.1,0.61,3.30
ZLAB,37.34,1.2,3.32
TLN,205.9,6.23,3.12
BAP,192.15,5.99,3.22
PDD,122.23,3.88,3.28
NTES,106.13,3.21,3.12
TOST,34.2,1.03,3.10
SHAK,90.83,2.67,3.02
PPC,56.21,1.7,3.12
ODD,44.71,1.45,3.35
BOOT,110.73,3.3,3.07
CQP,68.04,2.0,3.01
ANF,78.78,2.41,3.16
