symbol,price,price_change,price_percent_change
PVH,76.47,11.83,18.30
HSAI,17.42,2.62,17.67
PRGS,57.13,5.62,10.91
CLSK,7.35,0.63,9.35
CORZ,7.8,0.56,7.67
BRPHF,11.38,0.84,7.98
BE,21.07,1.41,7.17
FMCC,5.7,0.35,6.54
WNS,65.62,4.13,6.72
RIVN,13.25,0.8,6.43
MNDY,258.39,15.23,6.26
RUM,7.49,0.41,5.87
CRZBY,24.09,1.29,5.66
HIMS,31.09,1.54,5.21
HCM,15.82,0.78,5.18
DSNKY,25.01,1.23,5.17
APP,277.97,13.0,4.90
QXO,14.23,0.69,5.10
FNMA,6.64,0.31,4.90
LEVI,16.34,0.75,4.84
IONQ,23.12,1.05,4.76
RDDT,109.63,4.73,4.51
DOOO,35.33,1.52,4.50
VIV,9.11,0.39,4.53
NBIS,21.94,0.83,3.93
RIOT,7.42,0.3,4.21
WING,235.34,9.76,4.33
COOP,124.3,4.7,3.93
RBLX,60.71,2.42,4.14
DUOL,323.56,13.02,4.19
TSLA,269.22,10.06,3.88
OS,22.21,0.87,4.08
PAY,27.16,1.06,4.04
AEO,12.1,0.48,4.09
BPYPP,14.16,0.55,4.04
IBKR,172.08,6.49,3.92
MSTR,299.16,10.89,3.78
VERX,36.4,1.39,3.96
CAKE,50.58,1.92,3.94
IAC,39.1,1.44,3.82
VCTR,60.0,2.13,3.68
FINV,9.98,0.35,3.69
KAR,19.95,0.67,3.48
DJTWW,12.84,0.46,3.68
TKAMY,10.72,0.38,3.68
TTD,56.71,1.99,3.64
VFC,16.09,0.57,3.67
RKT,12.49,0.43,3.52
ASAN,15.08,0.51,3.50
EGO,17.43,0.61,3.63
OKLO,22.4,0.77,3.54
ESAB,120.5,4.0,3.43
PHI,22.68,0.81,3.72
RBC,332.98,11.21,3.48
BAP,192.63,6.47,3.48
RL,227.98,7.24,3.28
MOD,79.34,2.59,3.37
TEO,10.51,0.32,3.14
VRT,74.58,2.39,3.30
TPR,72.69,2.28,3.24
TOST,34.23,1.06,3.20
LKNCY,35.61,1.04,3.01
APLS,22.5,0.62,2.86
GRND,18.47,0.57,3.18
ENVA,99.63,3.07,3.18
ODD,44.62,1.36,3.14
ACIW,56.35,1.65,3.01
ULS,58.01,1.6,2.85
ZLAB,37.12,0.98,2.71
LLYVA,69.2,1.96,2.91
