Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
WOR,"Worthington Enterprises, Inc.",,51.52 +9.89 (+23.76%),9.89,+23.76%,1.921M,362766,2.578B,49.07,-17.21%,
GME,GameStop Corp.,,28.36 +2.96 (+11.65%),2.96,+11.65%,50.446M,6.6M,12.671B,85.94,126.52%,
XNGSY,ENN Energy Holdings Limited,,36.10 +3.55 (+10.91%),3.55,+10.91%,69153,103498,10.114B,12.24,15.67%,
DOOO,BRP Inc.,,38.23 +2.69 (+7.57%),2.69,+7.57%,594941,181298,2.589B,17.14,-44.16%,
CTAS,Cintas Corporation,,204.71 +11.25 (+5.82%),11.25,+5.82%,3.61M,1.79M,82.609B,46.74,19.19%,
BKRKY,PT Bank Rakyat Indonesia (Persero) Tbk,,12.04 +0.64 (+5.61%),0.64,+5.61%,49988,186133,36.276B,9.41,-42.05%,
VNET,"VNET Group, Inc.",,8.90 +0.42 (+4.95%),0.42,+4.95%,7.49M,9.964M,2.377B,445.00,474.19%,
ASH,Ashland Inc.,,59.72 +2.79 (+4.90%),2.79,+4.90%,967410,738267,2.818B,-,-38.67%,
QFIN,"Qifu Technology, Inc.",,46.37 +2.14 (+4.84%),2.14,+4.84%,8.204M,1.54M,6.506B,8.15,151.60%,
PAYX,"Paychex, Inc.",,150.19 +6.06 (+4.20%),6.06,+4.20%,4.32M,2.002M,54.078B,30.28,22.30%,
MOH,"Molina Healthcare, Inc.",,323.44 +12.91 (+4.16%),12.91,+4.16%,449887,729133,17.692B,15.20,-21.27%,
TLK,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,,14.66 +0.58 (+4.12%),0.58,+4.12%,601139,786352,14.523B,10.70,-34.14%,
SOMMY,"Sumitomo Chemical Company, Limited",,12.35 +0.42 (+3.52%),0.42,+3.52%,25147,8972,4.118B,-,16.71%,
CAR,"Avis Budget Group, Inc.",,61.55 +2.07 (+3.48%),2.07,+3.48%,1.351M,875474,2.161B,-,-51.73%,
TAL,TAL Education Group,,13.48 +0.45 (+3.45%),0.45,+3.45%,6.091M,7.455M,7.874B,70.95,18.77%,
SYY,Sysco Corporation,,72.75 +2.36 (+3.35%),2.36,+3.35%,3.191M,3.613M,35.591B,18.05,-14.10%,
STZ,"Constellation Brands, Inc.",,184.11 +5.75 (+3.22%),5.75,+3.22%,1.186M,2.838M,33.27B,48.97,-32.25%,
PII,Polaris Inc.,,42.96 +1.34 (+3.22%),1.34,+3.22%,1.2M,1.703M,2.401B,21.37,-57.09%,
IMPUY,Impala Platinum Holdings Limited,,6.75 +0.21 (+3.21%),0.21,+3.21%,31413,211332,6.106B,-,59.72%,
ANGPY,Anglo American Platinum Limited,,6.76 +0.21 (+3.21%),0.21,+3.21%,22291,127976,10.724B,27.04,-2.16%,
DLTR,"Dollar Tree, Inc.",,69.21 +2.07 (+3.08%),2.07,+3.08%,17.726M,3.386M,14.883B,-,-48.02%,
TAP,Molson Coors Beverage Company,,60.56 +1.80 (+3.06%),1.8,+3.06%,1.97M,2.22M,11.918B,10.99,-9.95%,
