Unnamed: 0,Volume,Last,Chg,% Chg
Children's Place Inc. (PLCE),216.5K,9.2,0.44,5.02
Actuate Therapeutics Inc. (ACTU),92.1K,8.0,0.38,4.99
VNET Group Inc. ADR (VNET),7.8M,8.9,0.42,4.95
Ashland Inc. (ASH),967.5K,59.72,2.79,4.9
NeuroPace Inc. (NPCE),292.7K,12.72,0.59,4.86
Qifu Technology Inc. ADR (QFIN),8.5M,46.37,2.14,4.84
Niu Technologies ADR (NIU),2.4M,4.34,0.2,4.83
ATRenew Inc. ADR (RERE),591.0K,3.15,0.14,4.65
Oncocyte Corp. (OCX),51.7K,3.18,0.14,4.61
Hertz Global Holdings Inc. (HTZ),6.3M,3.45,0.15,4.55
Bioceres Crop Solutions Corp. (BIOX),163.4K,4.38,0.19,4.53
Marwynn Holdings Inc. (MWYN),749.7K,4.38,0.18,4.29
Hain Celestial Group Inc. (HAIN),1.5M,3.91,0.16,4.27
Paychex Inc. (PAYX),4.4M,150.19,6.06,4.2
B. Riley Financial Inc. (RILY),1.4M,4.22,0.17,4.2
Hyperscale Data Inc. (GPUS),109.1K,2.5,0.1,4.17
Molina Healthcare Inc. (MOH),534.5K,323.44,12.91,4.16
Telekomunikasi Indonesia ADR (TLK),602.3K,14.66,0.58,4.12
First Foundation Inc. (FFWM),899.1K,4.93,0.19,4.01
Lipella Pharmaceuticals Inc. (LIPO),52.2K,2.6,0.1,4.0
PMGC Holdings Inc. (ELAB),95.2K,5.1,0.19,3.87
North American Construction Group Ltd. (NOA),97.3K,16.99,0.63,3.85
1stdibs.com Inc. (DIBS),78.6K,3.1,0.11,3.68
Hamilton Beach Brands Holding Co. Cl A (HBB),50.3K,19.79,0.7,3.67
USANA Health Sciences Inc. (USNA),175.7K,27.22,0.96,3.66
Talos Energy Inc. (TALO),2.1M,9.57,0.33,3.57
First of Long Island Corp. (FLIC),86.7K,12.49,0.43,3.57
Universal Insurance Holdings Inc. (UVE),164.9K,22.72,0.78,3.56
Cingulate Inc. (CING),64.1K,4.14,0.14,3.5
ConnectOne Bancorp Inc. (CNOB),346.7K,24.56,0.83,3.5
Markforged Holding Corp. (MKFG),696.3K,4.45,0.15,3.49
Avis Budget Group Inc. (CAR),1.4M,61.55,2.07,3.48
HCI Group Inc. (HCI),179.3K,145.35,4.88,3.47
TAL Education Group ADR (TAL),7.1M,13.48,0.45,3.45
Adient PLC (ADNT),2.2M,15.09,0.5,3.43
Kingstone Cos. Inc. (KINS),251.4K,16.67,0.55,3.41
American Coastal Insurance Corp. (ACIC),256.5K,11.87,0.39,3.4
Cable One Inc. (CABO),131.2K,273.42,8.96,3.39
