Unnamed: 0,Volume,Last,Chg,% Chg
VivoPower International PLC (VVPR),143.0M,4.18,1.92,84.96
Lixiang Education Holding Co. Ltd. ADR (LXEH),432.1K,18.21,7.81,75.1
Edible Garden AG Inc. (EDBL),531.0K,3.84,0.94,32.7
LZ Technology Holdings Ltd. Cl B (LZMH),276.7K,9.99,2.33,30.42
Urgent.ly Inc. (ULY),563.0K,4.84,0.93,23.79
Worthington Enterprises Inc. (WOR),1.9M,51.52,9.89,23.76
Alumis Inc. (ALMS),5.4M,4.92,0.92,23.0
Lichen International Ltd. (LICN),96.6K,4.6,0.8,21.05
Epsium Enterprise Ltd. (EPSM),932.2K,4.82,0.82,20.5
Playtika Holding Corp. (PLTK),6.9M,5.3,0.9,20.45
BranchOut Food Inc. (BOF),417.1K,2.65,0.42,18.83
Quantum Biopharma Ltd. (QNTM),716.8K,6.95,1.09,18.6
Huachen AI Parking Management Technology Holding Co. Ltd. (HCAI),555.2K,7.03,1.07,17.95
SOPHiA GENETICS S.A. (SOPH),68.7K,3.68,0.56,17.95
X Financial ADR (XYF),502.0K,15.31,2.31,17.77
Jayud Global Logistics Ltd. (JYD),13.5M,6.18,0.78,14.44
Neurogene Inc. (NGNE),219.4K,16.14,1.94,13.66
Creative Global Technology Holdings Ltd. (CGTL),223.7K,3.79,0.44,13.13
Versus Systems Inc. (VS),150.5K,2.35,0.26,12.44
Lion Group Holding Ltd. ADR (LGHL),265.9K,4.16,0.46,12.43
Baiya International Group Inc. (BIYA),758.4K,4.89,0.54,12.41
Golden Heaven Group Holdings Ltd. (GDHG),7.7M,4.27,0.46,12.07
Braskem S/A ADR (BAK),2.1M,4.13,0.44,11.92
Aeva Technologies Inc. (AEVA),2.7M,5.8,0.61,11.75
Thumzup Media Corp. (TZUP),680.1K,4.5,0.47,11.66
GameStop Corp. Cl A (GME),53.3M,28.36,2.96,11.65
Park Ha Biological Technology Co. Ltd. (PHH),481.4K,10.6,1.06,11.11
QuantaSing Group Ltd. ADR (QSG),220.8K,3.0,0.3,11.11
Beyond Inc. (BYON),5.2M,5.36,0.53,10.97
Brag House Holdings Inc. (TBH),2.7M,6.07,0.56,10.16
Exagen Inc. (XGN),250.0K,4.25,0.39,10.1
Perimeter Solutions Inc. (PRM),2.4M,10.02,0.91,9.99
SeaStar Medical Holding Corp. (ICU),540.0K,2.43,0.22,9.95
HF Foods Group Inc. (HFFG),548.4K,4.79,0.43,9.86
Rent the Runway Inc. (RENT),89.6K,5.17,0.45,9.53
NAYA Biosciences Inc. (NAYA),66.7K,2.48,0.2,8.77
Kolibri Global Energy Inc. (KGEI),223.4K,7.87,0.63,8.7
Kyverna Therapeutics Inc. (KYTX),281.3K,2.5,0.2,8.7
Universe Pharmaceuticals Inc. (UPC),92.1K,4.85,0.35,7.78
ARK Restaurants Corp. (ARKR),93.2K,10.1,0.72,7.73
BRP Inc. (DOOO),645.9K,38.23,2.69,7.57
Visionary Holdings Inc. (GV),5.8M,3.42,0.24,7.55
Siyata Mobile Inc. (SYTA),550.3K,2.17,0.15,7.43
Skycorp Solar Group Ltd. (PN),108.7K,3.96,0.26,7.03
China Yuchai International Ltd. (CYD),370.1K,18.22,1.19,6.99
American Vanguard Corp. (AVD),266.1K,4.5,0.29,6.89
HCM II Acquisition Corp. Cl A (HOND),6.2M,10.8,0.66,6.51
Praxis Precision Medicines Inc. (PRAX),836.5K,38.19,2.33,6.5
Amplify Energy Corp. (AMPY),755.3K,3.96,0.24,6.45
United Homes Group Inc. (UHG),68.7K,3.14,0.19,6.44
Golden Matrix Group Inc. (GMGI),164.6K,2.15,0.13,6.44
Target Hospitality Corp. (TH),1.2M,6.52,0.39,6.36
WAVE Life Sciences Ltd. (WVE),3.4M,10.02,0.58,6.14
Cintas Corp. (CTAS),3.7M,204.71,11.25,5.82
Knot Offshore Partners LP (KNOP),129.4K,6.74,0.37,5.81
Entravision Communications Corp. (EVC),385.8K,2.22,0.12,5.71
Prothena Corp. PLC (PRTA),672.3K,13.37,0.72,5.69
Grocery Outlet Holding Corp. (GO),1.8M,12.9,0.69,5.65
Cato Corp. Cl A (CATO),271.2K,3.44,0.18,5.52
Rex American Resources Corp. (REX),198.6K,38.61,2.0,5.46
Grab Holdings Ltd. (GRAB),34.3M,4.78,0.24,5.29
Strawberry Fields REIT Inc. (STRW),90.9K,11.94,0.59,5.2
