Unnamed: 0,Volume,Last,Chg,% Chg
Waton Financial Ltd. (WTF),14.7M,15.75,11.75,293.75
Newsmax Inc. Cl B (NMAX),10.1M,236.96,153.45,183.75
iCoreConnect Inc. (ICCT),202.3M,4.95,2.71,120.98
Marblegate Acquisition Corp. (GATE),159.6K,36.05,16.44,83.83
QuantaSing Group Ltd. ADR (QSG),10.0M,6.29,2.27,56.55
Nutex Health Inc. (NUTX),288.0K,70.64,23.61,50.21
Sonim Technologies Inc. (SONM),1.2M,3.04,0.9,41.82
Lixiang Education Holding Co. Ltd. ADR (LXEH),170.9K,26.68,7.31,37.74
CoreWeave Inc. Cl A (CRWV),30.8M,49.14,12.06,32.54
Leishen Energy Holding Co. Ltd. (LSE),203.5K,5.91,1.43,31.92
Cloudastructure Inc. Cl A (CSAI),46.5M,5.72,1.28,28.9
Nxu Inc. (NXU),732.6K,3.42,0.75,28.09
Lichen International Ltd. (LICN),63.6K,4.75,0.9,23.38
PVH Corp. (PVH),4.1M,76.66,12.02,18.6
Hesai Group ADR (HSAI),12.0M,17.32,2.52,17.06
Alumis Inc. (ALMS),978.7K,7.14,0.99,16.21
Hut 8 Corp. (HUT),8.2M,13.23,1.61,13.86
Euroholdings Ltd. (EHLD),133.6K,5.43,0.65,13.65
Apollomics Inc. (APLM),71.6K,7.0,0.8,12.9
Energys Group Ltd. (ENGS),2.3M,5.06,0.56,12.44
ALT5 Sigma Corp. (ALTS),186.7K,4.36,0.48,12.37
Zynex Inc. (ZYXI),651.1K,2.47,0.27,12.27
CleanSpark Inc. (CLSK),27.4M,7.54,0.81,12.13
Electrovaya Inc. (ELVA),72.4K,2.59,0.28,12.12
Coffee Holding Co. Inc. (JVA),241.5K,3.97,0.42,11.83
Progress Software Corp. (PRGS),1.9M,57.52,6.01,11.67
Aardvark Therapeutics Inc. (AARD),213.1K,8.35,0.83,11.12
Skycorp Solar Group Ltd. (PN),75.2K,3.85,0.38,10.95
SunRun Inc. (RUN),11.8M,6.49,0.63,10.83
Nukkleus Inc. (NUKK),92.6K,13.16,1.27,10.68
CervoMed Inc. (CRVO),720.5K,10.11,0.96,10.49
VirTra Inc. (VTSI),120.1K,4.49,0.42,10.32
ClearPoint Neuro Inc. (CLPT),233.6K,13.12,1.23,10.3
Belpointe PREP LLC (OZ),82.0K,71.01,6.51,10.09
USA Rare Earth Inc. (USAR),254.3K,6.53,0.59,9.93
trivago N.V. ADR (TRVG),138.0K,4.5,0.4,9.75
Core Scientific Inc. (CORZ),22.7M,7.94,0.69,9.6
Inotiv Inc. (NOTV),627.1K,2.42,0.21,9.5
LogProstyle Inc. (LGPS),272.8K,3.24,0.28,9.46
Biote Corp. (BTMD),140.6K,3.64,0.3,9.16
AirJoule Technologies Corp. (AIRJ),151.2K,5.03,0.41,9.0
Oriental Culture Holding Ltd. (OCG),132.3K,3.15,0.26,9.0
Upstream Bio Inc. (UPB),216.9K,6.66,0.54,8.86
Priority Technology Holdings Inc. (PRTH),368.6K,7.41,0.59,8.73
IREN Ltd. (IREN),13.3M,6.62,0.53,8.7
SurgePays Inc. (SURG),896.5K,2.25,0.18,8.69
Knot Offshore Partners LP (KNOP),333.9K,7.58,0.6,8.6
Red Cat Holdings Inc. (RCAT),3.8M,6.38,0.5,8.5
Bionano Genomics Inc. (BNGO),120.1K,3.02,0.23,8.42
Exagen Inc. (XGN),412.7K,3.89,0.3,8.36
QVC Group Inc. Series B (QVCGB),68.3K,7.19,0.55,8.28
Sleep Number Corp. (SNBR),438.3K,6.86,0.53,8.28
Cipher Mining Inc. (CIFR),8.2M,2.49,0.19,8.26
Xcel Brands Inc. (XELB),117.2K,3.05,0.23,8.16
Bloom Energy Corp. (BE),4.1M,21.24,1.57,8.01
bluebird bio Inc. (BLUE),773.7K,5.27,0.39,8.01
Rumble Inc. (RUM),2.1M,7.64,0.56,7.99
Immucell Corp. (ICCC),76.6K,5.17,0.38,7.93
monday.com Ltd. (MNDY),998.9K,261.5,18.34,7.54
First Watch Restaurant Group Inc. (FWRG),417.2K,17.9,1.25,7.51
Montauk Renewables Inc. (MNTK),163.6K,2.24,0.15,7.42
Bloomin' Brands Inc. (BLMN),2.1M,7.68,0.51,7.04
Lifevantage Corp. (LFVN),166.3K,15.59,1.01,6.93
NeuroPace Inc. (NPCE),164.9K,13.14,0.85,6.92
MaxLinear Inc. (MXL),1.1M,11.61,0.75,6.91
Nebius Group N.V. Cl A (NBIS),13.0M,22.55,1.44,6.82
Skyline Builders Group Holding Ltd. Cl A (SKBL),560.3K,11.14,0.71,6.81
AppLovin Corp. (APP),6.2M,282.97,18.0,6.79
Applied Digital Corp. (APLD),23.6M,5.99,0.37,6.67
Rivian Automotive Inc. Cl A (RIVN),37.9M,13.28,0.82,6.63
Aehr Test Systems (AEHR),596.6K,7.78,0.48,6.65
WNS (Holdings) Ltd. (WNS),2.0M,65.49,4.0,6.51
HUTCHMED (China) Ltd. ADR (HCM),316.9K,16.0,0.95,6.35
Blend Labs Inc. (BLND),2.8M,3.56,0.21,6.27
Build-A-Bear Workshop Inc. (BBW),146.2K,39.48,2.31,6.22
Viant Technology Inc. (DSP),345.4K,13.17,0.76,6.12
Cracker Barrel Old Country Store Inc. (CBRL),630.7K,41.18,2.35,6.07
Daktronics Inc. (DAKT),581.2K,12.92,0.73,6.03
Wheeler Real Estate Investment Trust Inc. (WHLR),109.9K,3.35,0.19,6.01
Hims & Hers Health Inc. (HIMS),41.7M,31.32,1.77,5.99
ProFrac Holding Corp. (ACDC),189.9K,8.04,0.45,5.93
Kolibri Global Energy Inc. (KGEI),98.9K,8.88,0.49,5.84
Riot Platforms Inc. (RIOT),17.3M,7.54,0.42,5.83
Enel Chile S.A. ADR (ENIC),1.1M,3.46,0.19,5.81
Genie Energy Ltd. (GNE),62.4K,15.92,0.87,5.78
Yiren Digital Ltd. ADR (YRD),114.2K,7.27,0.39,5.67
Duolingo Inc. (DUOL),437.5K,328.12,17.58,5.66
ZIM Integrated Shipping Services Ltd. (ZIM),4.0M,15.41,0.82,5.62
ZipRecruiter Inc. Cl A (ZIP),624.2K,6.22,0.33,5.6
Eos Energy Enterprises Inc. (EOSE),3.3M,3.98,0.2,5.42
QXO Inc. (QXO),2.4M,14.26,0.72,5.35
BRP Inc. (DOOO),211.7K,35.61,1.8,5.32
OneStream Inc. Cl A (OS),1.1M,22.48,1.14,5.32
European Wax Center Inc. (EWCZ),475.0K,4.16,0.21,5.32
Acacia Research Corp. - Acacia Technologies (ACTG),514.4K,3.37,0.17,5.31
Cognyte Software Ltd. (CGNT),530.0K,8.21,0.41,5.26
Bit Digital Inc. (BTBT),12.4M,2.12,0.1,5.2
Blaize Holdings Inc. (BZAI),614.1K,2.12,0.1,5.2
IonQ Inc. (IONQ),20.8M,23.21,1.14,5.17
Medicus Pharma Ltd. (MDCX),79.9K,3.91,0.19,5.11
