Unnamed: 0,Volume,Last,Chg,% Chg
Newsmax Inc. Cl B (NMAX),6.5M,83.51,73.51,735.1
Corcept Therapeutics Inc. (CORT),14.3M,114.22,59.59,109.08
MicroAlgo Inc. (MLGO),50.3M,24.25,6.9,39.77
HomeStreet Inc. (HMST),2.5M,11.74,2.44,26.24
Huachen AI Parking Management Technology Holding Co. Ltd. (HCAI),90.0K,7.98,1.58,24.69
Regencell Bioscience Holdings Ltd. (RGC),429.9K,31.88,6.21,24.19
Zoomcar Holdings Inc. (ZCAR),117.8K,5.01,0.89,21.45
bluebird bio Inc. (BLUE),3.6M,4.88,0.8,19.61
Medicus Pharma Ltd. (MDCX),63.9K,3.72,0.59,18.87
Gorilla Technology Group Inc. (GRRR),3.9M,29.6,4.56,18.21
Wolfspeed Inc. (WOLF),56.6M,3.06,0.47,18.15
QuantaSing Group Ltd. ADR (QSG),16.9M,4.02,0.6,17.54
FTC Solar Inc. (FTCI),812.1K,2.87,0.37,14.8
Mr. Cooper Group Inc. (COOP),6.4M,119.6,15.11,14.46
Wellgistics Health Inc. (WGRX),153.5K,4.32,0.5,13.09
HF Foods Group Inc. (HFFG),326.3K,4.9,0.53,12.13
ASP Isotopes Inc. (ASPI),3.1M,4.69,0.51,12.07
DatChat Inc. (DATS),933.0K,3.86,0.41,11.88
LogProstyle Inc. (LGPS),152.8K,2.96,0.31,11.7
Verra Mobility Corp. Cl A (VRRM),3.8M,22.51,2.32,11.49
Oriental Culture Holding Ltd. (OCG),370.1K,2.89,0.29,11.15
908 Devices Inc. (MASS),1.8M,4.48,0.44,10.89
SCHMID Group N.V. (SHMD),50.6K,3.96,0.38,10.61
Southern States Bancshares Inc. (SSBK),244.2K,35.75,3.26,10.03
DBV Technologies S.A. ADR (DBVT),648.6K,6.82,0.62,10.0
Euroholdings Ltd. (EHLD),76.2K,4.78,0.43,9.89
Lixiang Education Holding Co. Ltd. ADR (LXEH),111.4K,19.37,1.72,9.75
Nexxen International Ltd. (NEXN),837.1K,8.35,0.73,9.58
Coffee Holding Co. Inc. (JVA),259.6K,3.55,0.31,9.57
Beyond Inc. (BYON),5.0M,5.8,0.49,9.23
United Microelectronics Corp. ADR (UMC),50.4M,7.15,0.6,9.16
Vision Marine Technologies Inc. (VMAR),55.6K,5.24,0.44,9.07
BK Technologies Corp. (BKTI),184.8K,39.22,3.22,8.94
Alumis Inc. (ALMS),693.9K,6.14,0.5,8.87
Mineralys Therapeutics Inc. (MLYS),2.2M,15.88,1.22,8.32
Cross Timbers Royalty Trust (CRT),91.1K,13.17,1.0,8.19
Xponential Fitness Inc. (XPOF),1.2M,8.33,0.62,8.04
Caledonia Mining Corp. PLC (CMCL),173.9K,12.49,0.88,7.58
Click Holdings Ltd. (CLIK),59.4K,2.7,0.19,7.57
Discover Financial Services (DFS),4.5M,170.7,11.97,7.54
