symbol,price,price_change,price_percent_change
ICCT,4.23,2.16,104.35
TCRT,4.22,1.42,50.71
TIVC,4.87,1.62,49.85
NTHI,9.58,2.58,36.86
LOCL,2.82,0.72,34.29
CGTL,5.38,1.23,29.64
OPOF,36.82,6.91,23.1
NMAX,62.12,9.6,18.28
LZMH,8.34,1.18,16.48
SKBL,12.0,1.64,15.83
VMAR,5.79,0.72,14.2
CLIK,2.64,0.31,13.3
GT,10.19,1.07,11.73
ADTX,5.58,0.58,11.6
FLX,2.5,0.26,11.36
MDCX,3.81,0.35,10.12
LW,59.57,5.42,10.01
FORD,4.92,0.44,9.82
LGPS,3.57,0.3,9.17
VTMX,24.89,2.09,9.17
OMH,2.33,0.19,8.88
RHLD,30.7,2.32,8.17
TZUP,4.53,0.34,8.11
NYXH,6.99,0.49,7.54
MOH,353.24,24.75,7.53
INHD,5.0,0.32,6.84
Cayman,5.75,0.35,6.48
EPSM,5.27,0.32,6.46
PAGS,8.5,0.51,6.38
STNE,11.39,0.66,6.15
CNC,64.29,3.56,5.86
ABEO,4.95,0.27,5.77
VERO,2.39,0.13,5.75
RIME,2.24,0.12,5.66
DERM,6.59,0.35,5.61
SEPN,5.8,0.3,5.55
NGG,69.39,3.61,5.49
ELV,452.69,23.36,5.44
POET,4.07,0.2,5.31
SBAC,230.87,11.53,5.26
KR,70.74,3.47,5.16
TEF,4.91,0.24,5.14
GHLD,15.23,0.74,5.11
FSLR,136.23,6.41,4.94
IDR,15.94,0.75,4.94
AMT,228.19,10.29,4.72
CELZ,2.24,0.1,4.67
DG,94.41,4.21,4.67
UL,62.55,2.69,4.49
ACTU,7.22,0.31,4.49
BDMD,5.74,0.24,4.36
FCEL,4.82,0.2,4.33
SBS,18.69,0.77,4.3
FCFS,127.31,5.23,4.28
MSEX,66.57,2.7,4.23
BTI,41.92,1.67,4.15
CSAN,5.54,0.22,4.14
PPC,50.99,1.99,4.07
ELP,7.71,0.3,4.05
CNL,9.44,0.36,3.96
AWK,151.96,5.77,3.95
TU,14.54,0.55,3.93
BCE,22.66,0.84,3.85
AMX,15.01,0.55,3.8
PM,162.07,5.9,3.78
FMS,25.66,0.93,3.76
GPUS,2.78,0.1,3.73
ALHC,18.51,0.66,3.7
BNTC,13.01,0.46,3.67
BKD,6.26,0.22,3.64
GSK,39.01,1.37,3.64
COR,289.36,9.85,3.52
VIV,9.3,0.31,3.45
TIMB,16.51,0.55,3.45
MCK,716.93,23.4,3.37
BBD,2.29,0.07,3.31
UNH,540.44,17.24,3.3
TIGO,30.5,0.97,3.28
RGC,24.3,0.77,3.27
KT,17.87,0.56,3.24
DWTX,4.18,0.13,3.21
WTRG,40.64,1.25,3.17
MASK,3.62,0.11,3.13
CCI,107.06,3.25,3.13
RCI,26.07,0.78,3.08
BJ,118.49,3.52,3.06
TBBB,28.08,0.83,3.05
DUK,124.05,3.66,3.04
GIS,60.97,1.78,3.01
EZPW,15.78,0.46,3.0
NB,2.09,0.06,2.96
EBR,7.33,0.21,2.95
CCU,15.6,0.44,2.9
ITUB,5.69,0.16,2.89
WING,242.78,6.82,2.89
JNJ,159.82,4.46,2.87
ED,112.72,3.14,2.87
HLN,10.45,0.29,2.85
CCEP,89.87,2.46,2.81
VOD,9.37,0.25,2.74
