symbol,price,price_change,price_percent_change
NAOV,7.2,4.26,144.9
FATN,13.0,7.25,126.09
JZXN,3.89,1.25,47.07
CAPS,2.53,0.71,39.01
SPPL,3.81,1.03,37.05
REVB,3.69,0.98,36.24
VSTA,4.57,1.0,28.01
UPC,3.95,0.86,27.83
AGL,5.36,1.11,26.12
GPUS,2.62,0.44,20.18
VERO,2.92,0.46,18.7
YSXT,3.08,0.47,18.13
RIME,2.57,0.38,17.35
SWVL,3.07,0.45,17.18
SPIR,8.75,1.27,16.98
SMTK,2.7,0.37,15.88
PCRX,26.27,3.36,14.67
RDHL,2.34,0.29,14.15
NXDT,4.08,0.5,13.97
METC,7.61,0.93,13.92
MCTR,6.08,0.74,13.86
NXU,2.55,0.31,13.84
GDC,2.31,0.27,13.24
NUTX,84.94,9.55,12.67
CRMD,6.79,0.72,11.86
VG,7.82,0.82,11.71
ONEG,1.73,0.18,11.62
SVRE,3.61,0.37,11.42
TNXP,19.82,2.02,11.35
SIGA,5.92,0.59,11.07
MXC,8.21,0.8,10.8
HUM,281.95,27.24,10.69
LOCL,3.83,0.35,10.06
LOCO,10.17,0.89,9.59
SYTA,1.76,0.15,9.32
BTU,11.26,0.95,9.21
INM,2.25,0.19,9.14
EHLD,4.45,0.37,9.07
NEXT,6.49,0.51,8.53
CLOV,3.47,0.26,8.1
CLNN,2.86,0.2,7.52
MYTE,7.05,0.49,7.47
CYD,14.76,1.02,7.42
HNRG,11.11,0.75,7.24
GFR,4.75,0.32,7.22
GRAB,3.73,0.25,7.18
DXF,6.42,0.42,7.0
AVAV,121.03,7.65,6.75
TLSI,5.49,0.34,6.6
CNR,69.16,4.25,6.55
ONIT,28.0,1.7,6.46
ALHC,18.95,1.13,6.34
HCC,43.44,2.57,6.29
ASTH,31.09,1.8,6.15
NYXH,6.06,0.35,6.13
PPTA,9.53,0.55,6.12
TOPW,2.22,0.13,5.95
JXG,2.14,0.12,5.94
CVS,67.63,3.78,5.92
SAGT,2.55,0.14,5.81
CYN,4.11,0.21,5.52
MFH,4.81,0.25,5.48
NTRP,5.4,0.28,5.47
IGIC,22.43,1.14,5.35
RYTM,57.73,2.77,5.04
CVNA,176.32,8.45,5.03
DTIL,4.62,0.22,5.0
TDUP,2.95,0.14,4.98
ARLP,25.86,1.2,4.87
LOAR,75.29,3.44,4.79
ENGS,4.84,0.22,4.76
NATR,12.01,0.54,4.71
DOMO,7.51,0.33,4.6
SOBR,5.11,0.22,4.5
SLQT,3.29,0.14,4.44
STRL,113.83,4.73,4.34
UMAC,4.91,0.2,4.25
ENIC,3.01,0.12,4.15
ASLE,7.03,0.28,4.15
FUNC,26.97,1.07,4.13
CNL,8.67,0.34,4.08
VIK,35.51,1.37,4.01
BGC,7.8,0.3,4.0
PDEX,54.97,2.1,3.97
GRCE,1.87,0.07,3.89
KRMN,27.8,1.03,3.85
ZVIA,2.17,0.08,3.83
SAIH,3.55,0.13,3.8
XYF,12.46,0.45,3.75
LODE,1.97,0.07,3.68
SKLZ,3.83,0.13,3.51
CDTX,17.1,0.58,3.51
BWXT,93.17,3.15,3.5
MRCY,42.96,1.44,3.47
CRBP,5.39,0.18,3.45
RMNI,3.32,0.11,3.43
HRTG,14.76,0.47,3.29
SHEN,12.45,0.39,3.23
METCB,6.46,0.2,3.19
OTLY,8.98,0.27,3.1
