symbol,price,price_change,price_percent_change
NMAX,35.72,25.71,257.15
CORT,100.4,45.77,83.77
BLUE,5.24,1.16,28.43
MLGO,21.6,4.25,24.47
BKTI,42.45,6.45,17.92
HMST,10.94,1.64,17.58
QSG,4.02,0.6,17.54
HCAI,7.51,1.11,17.34
COOP,121.85,17.36,16.61
ZYBT,5.78,0.68,13.32
UMC,7.38,0.82,12.6
FTCI,2.8,0.3,12.0
LXEH,19.7,2.05,11.61
BMGL,5.08,0.52,11.52
GRRR,27.74,2.69,10.76
SSBK,35.79,3.3,10.16
BGS,7.06,0.63,9.7
STHO,8.79,0.77,9.6
PHH,14.0,1.21,9.46
BIYA,7.84,0.67,9.26
CYRX,6.63,0.54,8.85
CELH,36.38,2.73,8.13
NEXN,8.2,0.58,7.61
WOLF,2.78,0.2,7.53
BYON,5.7,0.39,7.34
CAPS,2.58,0.17,7.29
APLM,8.12,0.52,6.77
NAMI,3.07,0.16,5.43
DFS,167.12,8.39,5.29
GO,13.95,0.7,5.28
VVPR,4.13,0.21,5.24
MLYS,15.4,0.74,5.05
TBH,6.94,0.33,4.99
ATEX,37.53,1.77,4.95
XPEV,20.66,0.96,4.87
SERA,3.71,0.17,4.8
SBSW,4.59,0.21,4.79
SAFE,18.7,0.78,4.34
DRD,15.44,0.61,4.11
ECOR,6.71,0.26,4.03
GT,9.14,0.35,3.98
FFWM,5.14,0.2,3.94
VG,10.34,0.39,3.94
JILL,19.42,0.73,3.91
RC,5.03,0.19,3.82
RYAM,5.77,0.21,3.78
NCTY,14.48,0.52,3.72
AIG,86.6,2.98,3.56
TIPT,24.09,0.82,3.52
BKD,6.36,0.21,3.5
UEIC,6.38,0.21,3.49
QSR,66.74,2.22,3.44
MWYN,4.23,0.14,3.42
HMY,14.54,0.48,3.41
ZUMZ,14.85,0.48,3.34
SMTK,3.11,0.1,3.32
ZIP,5.97,0.19,3.29
MKFG,4.72,0.15,3.28
LYV,129.12,4.09,3.27
BBNX,12.09,0.38,3.25
INDO,2.88,0.09,3.23
CMCL,11.97,0.36,3.08
SEAT,3.02,0.09,3.07
JJSF,134.09,3.95,3.04
NCMI,5.78,0.17,3.03
EBS,4.8,0.14,3.0
PARA,11.89,0.33,2.85
IRT,21.46,0.59,2.85
QD,2.7,0.07,2.85
NGD,3.7,0.1,2.78
AMN,24.22,0.65,2.76
PDS,46.61,1.25,2.76
COP,105.16,2.79,2.73
MESO,12.44,0.33,2.73
FG,36.16,0.95,2.7
SEZL,36.1,0.93,2.66
TNXP,20.7,0.53,2.63
BJ,114.83,2.92,2.61
EHAB,8.86,0.23,2.6
TALO,9.76,0.24,2.58
MO,59.64,1.5,2.57
IPG,26.96,0.68,2.57
LU,3.04,0.08,2.54
ABBV,210.48,5.18,2.53
F,9.96,0.24,2.52
NSA,39.68,0.97,2.52
RMBL,2.88,0.07,2.49
BNL,17.1,0.41,2.49
EXC,45.82,1.11,2.48
AR,40.67,0.98,2.48
OMC,82.23,1.99,2.48
CNMD,60.3,1.46,2.47
CRK,20.33,0.49,2.47
RRC,40.15,0.96,2.45
AMGN,314.32,7.38,2.4
LSTR,150.9,3.53,2.4
LFVN,14.76,0.34,2.39
IDR,13.75,0.32,2.38
SLNO,73.7,1.71,2.37
EXR,148.88,3.42,2.35
