Unnamed: 0,Volume,Last,Chg,% Chg
TTEC Holdings Inc. (TTEC),13.1M,5.3,2.03,62.08
Alaunos Therapeutics Inc. (TCRT),9.9M,3.12,0.96,44.55
Sunshine Biopharma Inc. (SBFM),59.0M,2.74,0.67,31.97
Vision Marine Technologies Inc. (VMAR),1.6M,5.78,1.39,31.55
Tivic Health Systems Inc. (TIVC),523.4K,3.08,0.56,22.4
Alumis Inc. (ALMS),2.1M,8.82,1.58,21.76
CervoMed Inc. (CRVO),1.8M,12.03,2.05,20.54
Zhengye Biotechnology Holding Ltd. (ZYBT),403.0K,6.35,1.03,19.36
Sionna Therapeutics Inc. (SION),78.5K,12.12,1.96,19.24
Cognyte Software Ltd. (CGNT),1.2M,9.8,1.58,19.22
Petco Health & Wellness Co. Inc. (WOOF),6.7M,3.52,0.56,18.75
Gyre Therapeutics Inc. (GYRE),85.5K,7.5,1.09,17.0
Phathom Pharmaceuticals Inc. (PHAT),1.2M,5.98,0.86,16.8
Inotiv Inc. (NOTV),313.0K,2.81,0.4,16.6
Vishay Precision Group Inc. (VPG),738.0K,27.4,3.88,16.52
Zoomcar Holdings Inc. (ZCAR),51.6K,5.36,0.74,16.02
Yoshiharu Global Co. (YOSH),70.1K,17.01,2.32,15.79
Bionano Genomics Inc. (BNGO),82.5K,3.57,0.47,15.23
Auddia Inc. (AUUD),108.3K,4.45,0.58,14.99
Silence Therapeutics PLC ADR (SLN),129.0K,2.78,0.36,14.88
DBV Technologies S.A. ADR (DBVT),202.1K,7.38,0.92,14.24
SemiLEDS Corp. (LEDS),90.8K,2.77,0.34,13.99
AngioDynamics Inc. (ANGO),1.8M,11.01,1.35,13.98
Red Cat Holdings Inc. (RCAT),4.4M,7.26,0.87,13.62
Adverum Biotechnologies Inc. (ADVM),68.4K,4.35,0.52,13.58
Wheeler Real Estate Investment Trust Inc. (WHLR),197.0K,3.77,0.45,13.38
Alarum Technologies Ltd. ADR (ALAR),112.8K,7.18,0.82,12.89
Denali Therapeutics Inc. (DNLI),1.3M,13.86,1.56,12.73
4D Molecular Therapeutics Inc. (FDMT),552.4K,3.37,0.38,12.71
Intercont (Cayman) Ltd. (NCT),117.2K,6.07,0.67,12.41
Telomir Pharmaceuticals Inc. (TELO),354.4K,3.07,0.33,12.04
Exagen Inc. (XGN),149.7K,4.4,0.47,11.96
Siyata Mobile Inc. (SYTA),581.7K,2.37,0.25,11.79
Diamedica Therapeutics Inc. (DMAC),65.6K,4.19,0.44,11.73
Aclarion Inc. (ACON),59.1K,12.6,1.29,11.4
Intellia Therapeutics Inc. (NTLA),2.7M,7.4,0.75,11.27
Amentum Holdings Inc. (AMTM),2.1M,19.88,2.01,11.25
Redwire Corp. (RDW),971.5K,9.48,0.94,10.95
Rigetti Computing Inc. (RGTI),19.6M,8.65,0.84,10.82
Amylyx Pharmaceuticals Inc. (AMLX),265.1K,3.7,0.36,10.78
Cytokinetics Inc. (CYTK),2.7M,41.52,4.01,10.71
Junee Ltd. (JUNE),59.5K,10.45,1.0,10.58
New Fortress Energy LLC Cl A (NFE),3.3M,8.36,0.78,10.22
USA Rare Earth Inc. (USAR),123.6K,6.92,0.64,10.19
Avidity Biosciences Inc. (RNA),1.7M,29.42,2.68,10.02
IonQ Inc. (IONQ),16.3M,25.5,2.31,9.98
Emergent Biosolutions Inc. (EBS),678.4K,5.2,0.47,9.81
Septerna Inc. (SEPN),76.9K,5.51,0.49,9.76
Park Ha Biological Technology Co. Ltd. (PHH),239.7K,12.89,1.1,9.33
Rocket Cos. Inc. (RKT),22.2M,13.77,1.17,9.29
Abeona Therapeutics Inc. (ABEO),577.3K,4.86,0.41,9.21
Aditxt Inc. (ADTX),97.8K,4.93,0.41,9.07
Micropolis Holding Co. (MCRP),88.6K,3.16,0.26,8.97
GRAIL Inc. (GRAL),511.3K,27.35,2.25,8.96
Valens Semiconductor Ltd. (VLN),629.1K,2.22,0.18,8.82
Aura Biosciences Inc. (AURA),234.1K,6.17,0.5,8.82
Palladyne AI Corp. (PDYN),820.5K,6.32,0.51,8.78
Dyne Therapeutics Inc. (DYN),651.9K,10.04,0.81,8.78
TG Therapeutics Inc. (TGTX),2.1M,41.06,3.31,8.77
Neurogene Inc. (NGNE),116.7K,10.5,0.84,8.75
SurgePays Inc. (SURG),527.1K,2.42,0.2,8.74
Lion Group Holding Ltd. ADR (LGHL),100.5K,3.48,0.28,8.68
Iovance Biotherapeutics Inc. (IOVA),3.0M,3.53,0.28,8.62
NetClass Technology Inc. Cl A (NTCL),124.1K,7.44,0.59,8.61
Summit Midstream Corp. (SMC),92.9K,36.11,2.86,8.6
Zenas BioPharma Inc. (ZBIO),67.5K,8.25,0.65,8.55
SoundHound AI Inc. (SOUN),11.0M,8.9,0.7,8.52
SpringWorks Therapeutics Inc. (SWTX),1.1M,45.4,3.52,8.42
Olema Pharmaceuticals Inc. (OLMA),230.0K,3.62,0.28,8.38
CACI International Inc. Cl A (CACI),614.1K,400.84,30.93,8.36
Omeros Corp. (OMER),410.2K,8.57,0.66,8.34
IDEAYA Biosciences Inc. (IDYA),614.8K,15.98,1.21,8.19
Ocular Therapeutix Inc. (OCUL),732.3K,7.08,0.54,8.18
Redfin Corp. (RDFN),5.7M,10.35,0.78,8.15
Intuitive Machines Inc. Cl A (LUNR),4.2M,8.07,0.6,8.1
Arcellx Inc. (ACLX),424.8K,65.56,4.86,8.01
Allegiant Travel Co. (ALGT),149.7K,54.92,4.07,7.99
Immunome Inc. (IMNM),477.2K,6.76,0.5,7.99
COMPASS Pathways PLC ADR (CMPS),913.8K,3.01,0.22,7.92
Dianthus Therapeutics Inc. (DNTH),585.5K,18.15,1.32,7.84
Spire Global Inc. (SPIR),232.9K,8.56,0.62,7.81
ACELYRIN Inc. (SLRN),1.6M,2.7,0.2,7.77
AMTD Digital Inc. ADR (HKD),123.7K,2.22,0.16,7.77
Mind Medicine (MindMed) Inc. (MNMD),896.0K,5.97,0.43,7.76
Sify Technologies Ltd. ADR (SIFY),50.8K,4.74,0.34,7.73
VivoPower International PLC (VVPR),1.6M,4.2,0.3,7.69
Inhibikase Therapeutics Inc. (IKT),79.8K,2.25,0.16,7.66
Anavex Life Sciences Corp. (AVXL),497.8K,8.63,0.61,7.61
BigBear.ai Inc. (BBAI),23.5M,3.17,0.22,7.58
Soleno Therapeutics Inc. (SLNO),717.9K,73.42,5.17,7.57
Applied Optoelectronics Inc. (AAOI),1.4M,16.23,1.14,7.55
uniQure N.V. (QURE),742.0K,10.66,0.74,7.52
Hertz Global Holdings Inc. (HTZ),2.4M,4.0,0.28,7.49
Algorhythm Holdings Inc. (RIME),68.3K,2.17,0.15,7.43
Coherent Corp. (COHR),1.6M,68.4,4.7,7.37
Mr. Cooper Group Inc. (COOP),1.6M,134.27,9.19,7.35
Lumentum Holdings Inc. (LITE),1.4M,68.26,4.67,7.34
Ginkgo Bioworks Holdings Inc. (DNA),748.9K,6.07,0.41,7.24
Protara Therapeutics Inc. (TARA),65.7K,4.3,0.29,7.23
Arcturus Therapeutics Holdings Inc. (ARCT),242.6K,10.11,0.68,7.21
