Unnamed: 0,Volume,Last,Chg,% Chg
Venus Concept Inc. (VERO),38.8M,8.03,5.11,175.03
Antelope Enterprise Holdings Ltd. (AEHL),32.7M,4.94,2.76,126.61
Tivic Health Systems Inc. (TIVC),168.3K,5.42,1.81,50.14
iCoreConnect Inc. (ICCT),19.7M,4.73,1.47,45.09
ENDRA Life Sciences Inc. (NDRA),143.4K,4.79,0.8,20.05
Hub Cyber Security Ltd. (HUBC),2.8M,2.91,0.45,18.21
Jiuzi Holdings Inc. (JZXN),127.2K,4.58,0.69,17.74
Treasure Global Inc. (TGL),3.2M,2.62,0.36,15.93
BeLive Holdings (BLIV),749.1K,3.57,0.47,15.16
Lifecore Biomedical Inc. (LFCR),371.8K,5.99,0.78,14.97
Eason Technology Ltd. ADR (DXF),2.7M,7.38,0.95,14.88
NACCO Industries Inc. Cl A (NC),91.8K,36.68,4.65,14.52
Kura Sushi USA Inc. (KRUS),334.4K,47.29,5.83,14.06
Wellgistics Health Inc. (WGRX),248.5K,4.26,0.44,11.52
China SXT Pharmaceuticals Inc. (SXTC),62.5K,2.77,0.28,11.24
WeRide Inc. ADR (WRD),2.4M,9.8,0.96,10.86
Baiya International Group Inc. (BIYA),221.3K,3.8,0.37,10.79
Nutex Health Inc. (NUTX),145.2K,94.09,9.15,10.77
Simply Good Foods Co. (SMPL),1.0M,36.44,3.25,9.79
Lion Group Holding Ltd. ADR (LGHL),688.0K,3.32,0.29,9.74
Upexi Inc. (UPXI),781.5K,2.39,0.21,9.52
Capri Holdings Ltd. (CPRI),6.7M,13.63,1.15,9.21
Harmony Gold Mining Co. Ltd. ADR (HMY),5.5M,14.16,1.19,9.14
Lianhe Sowell International Group Ltd. (LHSW),2.3M,3.01,0.25,9.12
10x Genomics Inc. (TXG),1.8M,7.75,0.61,8.54
Neurogene Inc. (NGNE),152.6K,7.96,0.63,8.51
FormFactor Inc. (FORM),545.4K,25.14,1.96,8.46
IAMGOLD Corp. (IAG),15.3M,6.3,0.48,8.35
Alpha Cognition Inc. (ACOG),207.6K,4.06,0.31,8.27
Eastman Kodak Co. (KODK),1.1M,5.74,0.44,8.24
Bakkt Holdings Inc. (BKKT),195.6K,7.56,0.56,8.0
Aeva Technologies Inc. (AEVA),334.7K,6.38,0.47,7.95
Sibanye-Stillwater Ltd. ADR (SBSW),13.4M,3.48,0.26,7.92
Rain Enhancement Technologies Holdco Inc. Cl A (RAIN),106.9K,2.26,0.17,7.89
Metalla Royalty & Streaming Ltd. (MTA),252.8K,2.75,0.2,7.84
Aris Mining Corp. (ARMN),1.1M,4.58,0.33,7.77
Coeur Mining Inc. (CDE),9.1M,5.18,0.36,7.59
Aehr Test Systems (AEHR),2.1M,7.28,0.5,7.37
Onto Innovation Inc. (ONTO),886.5K,113.35,7.75,7.34
Expro Group Holdings N.V. (XPRO),854.5K,7.41,0.5,7.24
Trump Media & Technology Group Corp. (DJT),6.1M,17.84,1.18,7.06
Citizens Inc. Cl A (CIA),62.2K,4.01,0.26,6.93
Canadian Solar Inc. (CSIQ),1.1M,7.22,0.47,6.88
BRF S.A. ADR (BRFS),2.3M,3.32,0.21,6.91
Huachen AI Parking Management Technology Holding Co. Ltd. (HCAI),54.0K,7.28,0.46,6.76
AngloGold Ashanti PLC (AU),3.6M,35.39,2.23,6.72
Eldorado Gold Corp. (EGO),1.3M,16.68,1.05,6.72
