Unnamed: 0,Volume,Last,Chg,% Chg
American Rebel Holdings Inc. (AREB),59.2M,18.32,14.36,362.63
SOBR Safe Inc. (SOBR),852.5K,4.83,1.36,39.15
Regencell Bioscience Holdings Ltd. (RGC),129.6K,33.4,9.1,37.45
iCoreConnect Inc. (ICCT),69.3M,5.67,1.44,34.01
USA Rare Earth Inc. (USAR),6.9M,8.02,1.52,23.38
PAMT Corp. (PAMT),135.5K,13.51,2.4,21.6
MarketWise Inc. (MKTW),53.3K,10.73,1.5,16.25
Local Bounti Corp. (LOCL),119.6K,3.25,0.43,15.25
Alumis Inc. (ALMS),517.2K,9.84,1.29,15.16
Antelope Enterprise Holdings Ltd. (AEHL),279.9K,2.4,0.3,14.47
MicroAlgo Inc. (MLGO),4.4M,20.84,2.39,12.95
Lion Group Holding Ltd. ADR (LGHL),243.3K,3.55,0.4,12.7
Universe Pharmaceuticals Inc. (UPC),206.6K,3.22,0.34,11.98
Waton Financial Ltd. (WTF),2.3M,6.53,0.67,11.44
Foghorn Therapeutics Inc. (FHTX),181.1K,3.51,0.36,11.43
Guess? Inc. (GES),1.6M,10.98,0.94,9.36
Cloudastructure Inc. Cl A (CSAI),770.8K,4.85,0.4,8.99
On Holding AG (ONON),13.1M,40.76,3.12,8.27
Victoria's Secret & Co. (VSCO),5.8M,16.02,1.15,7.73
Installed Building Products Inc. (IBP),249.5K,175.98,12.19,7.44
Intercont (Cayman) Ltd. (NCT),386.1K,6.17,0.42,7.3
Caesarstone Ltd. (CSTE),79.0K,2.55,0.17,7.14
Kohl's Corp. (KSS),14.0M,7.11,0.47,7.08
Columbia Sportswear Co. (COLM),1.1M,71.84,4.65,6.92
Helport AI Ltd. (HPAI),50.8K,6.77,0.43,6.78
Gap Inc. (GAP),11.3M,19.02,1.18,6.61
Arhaus Inc. (ARHS),1.8M,7.52,0.47,6.59
Nxu Inc. (NXU),102.1K,2.49,0.15,6.41
TopBuild Corp. (BLD),341.9K,302.39,18.17,6.39
Skechers USA Inc. Cl A (SKX),3.8M,52.04,3.08,6.29
Journey Medical Corp. (DERM),221.8K,7.0,0.41,6.22
Hovnanian Enterprises Inc. Cl A (HOV),76.8K,100.22,5.84,6.19
D.R. Horton Inc. (DHI),4.4M,129.84,7.54,6.16
Blaize Holdings Inc. (BZAI),192.3K,2.16,0.12,5.89
Crocs Inc. (CROX),2.1M,101.57,5.6,5.84
Novavax Inc. (NVAX),4.2M,5.92,0.32,5.71
C3is Inc. (CISS),364.4K,3.66,0.2,5.63
Dream Finders Homes Inc. (DFH),393.0K,22.49,1.18,5.54
Carter's Inc. (CRI),876.4K,37.53,1.96,5.51
GameStop Corp. Cl A (GME),10.5M,22.26,1.16,5.5
Simulations Plus Inc. (SLP),317.9K,25.09,1.27,5.35
Nike Inc. Cl B (NKE),42.5M,58.54,2.96,5.33
Wolverine World Wide Inc. (WWW),1.1M,11.7,0.58,5.22
Deckers Outdoor Corp. (DECK),4.7M,106.13,5.25,5.2
Abercrombie & Fitch Co. (ANF),3.1M,73.74,3.48,4.95
Oxford Industries Inc. (OXM),324.3K,57.46,2.63,4.8
Urban Outfitters Inc. (URBN),2.6M,47.39,2.15,4.75
American Eagle Outfitters Inc. (AEO),8.3M,10.92,0.48,4.65
Bluejay Diagnostics Inc. (BJDX),413.6K,3.4,0.15,4.62
Monro Inc. (MNRO),542.5K,15.14,0.66,4.56
Century Communities Inc. (CCS),191.0K,65.79,2.86,4.54
Landsea Homes Corp. (LSEA),262.0K,6.03,0.26,4.51
M/I Homes Inc. (MHO),224.8K,113.99,4.89,4.48
Lennar Corp. Cl B (LEN.B),58.5K,106.86,4.46,4.36
PulteGroup Inc. (PHM),1.8M,101.88,4.13,4.23
LGI Homes Inc. (LGIH),327.8K,63.74,2.56,4.18
Lennar Corp. Cl A (LEN),3.8M,112.93,4.53,4.18
ODP Corp. (ODP),375.5K,13.74,0.55,4.17
Vaxcyte Inc. (PCVX),2.2M,31.8,1.25,4.07
Beazer Homes USA Inc. (BZH),445.6K,19.79,0.77,4.05
Rocket Cos. Inc. (RKT),14.8M,14.41,0.56,4.04
Green Brick Partners Inc. (GRBK),211.0K,58.02,2.13,3.81
Toll Brothers Inc. (TOL),1.3M,102.02,3.63,3.69
Tri Pointe Homes Inc. (TPH),581.0K,31.78,1.11,3.64
Meritage Homes Corp. (MTH),733.0K,68.96,2.35,3.54
KB Home (KBH),557.3K,57.54,1.93,3.47
Wayfair Inc. Cl A (W),11.0M,25.93,0.84,3.35
FIGS Inc. (FIGS),994.7K,4.06,0.13,3.33
Taylor Morrison Home Corp. (TMHC),540.0K,59.5,1.91,3.31
Optical Cable Corp. (OCC),81.8K,2.62,0.08,3.31
Dollar Tree Inc. (DLTR),6.5M,69.42,2.2,3.27
Steven Madden Ltd. (SHOO),1.7M,24.39,0.74,3.13
lululemon athletica inc. (LULU),5.1M,263.57,7.92,3.1
Buckle Inc. (BKE),316.5K,35.88,1.07,3.09
Forestar Group Inc. (FOR),140.4K,21.21,0.61,2.96
EUDA Health Holdings Ltd. (EUDA),84.4K,3.83,0.11,2.96
Epsium Enterprise Ltd. (EPSM),228.8K,5.42,0.15,2.94
Williams-Sonoma Inc. (WSM),3.2M,142.54,3.68,2.65
Aerovate Therapeutics Inc. (AVTE),62.2K,2.58,0.07,2.59
Park Ha Biological Technology Co. Ltd. (PHH),242.7K,13.11,0.33,2.58
Acushnet Holdings Corp. (GOLF),404.9K,61.03,1.45,2.43
TFI International Inc. (TFII),352.4K,77.67,1.82,2.4
Mingteng International Corp. Inc. (MTEN),132.3K,3.85,0.09,2.39
authID Inc. (AUID),93.9K,4.84,0.11,2.33
Asbury Automotive Group Inc. (ABG),176.7K,218.32,4.86,2.27
National Beverage Corp. (FIZZ),101.3K,42.8,0.94,2.26
Lancaster Colony Corp. (LANC),122.0K,178.94,3.88,2.21
Imperial Petroleum Inc. (IMPP),418.1K,2.37,0.05,2.16
Janus International Group Inc. (JBI),967.7K,6.73,0.14,2.12
MarketAxess Holdings Inc. (MKTX),542.6K,220.63,4.48,2.07
Ermenegildo Zegna N.V. (ZGN),480.3K,6.6,0.13,2.01
Foot Locker Inc. (FL),5.4M,12.7,0.25,2.01
ThredUp Inc. Cl A (TDUP),380.5K,2.57,0.05,1.98
Caleres Inc. (CAL),601.3K,15.83,0.31,1.98
Zoomcar Holdings Inc. (ZCAR),50.9K,3.78,0.07,1.89
agilon health inc. (AGL),1.5M,4.08,0.07,1.88
Burlington Stores Inc. (BURL),1.1M,239.93,4.27,1.81
Mama's Creations Inc. (MAMA),175.8K,6.5,0.11,1.72
Shoe Carnival Inc. (SCVL),582.2K,19.57,0.33,1.69
Sally Beauty Holdings Inc. (SBH),1.1M,8.46,0.14,1.68
