Unnamed: 0,Volume,Last,Chg,% Chg
Waton Financial Ltd. (WTF),15.4M,18.55,14.55,363.75
Newsmax Inc. Cl B (NMAX),10.4M,261.83,178.32,213.54
iCoreConnect Inc. (ICCT),205.5M,4.5,2.26,100.89
Marblegate Acquisition Corp. (GATE),159.6K,36.05,16.44,83.83
QuantaSing Group Ltd. ADR (QSG),10.0M,6.44,2.42,60.2
Nutex Health Inc. (NUTX),294.2K,70.52,23.49,49.95
CoreWeave Inc. Cl A (CRWV),32.8M,51.87,14.79,39.89
Sonim Technologies Inc. (SONM),1.3M,2.96,0.82,38.32
Lixiang Education Holding Co. Ltd. ADR (LXEH),174.6K,25.52,6.15,31.75
Cloudastructure Inc. Cl A (CSAI),46.9M,5.75,1.31,29.5
Leishen Energy Holding Co. Ltd. (LSE),205.1K,5.76,1.28,28.57
Nxu Inc. (NXU),735.9K,3.38,0.71,26.6
PVH Corp. (PVH),4.3M,76.65,12.01,18.58
Hesai Group ADR (HSAI),12.2M,17.53,2.73,18.45
Alumis Inc. (ALMS),1.0M,7.2,1.06,17.35
Euroholdings Ltd. (EHLD),137.7K,5.57,0.79,16.53
Lichen International Ltd. (LICN),101.5K,4.44,0.59,15.32
Belpointe PREP LLC (OZ),83.7K,74.0,9.5,14.73
Hut 8 Corp. (HUT),8.5M,13.25,1.63,14.03
Electrovaya Inc. (ELVA),66.1K,2.63,0.32,13.85
ALT5 Sigma Corp. (ALTS),188.1K,4.42,0.54,13.79
CleanSpark Inc. (CLSK),28.8M,7.59,0.87,13.01
Apollomics Inc. (APLM),71.6K,7.0,0.8,12.9
Progress Software Corp. (PRGS),2.0M,57.92,6.42,12.45
Skycorp Solar Group Ltd. (PN),75.4K,3.9,0.43,12.39
USA Rare Earth Inc. (USAR),261.8K,6.63,0.69,11.62
Oriental Culture Holding Ltd. (OCG),133.1K,3.22,0.34,11.59
Zynex Inc. (ZYXI),657.9K,2.45,0.25,11.36
ClearPoint Neuro Inc. (CLPT),245.5K,13.2,1.31,11.02
Core Scientific Inc. (CORZ),23.6M,8.03,0.79,10.94
Coffee Holding Co. Inc. (JVA),253.5K,3.93,0.38,10.7
Aardvark Therapeutics Inc. (AARD),219.5K,8.3,0.8,10.59
VirTra Inc. (VTSI),114.8K,4.5,0.43,10.57
SunRun Inc. (RUN),12.2M,6.48,0.61,10.49
LogProstyle Inc. (LGPS),273.2K,3.26,0.3,10.14
Energys Group Ltd. (ENGS),2.4M,4.95,0.45,10.01
AirJoule Technologies Corp. (AIRJ),163.8K,5.07,0.46,9.98
Upstream Bio Inc. (UPB),229.8K,6.72,0.6,9.74
Biote Corp. (BTMD),147.5K,3.65,0.32,9.49
CervoMed Inc. (CRVO),726.9K,10.0,0.85,9.29
IREN Ltd. (IREN),13.8M,6.66,0.56,9.28
trivago N.V. ADR (TRVG),150.7K,4.48,0.38,9.27
Inotiv Inc. (NOTV),651.0K,2.41,0.2,9.05
Bloom Energy Corp. (BE),4.4M,21.36,1.71,8.67
SurgePays Inc. (SURG),907.3K,2.25,0.18,8.67
Exagen Inc. (XGN),417.5K,3.9,0.31,8.64
Applied Digital Corp. (APLD),24.5M,6.1,0.48,8.54
Priority Technology Holdings Inc. (PRTH),391.7K,7.38,0.57,8.36
Rumble Inc. (RUM),2.3M,7.66,0.58,8.27
Sleep Number Corp. (SNBR),469.3K,6.86,0.52,8.23
bluebird bio Inc. (BLUE),784.7K,5.28,0.4,8.2
Knot Offshore Partners LP (KNOP),342.1K,7.55,0.57,8.17
Xcel Brands Inc. (XELB),117.2K,3.05,0.23,8.16
monday.com Ltd. (MNDY),1.1M,262.84,19.68,8.09
Cipher Mining Inc. (CIFR),8.4M,2.48,0.18,8.04
Luda Technology Group Ltd. (LUD),63.8K,3.9,0.29,8.04
QVC Group Inc. Series B (QVCGB),67.6K,7.17,0.53,7.98
Red Cat Holdings Inc. (RCAT),4.1M,6.34,0.47,7.91
First Watch Restaurant Group Inc. (FWRG),434.1K,17.96,1.31,7.9
Lifevantage Corp. (LFVN),178.1K,15.71,1.13,7.75
Nukkleus Inc. (NUKK),107.5K,12.8,0.92,7.7
Blaize Holdings Inc. (BZAI),629.3K,2.17,0.15,7.67
WNS (Holdings) Ltd. (WNS),2.1M,66.18,4.69,7.63
Medicus Pharma Ltd. (MDCX),85.8K,4.0,0.28,7.53
Bloomin' Brands Inc. (BLMN),2.3M,7.71,0.54,7.52
Montauk Renewables Inc. (MNTK),177.7K,2.24,0.15,7.42
Aehr Test Systems (AEHR),621.7K,7.82,0.54,7.34
MaxLinear Inc. (MXL),1.2M,11.66,0.8,7.32
AppLovin Corp. (APP),6.4M,283.9,18.93,7.15
Nebius Group N.V. Cl A (NBIS),13.7M,22.61,1.5,7.11
Blend Labs Inc. (BLND),2.9M,3.58,0.23,6.87
Bionano Genomics Inc. (BNGO),123.4K,2.98,0.19,6.81
Viant Technology Inc. (DSP),368.7K,13.26,0.84,6.81
Riot Platforms Inc. (RIOT),18.3M,7.6,0.48,6.74
HUTCHMED (China) Ltd. ADR (HCM),340.8K,16.04,1.0,6.65
MicroStrategy Inc. (MSTR),13.6M,307.23,18.95,6.58
NeuroPace Inc. (NPCE),172.6K,13.09,0.8,6.51
Rivian Automotive Inc. Cl A (RIVN),39.1M,13.26,0.81,6.51
Build-A-Bear Workshop Inc. (BBW),163.1K,39.51,2.33,6.28
ProFrac Holding Corp. (ACDC),216.1K,8.06,0.47,6.26
Bakkt Holdings Inc. (BKKT),309.1K,9.21,0.54,6.23
Bit Digital Inc. (BTBT),12.7M,2.14,0.13,6.19
OneStream Inc. Cl A (OS),1.1M,22.66,1.32,6.19
Cracker Barrel Old Country Store Inc. (CBRL),735.0K,41.17,2.35,6.05
Wheeler Real Estate Investment Trust Inc. (WHLR),115.0K,3.35,0.19,6.0
