Unnamed: 0,Volume,Last,Chg,% Chg
Waton Financial Ltd. (WTF),17.0M,19.85,15.85,396.25
Newsmax Inc. Cl B (NMAX),11.0M,233.0,149.49,179.01
iCoreConnect Inc. (ICCT),208.1M,4.72,2.48,110.71
Marblegate Acquisition Corp. (GATE),159.6K,35.26,16.44,87.35
QuantaSing Group Ltd. ADR (QSG),10.2M,6.58,2.56,63.68
Nutex Health Inc. (NUTX),313.7K,71.4,24.37,51.82
CoreWeave Inc. Cl A (CRWV),36.4M,52.57,15.49,41.77
Sonim Technologies Inc. (SONM),1.4M,2.96,0.82,38.32
Leishen Energy Holding Co. Ltd. (LSE),208.2K,5.95,1.47,32.81
Nxu Inc. (NXU),752.8K,3.46,0.79,29.59
Cloudastructure Inc. Cl A (CSAI),47.3M,5.7,1.26,28.38
Lixiang Education Holding Co. Ltd. ADR (LXEH),182.5K,24.99,5.16,25.99
Euroholdings Ltd. (EHLD),139.8K,5.75,0.97,20.29
PVH Corp. (PVH),5.1M,76.43,11.79,18.24
Alumis Inc. (ALMS),1.1M,7.24,1.1,17.92
Hesai Group ADR (HSAI),12.8M,17.43,2.63,17.77
LogProstyle Inc. (LGPS),291.3K,3.43,0.47,15.88
ALT5 Sigma Corp. (ALTS),193.8K,4.45,0.57,14.69
Hut 8 Corp. (HUT),9.9M,13.32,1.7,14.63
Electrovaya Inc. (ELVA),67.7K,2.64,0.33,14.29
Apollomics Inc. (APLM),72.8K,7.0,0.8,12.9
Skycorp Solar Group Ltd. (PN),75.9K,3.88,0.44,12.79
Zynex Inc. (ZYXI),689.3K,2.48,0.28,12.73
CleanSpark Inc. (CLSK),31.9M,7.56,0.84,12.5
Progress Software Corp. (PRGS),2.6M,57.76,6.25,12.13
Lichen International Ltd. (LICN),138.4K,4.29,0.44,11.43
Bionano Genomics Inc. (BNGO),133.3K,3.1,0.31,11.11
Coffee Holding Co. Inc. (JVA),264.9K,3.94,0.39,10.99
SunRun Inc. (RUN),15.4M,6.49,0.63,10.75
Core Scientific Inc. (CORZ),27.6M,8.0,0.76,10.5
Aardvark Therapeutics Inc. (AARD),234.6K,8.29,0.78,10.39
VirTra Inc. (VTSI),124.6K,4.49,0.42,10.32
Belpointe PREP LLC (OZ),84.7K,71.01,6.51,10.09
ClearPoint Neuro Inc. (CLPT),313.8K,13.09,1.2,10.09
Energys Group Ltd. (ENGS),2.5M,4.95,0.45,10.0
Luda Technology Group Ltd. (LUD),70.2K,3.97,0.36,9.97
Blackboxstocks Inc. (BLBX),55.4K,3.73,0.33,9.71
Upstream Bio Inc. (UPB),290.1K,6.7,0.58,9.48
Exagen Inc. (XGN),424.9K,3.93,0.34,9.47
CervoMed Inc. (CRVO),795.1K,9.98,0.83,9.07
Inotiv Inc. (NOTV),692.2K,2.41,0.2,9.05
IREN Ltd. (IREN),15.4M,6.64,0.55,9.03
Knot Offshore Partners LP (KNOP),355.1K,7.61,0.63,9.03
trivago N.V. ADR (TRVG),162.8K,4.47,0.37,9.02
Biote Corp. (BTMD),187.9K,3.63,0.3,9.01
Oriental Culture Holding Ltd. (OCG),137.0K,3.15,0.26,9.0
SemiLEDS Corp. (LEDS),50.4K,2.43,0.2,8.97
Rumble Inc. (RUM),3.5M,7.7,0.63,8.91
Red Cat Holdings Inc. (RCAT),4.9M,6.39,0.51,8.67
Blaize Holdings Inc. (BZAI),721.0K,2.19,0.17,8.42
Applied Digital Corp. (APLD),27.5M,6.09,0.47,8.36
Xcel Brands Inc. (XELB),117.3K,3.0,0.23,8.3
Lifevantage Corp. (LFVN),223.0K,15.79,1.21,8.3
WNS (Holdings) Ltd. (WNS),2.6M,66.59,5.1,8.29
Sleep Number Corp. (SNBR),616.7K,6.86,0.52,8.2
Priority Technology Holdings Inc. (PRTH),519.3K,7.37,0.56,8.14
Bloom Energy Corp. (BE),6.2M,21.24,1.58,8.04
monday.com Ltd. (MNDY),1.4M,262.18,19.02,7.82
AirJoule Technologies Corp. (AIRJ),183.7K,4.97,0.36,7.81
QVC Group Inc. Series B (QVCGB),69.3K,7.16,0.52,7.76
SurgePays Inc. (SURG),944.6K,2.23,0.16,7.73
Aehr Test Systems (AEHR),709.9K,7.85,0.56,7.68
bluebird bio Inc. (BLUE),848.8K,5.25,0.37,7.58
First Watch Restaurant Group Inc. (FWRG),592.6K,17.91,1.26,7.57
Nebius Group N.V. Cl A (NBIS),15.2M,22.69,1.58,7.48
MaxLinear Inc. (MXL),1.9M,11.65,0.79,7.27
Bloomin' Brands Inc. (BLMN),3.4M,7.69,0.52,7.25
Blend Labs Inc. (BLND),3.3M,3.59,0.24,7.16
Nukkleus Inc. (NUKK),134.5K,12.73,0.84,7.06
Viant Technology Inc. (DSP),466.0K,13.28,0.87,7.01
Cipher Mining Inc. (CIFR),9.6M,2.46,0.16,6.96
HUTCHMED (China) Ltd. ADR (HCM),368.9K,16.06,1.02,6.78
AppLovin Corp. (APP),7.3M,282.7,17.73,6.69
NeuroPace Inc. (NPCE),209.5K,13.11,0.82,6.67
Rivian Automotive Inc. Cl A (RIVN),44.7M,13.28,0.83,6.67
SANUWAVE Health Inc. (SNWV),50.2K,37.71,2.34,6.62
Medicus Pharma Ltd. (MDCX),99.7K,4.0,0.24,6.38
European Wax Center Inc. (EWCZ),736.2K,4.2,0.25,6.33
OneStream Inc. Cl A (OS),1.5M,22.68,1.34,6.28
Montauk Renewables Inc. (MNTK),256.7K,2.22,0.13,6.22
MicroStrategy Inc. (MSTR),16.6M,306.02,17.75,6.16
Build-A-Bear Workshop Inc. (BBW),248.5K,39.45,2.28,6.13
Eos Energy Enterprises Inc. (EOSE),4.4M,4.01,0.23,6.08
ZIM Integrated Shipping Services Ltd. (ZIM),6.0M,15.46,0.87,5.96
Bit Digital Inc. (BTBT),13.5M,2.14,0.12,5.94
Riot Platforms Inc. (RIOT),20.5M,7.54,0.42,5.9
ProFrac Holding Corp. (ACDC),309.2K,8.03,0.44,5.8
Wellgistics Health Inc. (WGRX),101.9K,4.57,0.25,5.79
Mercurity Fintech Holding Inc. (MFH),53.7K,5.67,0.31,5.78
Daktronics Inc. (DAKT),835.1K,12.88,0.7,5.75
BRP Inc. (DOOO),277.4K,35.75,1.94,5.74
USA Rare Earth Inc. (USAR),347.3K,6.28,0.34,5.72
Cracker Barrel Old Country Store Inc. (CBRL),1.0M,41.01,2.19,5.64
Marwynn Holdings Inc. (MWYN),274.0K,4.4,0.23,5.52
TeraWulf Inc. (WULF),32.2M,2.88,0.15,5.49
