Unnamed: 0,Volume,Last,Chg,% Chg
TTEC Holdings Inc. (TTEC),12.5M,5.29,2.02,61.81
Vision Marine Technologies Inc. (VMAR),1.5M,6.38,1.99,45.21
Sunshine Biopharma Inc. (SBFM),58.1M,2.81,0.73,35.05
Alaunos Therapeutics Inc. (TCRT),9.0M,2.86,0.7,32.41
Tivic Health Systems Inc. (TIVC),191.6K,3.16,0.64,25.4
Alumis Inc. (ALMS),2.0M,8.93,1.69,23.34
CervoMed Inc. (CRVO),1.8M,12.16,2.18,21.8
Zhengye Biotechnology Holding Ltd. (ZYBT),378.3K,6.38,1.06,19.92
Cognyte Software Ltd. (CGNT),1.2M,9.83,1.61,19.59
Petco Health & Wellness Co. Inc. (WOOF),6.4M,3.54,0.57,19.43
Phathom Pharmaceuticals Inc. (PHAT),1.1M,6.06,0.94,18.36
Gyre Therapeutics Inc. (GYRE),77.0K,7.54,1.13,17.63
Sionna Therapeutics Inc. (SION),76.3K,11.87,1.71,16.83
Inotiv Inc. (NOTV),296.1K,2.8,0.39,16.18
AngioDynamics Inc. (ANGO),1.7M,11.22,1.56,16.15
Vishay Precision Group Inc. (VPG),686.2K,27.28,3.77,16.01
Silence Therapeutics PLC ADR (SLN),127.3K,2.78,0.36,14.88
Siyata Mobile Inc. (SYTA),538.3K,2.42,0.3,14.15
Bionano Genomics Inc. (BNGO),67.7K,3.53,0.43,13.87
4D Molecular Therapeutics Inc. (FDMT),513.7K,3.4,0.41,13.71
Red Cat Holdings Inc. (RCAT),4.2M,7.26,0.87,13.62
Auddia Inc. (AUUD),97.5K,4.36,0.49,12.66
SemiLEDS Corp. (LEDS),86.2K,2.73,0.3,12.35
Exagen Inc. (XGN),144.3K,4.42,0.48,12.34
Yoshiharu Global Co. (YOSH),68.7K,16.5,1.81,12.32
Denali Therapeutics Inc. (DNLI),1.2M,13.8,1.51,12.29
Adverum Biotechnologies Inc. (ADVM),72.3K,4.3,0.47,12.27
Alarum Technologies Ltd. ADR (ALAR),108.1K,7.1,0.74,11.64
Galecto Inc. (GLTO),53.1K,3.14,0.32,11.35
Wheeler Real Estate Investment Trust Inc. (WHLR),191.9K,3.7,0.38,11.28
Cytokinetics Inc. (CYTK),2.6M,41.67,4.17,11.12
Diamedica Therapeutics Inc. (DMAC),63.3K,4.16,0.41,10.93
Intellia Therapeutics Inc. (NTLA),2.6M,7.38,0.72,10.89
Telomir Pharmaceuticals Inc. (TELO),334.9K,3.02,0.28,10.22
Septerna Inc. (SEPN),70.9K,5.52,0.51,10.06
Dianthus Therapeutics Inc. (DNTH),576.9K,18.51,1.68,9.98
Amentum Holdings Inc. (AMTM),1.9M,19.64,1.77,9.9
Emergent Biosolutions Inc. (EBS),613.9K,5.2,0.47,9.81
Rigetti Computing Inc. (RGTI),17.9M,8.57,0.77,9.8
Neurogene Inc. (NGNE),107.1K,10.6,0.94,9.74
SpringWorks Therapeutics Inc. (SWTX),1.0M,45.92,4.04,9.66
Abeona Therapeutics Inc. (ABEO),544.6K,4.88,0.42,9.55
Rocket Cos. Inc. (RKT),21.0M,13.8,1.2,9.52
USA Rare Earth Inc. (USAR),113.0K,6.86,0.58,9.32
IonQ Inc. (IONQ),15.4M,25.34,2.15,9.27
New Fortress Energy LLC Cl A (NFE),3.0M,8.28,0.7,9.23
Redwire Corp. (RDW),903.3K,9.32,0.78,9.13
DBV Technologies S.A. ADR (DBVT),189.8K,7.05,0.59,9.13
Amylyx Pharmaceuticals Inc. (AMLX),254.9K,3.64,0.3,9.13
SurgePays Inc. (SURG),483.6K,2.43,0.2,9.1
Avidity Biosciences Inc. (RNA),1.3M,29.1,2.36,8.83
Valens Semiconductor Ltd. (VLN),576.9K,2.22,0.18,8.79
Dyne Therapeutics Inc. (DYN),495.2K,10.04,0.81,8.78
Aura Biosciences Inc. (AURA),221.7K,6.16,0.49,8.73
Olema Pharmaceuticals Inc. (OLMA),187.8K,3.63,0.29,8.68
Palladyne AI Corp. (PDYN),797.3K,6.31,0.5,8.61
IDEAYA Biosciences Inc. (IDYA),579.2K,16.04,1.27,8.6
Omeros Corp. (OMER),361.2K,8.59,0.68,8.6
Park Ha Biological Technology Co. Ltd. (PHH),237.8K,12.8,1.01,8.57
Sight Sciences Inc. (SGHT),123.5K,2.48,0.2,8.52
Lion Group Holding Ltd. ADR (LGHL),100.1K,3.47,0.27,8.44
TG Therapeutics Inc. (TGTX),1.8M,40.92,3.17,8.41
Redfin Corp. (RDFN),5.6M,10.35,0.78,8.15
Aditxt Inc. (ADTX),99.9K,4.88,0.36,8.08
Heron Therapeutics Inc. (HRTX),349.4K,2.28,0.17,8.06
Immunome Inc. (IMNM),457.5K,6.76,0.5,7.99
ACELYRIN Inc. (SLRN),1.6M,2.71,0.2,7.97
Arcellx Inc. (ACLX),409.7K,65.54,4.83,7.97
Zevia PBC (ZVIA),172.8K,2.38,0.17,7.95
Mind Medicine (MindMed) Inc. (MNMD),845.9K,5.98,0.44,7.94
COMPASS Pathways PLC ADR (CMPS),886.9K,3.01,0.22,7.89
Replimune Group Inc. (REPL),488.7K,9.06,0.66,7.86
Nurix Therapeutics Inc. (NRIX),364.8K,11.28,0.81,7.74
Allegiant Travel Co. (ALGT),142.1K,54.72,3.87,7.61
Micropolis Holding Co. (MCRP),85.3K,3.12,0.22,7.59
SoundHound AI Inc. (SOUN),10.1M,8.82,0.62,7.55
Personalis Inc. (PSNL),270.8K,3.71,0.26,7.54
Intuitive Machines Inc. Cl A (LUNR),3.8M,8.03,0.56,7.5
Iovance Biotherapeutics Inc. (IOVA),2.8M,3.49,0.24,7.43
Arcturus Therapeutics Holdings Inc. (ARCT),218.3K,10.13,0.7,7.42
Children's Place Inc. (PLCE),72.9K,9.22,0.63,7.33
Beam Therapeutics Inc. (BEAM),740.0K,18.91,1.27,7.23
Mr. Cooper Group Inc. (COOP),1.5M,134.09,9.01,7.2
Summit Midstream Corp. (SMC),77.5K,35.64,2.39,7.19
Ocular Therapeutix Inc. (OCUL),689.0K,7.01,0.47,7.19
Soleno Therapeutics Inc. (SLNO),636.9K,73.15,4.89,7.16
GRAIL Inc. (GRAL),440.9K,26.9,1.79,7.15
Applied Optoelectronics Inc. (AAOI),1.2M,16.14,1.05,6.96
CACI International Inc. Cl A (CACI),529.1K,395.61,25.71,6.95
Algorhythm Holdings Inc. (RIME),72.9K,2.16,0.14,6.94
TSS Inc. (TSSI),319.2K,7.9,0.51,6.9
Ginkgo Bioworks Holdings Inc. (DNA),693.3K,6.05,0.39,6.89
CoreWeave Inc. Cl A (CRWV),33.5M,56.15,3.58,6.81
EyePoint Pharmaceuticals Inc. (EYPT),400.2K,5.39,0.34,6.73
Inhibikase Therapeutics Inc. (IKT),69.1K,2.23,0.14,6.7
REGENXBIO Inc. (RGNX),238.4K,7.21,0.45,6.66
Tectonic Therapeutic Inc. (TECX),75.6K,17.95,1.11,6.59
Five Below Inc. (FIVE),935.2K,81.52,5.04,6.58
AnaptysBio Inc. (ANAB),169.9K,19.61,1.21,6.58
Rocket Pharmaceuticals Inc. (RCKT),1.4M,6.19,0.38,6.54
