Unnamed: 0,Volume,Last,Chg,% Chg
Cango Inc. ADR (CANG),162.6K,4.22,0.37,9.61
Septerna Inc. (SEPN),204.1K,5.5,0.47,9.46
Lion Group Holding Ltd. ADR (LGHL),166.5K,3.5,0.3,9.38
Mereo BioPharma Group PLC ADR (MREO),1.6M,2.37,0.2,9.22
ACELYRIN Inc. (SLRN),2.7M,2.74,0.23,9.16
Nukkleus Inc. (NUKK),95.2K,13.89,1.16,9.11
USA Rare Earth Inc. (USAR),221.7K,6.85,0.57,9.08
Emergent Biosolutions Inc. (EBS),1.9M,5.17,0.43,9.07
Allegiant Travel Co. (ALGT),410.8K,55.45,4.6,9.05
Iovance Biotherapeutics Inc. (IOVA),7.5M,3.54,0.29,8.92
Hertz Global Holdings Inc. (HTZ),6.4M,4.05,0.33,8.87
Marex Group PLC (MRX),1.4M,38.84,3.16,8.86
Summit Therapeutics Inc. (SMMT),2.4M,20.46,1.66,8.83
Korro Bio Inc. (KRRO),68.0K,17.34,1.39,8.71
Rigetti Computing Inc. (RGTI),44.1M,8.49,0.68,8.71
Nurix Therapeutics Inc. (NRIX),1.2M,11.38,0.91,8.69
Orchestra BioMed Holdings Inc. (OBIO),119.9K,3.52,0.28,8.64
Zevia PBC (ZVIA),568.8K,2.39,0.19,8.64
Merus N.V. (MRUS),821.2K,43.01,3.41,8.61
Akero Therapeutics Inc. (AKRO),1.7M,41.95,3.31,8.57
Firefly Neuroscience Inc. (AIFF),376.1K,4.11,0.32,8.44
Rocket Pharmaceuticals Inc. (RCKT),4.5M,6.3,0.49,8.43
Traws Pharma Inc. (TRAW),78.9K,2.32,0.18,8.41
Neurogene Inc. (NGNE),391.1K,10.46,0.81,8.34
Drilling Tools International Holdings Inc. (DTI),76.1K,2.48,0.19,8.3
Scholar Rock Holding Corp. (SRRK),1.5M,32.54,2.48,8.25
UWM Holdings Corp. (UWMC),30.3M,5.79,0.44,8.22
Sunshine Biopharma Inc. (SBFM),68.0M,2.25,0.17,8.17
Arcturus Therapeutics Holdings Inc. (ARCT),619.7K,10.2,0.77,8.17
KinderCare Learning Cos. Inc. (KLC),760.8K,12.78,0.96,8.12
Sonim Technologies Inc. (SONM),612.3K,3.2,0.24,8.11
Solaris Energy Infrastructure Inc. (SEI),919.6K,22.89,1.71,8.07
PureCycle Technologies Inc. (PCT),2.3M,7.38,0.55,8.05
