Unnamed: 0,Volume,Last,Chg,% Chg
Root Inc. Cl A (ROOT),803.9K,177.69,17.43,10.88
Gogo Inc. (GOGO),3.3M,8.22,0.8,10.78
Lumentum Holdings Inc. (LITE),2.6M,73.63,7.02,10.54
MicroStrategy Inc. (MSTR),23.1M,335.72,31.72,10.43
Red Cat Holdings Inc. (RCAT),4.6M,5.98,0.56,10.33
Innodata Inc. (INOD),2.1M,46.12,4.3,10.28
SCHMID Group N.V. (SHMD),147.4K,3.25,0.3,10.17
Playtika Holding Corp. (PLTK),5.1M,4.41,0.4,9.98
Galecto Inc. (GLTO),2.4M,6.7,0.6,9.84
Mobilicom Ltd. ADR (MOB),84.5K,2.46,0.22,9.82
ThredUp Inc. Cl A (TDUP),828.5K,2.81,0.25,9.77
Riot Platforms Inc. (RIOT),29.9M,8.72,0.77,9.69
Cipher Mining Inc. (CIFR),16.2M,3.2,0.28,9.59
Steven Madden Ltd. (SHOO),2.0M,27.43,2.4,9.59
Niu Technologies ADR (NIU),2.0M,4.24,0.37,9.56
AnaptysBio Inc. (ANAB),2.2M,18.71,1.63,9.54
Siyata Mobile Inc. (SYTA),280.5K,2.32,0.2,9.43
Arqit Quantum Inc. (ARQQ),691.5K,19.4,1.67,9.42
Pagaya Technologies Ltd. (PGY),1.4M,12.44,1.07,9.41
Core Scientific Inc. (CORZ),16.6M,9.31,0.8,9.4
New Fortress Energy LLC Cl A (NFE),5.5M,12.22,1.05,9.4
Lands' End Inc. (LE),209.7K,11.21,0.96,9.37
Momentus Inc. (MNTS),216.4K,2.22,0.19,9.36
Semler Scientific Inc. (SMLR),332.2K,42.88,3.66,9.33
Sera Prognostics Inc. (SERA),109.8K,4.14,0.35,9.23
Cyngn Inc. (CYN),160.2K,4.98,0.42,9.21
Nano Nuclear Energy Inc. (NNE),3.1M,32.93,2.74,9.08
Urban Outfitters Inc. (URBN),2.4M,53.58,4.45,9.06
Instil Bio Inc. (TIL),59.4K,19.51,1.62,9.06
Applied Optoelectronics Inc. (AAOI),4.1M,22.28,1.85,9.06
Credo Technology Group Holding Ltd. (CRDO),5.6M,50.53,4.19,9.04
Mativ Holdings Inc. (MATV),2.0M,6.64,0.55,9.03
Robinhood Markets Inc. (HOOD),50.8M,48.36,4.0,9.02
LifeMD Inc. (LFMD),1.0M,6.1,0.5,8.93
QXO Inc. (QXO),6.9M,13.8,1.13,8.92
NET Power Inc. (NPWR),1.0M,3.2,0.26,8.84
American Superconductor Corp. (AMSC),837.2K,21.59,1.75,8.82
Biohaven Ltd. (BHVN),1.1M,31.04,2.5,8.76
Draganfly Inc. (DPRO),115.1K,3.24,0.26,8.72
Alpha Teknova Inc. (TKNO),486.9K,6.37,0.51,8.7
D-Market Electronic Services & Trading ADR (HEPS),2.7M,3.04,0.24,8.57
Zeta Global Holdings Corp. (ZETA),5.0M,15.66,1.23,8.52
