Unnamed: 0,Volume,Last,Chg,% Chg
MicroAlgo Inc. (MLGO),304.7M,13.99,11.47,455.16
Lexeo Therapeutics Inc. (LXEO),7.0M,4.09,1.38,50.92
Dominari Holdings Inc. (DOMH),1.2M,5.49,1.36,32.93
Tonix Pharmaceuticals Holding Corp. (TNXP),7.4M,30.51,7.48,32.48
Intuitive Machines Inc. Cl A (LUNR),28.9M,9.22,2.13,30.04
Marti Technologies Inc. (MRT),188.7K,3.61,0.74,25.78
Cryoport Inc. (CYRX),1.3M,7.1,1.41,24.78
Universe Pharmaceuticals Inc. (UPC),263.4K,4.39,0.87,24.57
Codexis Inc. (CDXS),2.0M,3.07,0.52,20.39
Comstock Holding Cos. Inc. Cl A (CHCI),118.2K,9.27,1.53,19.77
BigBear.ai Inc. (BBAI),49.0M,3.54,0.57,19.19
Zoomcar Holdings Inc. (ZCAR),147.9K,6.25,1.0,19.05
Zhengye Biotechnology Holding Ltd. (ZYBT),554.6K,5.8,0.92,18.85
HF Foods Group Inc. (HFFG),656.4K,4.16,0.66,18.66
Quantum Computing Inc. (QUBT),23.8M,8.75,1.36,18.4
Yatsen Holding Ltd. ADR (YSG),325.5K,5.54,0.86,18.38
CleanSpark Inc. (CLSK),37.8M,8.79,1.35,18.15
MARA Holdings Inc. (MARA),52.3M,14.61,2.23,18.01
IonQ Inc. (IONQ),34.7M,26.12,3.86,17.34
AZEK Co. Inc. (AZEK),26.8M,48.56,7.17,17.32
Kuke Music Holding Ltd. ADR (KUKE),164.5K,3.33,0.48,16.84
Bitdeer Technologies Group (BTDR),5.0M,11.65,1.64,16.38
Bakkt Holdings Inc. (BKKT),857.0K,13.83,1.9,15.93
Clipper Realty Inc. (CLPR),171.2K,4.29,0.57,15.32
Click Holdings Ltd. (CLIK),804.3K,3.18,0.42,15.22
Richtech Robotics Inc. Cl B (RR),16.3M,2.6,0.34,15.04
Tempus AI Inc. (TEM),14.4M,59.0,7.65,14.9
Aterian Inc. (ATER),395.2K,2.43,0.31,14.62
Allbirds Inc. (BIRD),91.5K,5.89,0.75,14.59
NexGel Inc. (NXGL),81.9K,3.09,0.39,14.44
ViaSat Inc. (VSAT),5.1M,11.19,1.41,14.42
AST SpaceMobile Inc. (ASTS),10.9M,29.3,3.59,13.96
Journey Medical Corp. (DERM),229.7K,6.54,0.8,13.94
Oklo Inc. (OKLO),21.6M,30.91,3.75,13.81
Kohl's Corp. (KSS),16.6M,9.4,1.12,13.53
Aeva Technologies Inc. (AEVA),3.2M,4.74,0.55,13.13
Applied Digital Corp. (APLD),22.8M,7.99,0.92,13.01
Brazil Potash Corp. (GRO),201.5K,3.5,0.4,12.9
M-tron Industries Inc. (MPTI),216.9K,42.09,4.7,12.57
Annexon Inc. (ANNX),1.4M,2.7,0.3,12.5
Wayfair Inc. Cl A (W),7.7M,37.86,4.2,12.48
Lakeland Industries Inc. (LAKE),118.6K,21.09,2.33,12.42
Coherent Corp. (COHR),4.9M,76.71,8.47,12.41
Koss Corp. (KOSS),89.8K,5.82,0.63,12.14
Kura Sushi USA Inc. (KRUS),312.2K,61.77,6.64,12.04
OppFi Inc. (OPFI),2.0M,10.93,1.17,11.99
Tesla Inc. (TSLA),169.1M,278.39,29.68,11.93
Carvana Co. Cl A (CVNA),5.1M,213.63,22.68,11.88
Airship AI Holdings Inc. Cl A (AISP),954.9K,4.53,0.48,11.85
FIGS Inc. (FIGS),4.0M,4.84,0.51,11.78
Algorhythm Holdings Inc. (RIME),157.2K,2.47,0.26,11.76
Zenas BioPharma Inc. (ZBIO),135.7K,9.31,0.98,11.76
Markforged Holding Corp. (MKFG),104.1K,3.28,0.34,11.56
NeueHealth Inc. (NEUE),66.2K,6.25,0.64,11.41
Serve Robotics Inc. (SERV),5.1M,7.79,0.78,11.13
BranchOut Food Inc. (BOF),195.5K,2.3,0.23,11.11
Organogenesis Holdings Inc. Cl A (ORGO),1.9M,5.42,0.54,11.07
ZJK Industrial Co. Ltd. (ZJK),140.0K,5.22,0.52,11.06
