Unnamed: 0,Volume,Last,Chg,% Chg
NanoVibronix Inc. (NAOV),91.7M,7.2,4.26,144.9
FatPipe Inc. (FATN),6.4M,13.0,7.25,126.09
Jiuzi Holdings Inc. (JZXN),817.6K,3.89,1.25,47.07
Capstone Holding Corp. (CAPS),378.1K,2.53,0.71,39.01
SIMPPLE Ltd. (SPPL),121.0K,3.81,1.03,37.05
Revelation Biosciences Inc. (REVB),453.4K,3.69,0.98,36.24
Vasta Platform Ltd. Cl A (VSTA),152.3K,4.57,1.0,28.01
Universe Pharmaceuticals Inc. (UPC),1.4M,3.95,0.86,27.83
agilon health inc. (AGL),21.2M,5.36,1.11,26.12
Hyperscale Data Inc. (GPUS),118.2K,2.62,0.44,20.18
Venus Concept Inc. (VERO),6.7M,2.92,0.46,18.7
YSX Tech. Co. Ltd. (YSXT),67.9K,3.08,0.47,18.13
Algorhythm Holdings Inc. (RIME),167.6K,2.57,0.38,17.35
Swvl Holdings Corp. (SWVL),70.2K,3.07,0.45,17.18
Spire Global Inc. (SPIR),2.1M,8.75,1.27,16.98
SmartKem Inc. (SMTK),116.9K,2.7,0.37,15.88
Pacira BioSciences Inc. (PCRX),3.7M,26.27,3.36,14.67
RedHill Biopharma Ltd. ADR (RDHL),62.0K,2.34,0.29,14.15
NexPoint Diversified Real Estate Trust (NXDT),555.9K,4.08,0.5,13.97
Ramaco Resources Inc. Cl A (METC),1.6M,7.61,0.93,13.92
CTRL Group Ltd. (MCTR),104.8K,6.08,0.74,13.86
Nxu Inc. (NXU),16.5M,2.55,0.31,13.84
GD Culture Group Ltd. (GDC),86.1K,2.31,0.27,13.24
Nutex Health Inc. (NUTX),158.5K,84.94,9.55,12.67
CorMedix Inc. (CRMD),4.2M,6.79,0.72,11.86
Venture Global Inc. (VG),18.1M,7.82,0.82,11.71
OneConstruction Group Ltd. (ONEG),70.1K,1.73,0.18,11.62
SaverOne 2014 Ltd. ADR (SVRE),20.3M,3.61,0.37,11.42
Tonix Pharmaceuticals Holding Corp. (TNXP),1.7M,19.82,2.02,11.35
SIGA Technologies Inc. (SIGA),1.2M,5.92,0.59,11.07
Mexco Energy Corp. (MXC),83.0K,8.21,0.8,10.8
Humana Inc. (HUM),4.6M,281.95,27.24,10.69
Local Bounti Corp. (LOCL),100.8K,3.83,0.35,10.06
El Pollo Loco Holdings Inc. (LOCO),911.7K,10.17,0.89,9.59
Siyata Mobile Inc. (SYTA),251.8K,1.76,0.15,9.32
Peabody Energy Corp. (BTU),12.4M,11.26,0.95,9.21
InMed Pharmaceuticals Inc. (INM),105.2K,2.25,0.19,9.14
Euroholdings Ltd. (EHLD),65.3K,4.45,0.37,9.07
NextDecade Corp. (NEXT),5.1M,6.49,0.51,8.53
Clover Health Investments Corp. Cl A (CLOV),11.6M,3.47,0.26,8.1
Clene Inc. (CLNN),115.3K,2.86,0.2,7.52
MYT Netherlands Parent B.V. ADR (MYTE),426.7K,7.05,0.49,7.47
China Yuchai International Ltd. (CYD),553.1K,14.76,1.02,7.42
Hallador Energy Co. (HNRG),1.5M,11.11,0.75,7.24
Greenfire Resources Ltd. (GFR),272.8K,4.75,0.32,7.22
Grab Holdings Ltd. (GRAB),84.3M,3.73,0.25,7.18
Eason Technology Ltd. ADR (DXF),274.3K,6.42,0.42,7.0
AeroVironment Inc. (AVAV),954.4K,121.03,7.65,6.75
TriSalus Life Sciences Inc. (TLSI),144.3K,5.49,0.34,6.6
Core Natural Resources Inc. (CNR),2.8M,69.16,4.25,6.55
Onity Group Inc. (ONIT),124.9K,28.0,1.7,6.46
Alignment Healthcare Inc. (ALHC),9.7M,18.95,1.13,6.34
Warrior Met Coal Inc. (HCC),2.1M,43.44,2.57,6.29
Astrana Health Inc. (ASTH),551.7K,31.09,1.8,6.15
Nyxoah S.A. (NYXH),2.7M,6.06,0.35,6.13
Perpetua Resources Corp. (PPTA),1.4M,9.53,0.55,6.12
Top Win International Ltd. (TOPW),2.1M,2.22,0.13,5.95
JX Luxventure Group Inc. (JXG),112.4K,2.14,0.12,5.94
CVS Health Corp. (CVS),24.6M,67.63,3.78,5.92
Sagtec Global Ltd. (SAGT),54.9K,2.55,0.14,5.81
Cyngn Inc. (CYN),76.8K,4.11,0.21,5.52
Mercurity Fintech Holding Inc. (MFH),55.0K,4.81,0.25,5.48
NextTrip Inc. (NTRP),81.5K,5.4,0.28,5.47
International General Insurance Holdings Ltd. (IGIC),220.8K,22.43,1.14,5.35
Rhythm Pharmaceuticals Inc. (RYTM),2.1M,57.73,2.77,5.04
Carvana Co. Cl A (CVNA),10.3M,176.32,8.45,5.03
Precision Biosciences Inc. (DTIL),135.9K,4.62,0.22,5.0
ThredUp Inc. Cl A (TDUP),1.7M,2.95,0.14,4.98
Alliance Resource Partners L.P. (ARLP),1.3M,25.86,1.2,4.87
Loar Holdings Inc. (LOAR),1.5M,75.29,3.44,4.79
Energys Group Ltd. (ENGS),370.7K,4.84,0.22,4.76
Nature's Sunshine Products Inc. (NATR),82.2K,12.01,0.54,4.71
Domo Inc. Cl B (DOMO),825.1K,7.51,0.33,4.6
SOBR Safe Inc. (SOBR),6.9M,5.11,0.22,4.5
SelectQuote Inc. (SLQT),1.6M,3.29,0.14,4.44
Sterling Infrastructure Inc. (STRL),1.7M,113.83,4.73,4.34
Unusual Machines Inc. (UMAC),1.0M,4.91,0.2,4.25
Enel Chile S.A. ADR (ENIC),1.2M,3.01,0.12,4.15
AerSale Corp. (ASLE),1.5M,7.03,0.28,4.15
First United Corp. (FUNC),103.2K,26.97,1.07,4.13
Collective Mining Ltd. (CNL),71.8K,8.67,0.34,4.08
Viking Holdings Ltd. (VIK),5.3M,35.51,1.37,4.01
BGC Group Inc. Cl A (BGC),3.9M,7.8,0.3,4.0
Pro-Dex Inc. (PDEX),59.7K,54.97,2.1,3.97
Grace Therapeutics Inc. (GRCE),55.1K,1.87,0.07,3.89
Karman Holdings Inc. (KRMN),2.3M,27.8,1.03,3.85
Zevia PBC (ZVIA),386.5K,2.17,0.08,3.83
SAIHEAT Ltd. (SAIH),91.2K,3.55,0.13,3.8
X Financial ADR (XYF),500.4K,12.46,0.45,3.75
Comstock Inc. (LODE),278.7K,1.97,0.07,3.68
Skillz Inc. (SKLZ),94.0K,3.83,0.13,3.51
Cidara Therapeutics Inc. (CDTX),468.5K,17.1,0.58,3.51
BWX Technologies Inc. (BWXT),2.2M,93.17,3.15,3.5
Mercury Systems Inc. (MRCY),761.2K,42.96,1.44,3.47
Corbus Pharmaceuticals Holdings Inc. (CRBP),297.8K,5.39,0.18,3.45
Rimini Street Inc. (RMNI),438.1K,3.32,0.11,3.43
Heritage Insurance Holdings Inc. (HRTG),385.4K,14.76,0.47,3.29
Shenandoah Telecommunications Co. (SHEN),405.9K,12.45,0.39,3.23
Ramaco Resources Inc. Cl B (METCB),81.4K,6.46,0.2,3.19
Oatly Group AB ADR (OTLY),121.0K,8.98,0.27,3.1
