Unnamed: 0,Volume,Last,Chg,% Chg
Cencora Inc. (COR),1.1M,287.24,7.72,2.76
Consolidated Edison Inc. (ED),1.3M,112.54,2.96,2.7
Coca-Cola Co. (KO),13.5M,73.21,1.88,2.64
Tradeweb Markets Inc. (TW),775.6K,152.33,3.84,2.59
SJW Group (SJW),90.9K,55.25,1.38,2.56
Exelon Corp. (EXC),4.8M,47.15,1.18,2.57
Altria Group Inc. (MO),6.5M,58.56,1.45,2.53
Wingstop Inc. (WING),594.9K,241.86,5.9,2.5
AT&T Inc. (T),24.4M,28.84,0.7,2.48
Astrana Health Inc. (ASTH),85.0K,30.76,0.74,2.47
